"","Table 9#1U# Reconciliation of Percent Change in the CPI with Per","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151"
"11","3","    Gasoline and other motor fuel","W903RV2",0,0,-0.01,-0.01,0,0,0,0,0,-0.01,0,0,-0.02,-0.02,0,0.02,0.03,0,-0.01,-0.02,-0.02,0.02,0,-0.01,-0.01,0,0,0,-0.01,0,0,0,0,-0.01,-0.01,0,0.01,-0.01,0,0,0.01,0,-0.03,-0.03,-0.07,0.03,0.05,0,-0.01,0,0,-0.02,0,0,-0.02,-0.01,0.03,0.02,0,-0.01,0.01,0,-0.02,-0.01,-0.01,0,0,0.01,-0.01,0,-0.03,0,0,0,0,0,-0.01,-0.03,-0.02,0.02,0,0.05,0.08,0.03,-0.01,-0.01,0,0,0,-0.03,0,-0.01,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,-0.01,-0.01,-0.01,0,0,0,-0.01,0.01,0,0.01,0,-0.01,-0.01,0.01,0.01,0,0,-0.02,-0.02,0,0.02,0.01,0.01,-0.03,0.01,0.03,0,-0.02,0,0,0,0.01,0,-0.01,0,0,0,0
"12","4","    Personal computers and peripheral equipment","W904RV2",0,-0.01,-0.01,0,0,0,0,0,-0.01,0,-0.01,0,0,0,0,0,-0.01,-0.01,0,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.01,0,0,-0.01,0,0,0,0,0,-0.01,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","5","    Video and audio equipment","W905RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,-0.01,-0.01,0,0,0,0,0,0,-0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,-0.01,0,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,0,-0.01,0,-0.01,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,-0.01,0,0,-0.01,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0
"14","6","    Tobacco","W906RV2",0,0,0,-0.01,0,-0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","7","    Health care","W907RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","8","    Electricity, gas, fuel oil, and other household fuels","W908RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.03,-0.02,0.01,0.01,-0.01,0.01,0,0,0,0,0,0,0,0.01,0,-0.01,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,-0.01,0,-0.01,-0.01,-0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0
"17","9","    Housing","W909RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","10","    Food and beverages purchased for off-premises consumption","W910RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","11","    Other","W911RV2",0,-0.01,0,0,-0.02,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.02,-0.01,0,0,0,0,-0.01,-0.01,0,0,0,0,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.02,0,-0.02,-0.01,0,-0.01,0.01,0,0,-0.01,-0.01,0,0,0,0,0,-0.01,0,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,-0.01,-0.01,0,0,-0.01,0,-0.01,-0.01,-0.01,0,0,0,0.01,0,-0.03,-0.02,-0.01,0,0,-0.01,-0.01,0,-0.02,0,-0.02,-0.01,0,0.01,0.01,0,0,0,0,0,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,-0.01,-0.01,-0.01,0,-0.01,0,0,0.01,0,0,0,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,0,0,0
"20","12","Equals: PCE fixed-weight price index (percent change)","W912RV2",0.07,0.18,0.29,0.46,0.09,0.14,0.22,0.21,0.19,0.19,0.11,0.09,0.3,0.45,0.26,-0.19,-0.12,0.13,0.29,0.35,0.31,-0.05,0.12,0.25,0.38,0.24,0.18,0.17,0.36,0.34,0.15,0.09,0.21,0.41,0.37,0.07,0.07,0.32,0.32,0.32,0.08,0.08,0.48,0.47,1.08,0.14,-0.27,0.02,0.47,0.05,0.16,0.44,0.23,0.25,0.39,0.34,-0.27,-0.28,0.05,0.43,0.32,0.35,0.39,0.22,0.31,0.23,0.17,0.1,0.41,0.3,0.57,0.29,0.27,0.23,0.33,0.25,0.47,0.76,0.47,-0.11,0.1,-0.59,-1.21,-0.57,0.11,0.26,-0.06,0.16,0.15,0.64,-0.03,0.29,0.2,0.32,0.26,0.07,0.18,0.01,0.1,-0.01,0.05,0.06,0.13,0.15,0.1,0.24,0.18,0.26,0.23,0.3,0.42,0.34,0.34,0.12,0.18,0.24,0.19,0.04,0.14,0.07,0.24,0.26,0.26,0,-0.06,0.16,0.03,0.35,0.32,0.19,-0.13,0.02,0.05,0.43,-0.1,-0.3,0.08,0.41,0.12,0.11,0.12,0.06,0.08,0.2,0.11,0.07,0.18,0.2
"21","13","  Less: Weight effect (percentage points)","W913RV2",-0.01,-0.04,-0.06,-0.07,-0.05,-0.01,-0.05,-0.07,-0.03,-0.05,-0.04,-0.03,-0.13,-0.11,-0.05,0.11,-0.01,-0.02,-0.06,-0.08,-0.05,0.02,-0.01,-0.05,-0.06,-0.01,-0.07,-0.02,-0.13,-0.08,-0.03,-0.01,-0.11,-0.1,-0.12,-0.02,0.04,-0.1,-0.11,-0.06,0.06,0,-0.15,-0.14,-0.31,-0.13,0.09,0.03,-0.19,-0.01,-0.03,-0.11,-0.05,-0.05,-0.17,-0.09,0.14,0.13,-0.06,-0.15,-0.01,-0.1,-0.13,-0.07,-0.11,-0.06,-0.05,-0.01,-0.06,-0.05,-0.17,-0.05,-0.02,-0.04,-0.08,0,-0.14,-0.25,-0.17,0.09,0.04,0.29,0.52,0.25,-0.04,-0.07,0.11,0.04,-0.03,-0.21,0.04,-0.13,-0.03,-0.06,-0.08,-0.04,-0.06,0.04,0.03,0.02,0.03,-0.02,-0.06,0,0,-0.1,-0.05,-0.16,-0.04,-0.09,-0.18,-0.04,-0.1,-0.03,-0.06,-0.04,-0.07,0.04,-0.02,0.04,0.01,-0.09,-0.09,-0.05,0.04,-0.03,0.02,-0.14,-0.13,-0.03,0.08,0,0.04,-0.22,0.04,0.04,-0.08,-0.09,-0.03,-0.01,-0.06,-0.01,-0.03,-0.12,-0.03,-0.04,-0.08,-0.07
"22","14","    Rent of shelter","W914RV2",-0.04,-0.04,-0.04,-0.04,-0.03,-0.04,-0.04,-0.02,-0.04,-0.03,-0.03,-0.03,-0.04,-0.02,-0.02,-0.01,-0.02,0,-0.03,-0.02,-0.03,-0.03,-0.03,-0.01,-0.03,-0.03,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.02,-0.03,-0.04,-0.04,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,-0.04,-0.03,-0.04,-0.04,-0.05,-0.05,-0.06,-0.07,-0.05,-0.05,-0.05,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,-0.03,-0.02,-0.03,-0.03,-0.04,-0.04,-0.04,-0.05,-0.04,-0.03,-0.03,-0.03,-0.03,-0.02,-0.04,-0.03,-0.03,-0.03,-0.02,-0.04,-0.01,-0.04,-0.02,-0.03,-0.02,-0.02,0,0,-0.01,0.01,0,0.01,0,0.01,0,0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02,-0.02,-0.03,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,-0.02,-0.03,-0.03,-0.02,-0.02,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.03,-0.03,-0.02,-0.03,-0.03,-0.03,-0.02,-0.04,-0.03,-0.03,-0.04,-0.04,-0.03,-0.03,-0.04,-0.03
"23","15","      Imputed rental of owner-occupied nonfarm housing","W915RV2",-0.03,-0.03,-0.03,-0.03,-0.02,-0.03,-0.03,-0.02,-0.03,-0.02,-0.02,-0.02,-0.03,-0.01,-0.01,0,-0.01,0,-0.02,-0.02,-0.02,-0.03,-0.02,-0.01,-0.02,-0.02,-0.03,-0.04,-0.02,-0.03,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.02,-0.01,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02,-0.03,-0.02,-0.04,-0.04,-0.04,-0.05,-0.05,-0.05,-0.04,-0.04,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.01,-0.02,-0.02,-0.03,-0.03,-0.03,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.01,-0.03,-0.02,-0.02,-0.03,-0.02,-0.03,-0.01,-0.03,-0.02,-0.03,-0.02,-0.02,0,0,-0.01,0.01,0,0.01,0,0.01,0,0.01,0,-0.01,-0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.03,-0.02
"24","16","      Rental of tenant-occupied nonfarm housing","W916RV2",-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,-0.01,0,0,0,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"25","17","    Hotels and motels","W917RV2",0,-0.03,0.03,-0.01,0,0.01,0.01,-0.03,0,0.01,-0.02,0.01,-0.01,0.02,0.04,0.01,-0.07,0.01,-0.01,0,0.01,-0.03,0.01,-0.02,0.01,0.05,-0.08,-0.02,-0.02,0,0,0.02,-0.05,-0.01,0.01,0,0.01,-0.02,-0.1,0.04,0.04,0.01,-0.01,0.01,0.07,-0.09,-0.02,-0.01,0,-0.01,-0.04,0,0,0.01,0,-0.01,0.01,-0.01,-0.02,0,-0.01,-0.02,0.01,-0.02,-0.02,-0.02,0,0,0,0,0,-0.01,-0.02,0,-0.02,0.05,0,0.01,0,0.01,0,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.03,-0.02,-0.01,-0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
