"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"46","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",7919,8855,9611,9289,9821,9785,10130,11171,11504,11999,12005,12306,12396,12949,13711,14369,14697,15134,15594,16369,16805,17856,18189,18509,19416,20059,20843,21380,22233,23269,24585,25581,27148,28266,29521,30857,29018,29345,29126,29548,30336,30719,31273,31902,32614,33521,34928,35770,37541,38443,39490,40663,42319,43981,45700,47459,50159,50566,51779,53673,55077,56265,57759,58813,57383,59231,58671,56510,57183,57944,60164,61657,63571,65335,66966,68634,71521,73114,74238,77661,77347,79363,82503,84965,87591,89973,91857,91871,92733
"47","39","S4 EN4542ZZMA       Vending machine operators","T050390",1885,1712,1778,1817,1755,1783,1761,1726,1811,1835,1788,1729,1743,1777,1656,1768,1699,1847,2023,2065,2138,1988,1889,1983,1949,2036,2005,2076,2096,2145,2116,2086,2209,2303,2195,2104,1977,1950,2016,2120,2086,2055,2037,1987,1913,1924,2008,2110,2054,2112,2081,2107,2114,2078,1982,2094,2168,2068,2095,2035,2025,2017,2055,2022,1977,2052,2011,1920,1837,1770,1720,1643,1670,1672,1670,1661,1647,1636,1641,1675,1685,1645,1648,1585,1577,1527,1541,1537,1503
"48","40","S4 EN4543ZZMA       Direct selling establishments","T050400",9307,9441,9477,9247,9350,9983,10165,9981,10497,10618,11224,11198,11164,11191,11293,11932,12313,12466,11973,13490,12630,12735,12605,11932,11225,11955,12199,11929,12081,12907,13088,12997,13956,14364,15412,16238,16131,14865,14510,13957,14086,15493,15331,16019,16675,15940,16189,16701,16493,16072,17226,17915,17857,17898,18381,19421,18674,19755,19631,18709,19540,19494,19431,20590,21058,22641,22717,19805,18322,17860,17942,18602,18979,18623,18706,19346,20566,20357,20350,20839,20267,20760,20794,21322,22061,21267,21585,23673,24189
"49","41","S1 EN722ZZZMA Food services and drinking places","T050410",54051,52442,52955,55044,55647,56744,57826,57770,58058,59286,60117,60549,60643,61606,62272,62272,62614,63451,64218,65663,67114,67548,69159,68874,70169,71353,72115,73629,73436,74595,75147,77322,79225,80080,80966,80998,82939,83289,84240,84975,86546,87222,87765,88314,89347,91645,93811,95229,96745,97425,99084,100932,102241,104514,105490,107602,110453,110623,112170,115210,115676,117118,118769,120704,119512,121274,121947,121282,120517,119802,119400,119823,121328,123289,124591,125535,126636,128781,130583,133071,136331,138252,138999,141712,142612,143663,143871,147380,147426
"50","42","S4 EN7221ZZMA   Full-service restaurants","T050420",23366,22323,22252,23372,23322,24006,24547,24671,25086,25621,25787,25926,25778,26320,26602,26329,26506,27133,27781,28724,29823,29800,30839,30681,31123,31516,31673,32418,32421,33042,33245,33913,34820,35155,35506,35791,36508,36720,37515,37839,38817,38973,39116,39544,39665,40966,41971,42144,42998,42985,43964,44666,45257,45911,46361,47314,48245,48547,49462,51499,51559,51792,51915,52949,52118,52569,52287,52261,52082,51064,50990,51205,51506,52751,52640,52938,53950,55224,56548,57601,59197,60053,60479,61871,62046,62290,62168,64534,65147
"51","43","S4 EN7222ZZMA   Limited-service eating places","T050430",22524,22545,23143,23888,24577,24881,25301,25253,25101,25710,26349,26767,26993,27067,27379,27593,27765,28008,27950,28212,28416,28975,29112,28982,29693,30400,30819,31276,31071,31316,31552,32596,33114,33607,33850,33940,34833,34783,35085,35573,35898,36257,36806,36818,37443,38344,38969,40294,40734,41438,42053,42837,43513,44623,44971,45728,47042,46767,47298,47810,47791,48822,50069,50695,50466,51327,51895,52197,51828,52050,51708,51871,53047,53575,54565,55156,55447,56062,56451,57193,57981,58898,59628,60941,61953,62886,63572,64460,63815
"52","44","S4 EN7223ZZMA   Special food Services","T050440",4728,4391,4416,4576,4553,4601,4721,4732,4735,4810,4924,4769,4738,4981,4930,4912,4957,4933,5065,5249,5440,5266,5586,5615,5690,5787,5897,6210,6138,6380,6578,6896,7190,7227,7580,7336,7575,7804,7437,7188,7517,7666,7561,7628,7798,7784,8276,8135,8344,8398,8483,8819,8871,9283,9366,9681,10167,10222,10312,10744,11157,11288,11466,11799,11788,12059,12264,11467,11283,11354,11523,11556,11499,11768,12112,12055,11851,12144,12265,12849,13551,13522,13016,13114,12618,12628,12393,12362,12457
"53","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",3434,3183,3143,3209,3195,3256,3256,3114,3137,3145,3057,3088,3134,3238,3361,3438,3386,3376,3422,3478,3436,3508,3622,3596,3663,3650,3726,3725,3806,3857,3772,3918,4101,4091,4031,3931,4023,3982,4203,4375,4316,4327,4283,4325,4442,4552,4595,4656,4669,4604,4584,4609,4599,4696,4792,4879,4999,5087,5098,5157,5169,5215,5318,5262,5140,5319,5501,5358,5325,5335,5179,5191,5276,5195,5273,5386,5387,5351,5319,5428,5603,5779,5876,5786,5995,5858,5738,6025,6005
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",409163,411187,416636,424568,429078,435686,441193,447374,453215,461512,471415,478870,480409,485335,491073,496610,500305,512641,516618,526582,534394,535437,544736,548195,552630,560635,567234,577668,587809,598434,608702,625593,636379,644141,652572,661271,663712,669524,668113,671791,678134,688183,688869,697288,706262,711259,731239,739745,756405,767708,777538,797217,809301,824602,842945,860882,879964,885655,890905,894040,907244,916660,924571,941773,942879,961094,962711,900412,880455,880279,890966,902086,915173,922808,925341,948192,965627,987623,997922,1009675,1027294,1028681,1039173,1052564,1061092,1064545,1074717,1081255,1082323
"56","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",355111,358745,363681,369524,373431,378942,383367,389604,395157,402225,411297,418321,419766,423729,428801,434338,437691,449190,452400,460919,467279,467888,475577,479321,482461,489281,495119,504039,514373,523839,533555,548271,557154,564060,571606,580273,580773,586235,583874,586815,591587,600960,601103,608973,616915,619613,637428,644517,659660,670284,678454,696285,707060,720088,737455,753280,769512,775032,778736,778830,791568,799542,805802,821069,823367,839819,840765,779130,759938,760477,771566,782263,793844,799519,800750,822657,838992,858841,867339,876604,890963,890428,900174,910852,918480,920882,930846,933875,934897
"57","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores \1\","T050480",137488,139283,141294,144847,146272,150014,152922,154775,157923,160416,164109,168203,168078,170429,173433,175336,175402,179549,181474,183860,185644,186169,190232,192748,196184,199310,200979,204930,210300,213432,216618,220254,223231,227112,229315,230333,231037,231588,233044,238028,240468,241469,239811,243645,242513,247063,254188,256039,261049,261912,265139,269970,274189,279530,281223,287456,292287,293399,295609,299436,302695,302626,305132,307259,304683,309618,305305,294690,292679,288817,289421,291311,295946,296552,296938,301231,303176,308307,310644,313584,320188,320507,323081,324308,325406,327045,329833,330162,327201
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
