"","Table 6U# Real BEA Retail and Food Service Sales                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"17","10","S4 QN4422ZZMG       Home furnishings stores","T060100",37884,41068,41200,43647,46922,50348,52711,55325,54653,49308,42345,43847,46008,51532,56802
"18","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",40202,45286,48728,55373,61628,72184,83189,95474,104362,109791,105933,115312,126138,135345,147268
"19","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",237133,250649,262236,275421,293578,318414,340081,351960,337005,319102,283494,285547,293941,304467,316764
"20","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",204328,217555,230029,242782,259816,282839,304609,316077,298964,278114,245924,244350,249340,257677,266305
"21","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",32512,32807,32031,32522,33684,35515,35402,35802,37996,40983,37570,41224,44673,46884,50652
"22","15","S1 QN445ZZZMG   Food and beverage stores","T060150",588124,585439,592306,585185,585039,584743,595437,606654,608153,593839,584643,589802,594319,596681,608128
"23","16","S1 QN4451ZZMG     Grocery stores","T060160",535611,530676,536182,529152,528347,526270,535912,544650,544806,531124,523006,526815,530397,530433,538278
"24","17","S3 QN4452ZZMG     Specialty food stores","T060170",17347,17987,18620,18912,19439,20003,19964,19958,20084,19315,18951,19394,19558,20819,21992
"25","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",35385,36906,37620,37230,37352,38522,39604,42055,43255,43400,42686,43595,44375,45494,48025
"26","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",155689,165600,168471,177563,189528,201518,215100,228367,236800,231244,216423,226437,236911,243109,250637
"27","20","S2 QN4481ZZMG     Clothing stores","T060200",105085,111844,115642,122284,131487,140654,151556,161568,170161,168188,160435,169011,176147,180069,184374
"28","21","S2 QN4482ZZMG     Shoe stores","T060210",23715,24188,24444,25174,25828,26386,27496,28965,29232,28703,26473,27725,29315,29983,29688
"29","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",27738,30520,29007,30726,32782,35022,36449,38184,37531,34373,29514,29717,31442,33000,36389
"30","23","S1 QN452ZZZMG   General merchandise stores","T060230",419462,444075,471513,495850,523539,548029,581662,604639,624516,629930,624061,646968,662620,685815,699508
"31","24","S1 QN4521ZZMG     Department stores","T060240",232988,235470,234597,229975,226151,227105,229423,226641,223298,212141,199840,202604,201575,198511,192752
"32","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",177361,200778,230808,261533,294608,318892,350948,377371,401031,417797,424221,444332,460884,486855,506034
"33","26","S1 QN44EZZZMG   Other retail stores","T060260",951375,981962,998199,1037821,1059987,1095276,1131886,1174923,1204048,1187956,1168032,1195956,1222253,1259711,1318420
"34","27","S1 QN446ZZZMG     Health and personal care stores","T060270",188722,198559,205660,215408,225479,227707,235534,242735,253556,257194,257260,257986,262143,260662,266084
"35","28","S1 QN447ZZZMG     Gasoline stations","T060280",406449,387527,399592,415384,405164,416190,417941,420046,416448,407530,399356,396298,387894,391135,394850
"36","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",70596,74809,76177,77134,78722,81298,83883,87603,89892,89199,86126,87356,88030,92588,96176
"37","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",43296,46757,48398,49971,52217,54739,57655,62156,65647,66431,65424,67388,69676,74581,77924
"38","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",28651,29204,28734,27909,27051,27011,26564,25619,24301,22781,20702,19973,18367,18017,18260
"39","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",106535,108338,104620,104975,107990,111326,116090,123784,127069,119680,108643,112149,117628,126011,133195
"40","33","S3 QN4531ZZMG       Florists","T060330",8528,8575,8038,7656,7193,7099,7496,7719,7659,7118,6113,6205,5976,6589,5852
"41","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",30247,31991,30888,31654,33111,35564,37856,41115,42825,40578,38027,39092,40348,42571,46278
"42","35","S4 QN4533ZZMG       Used merchandise stores","T060350",8464,8885,8744,8958,8998,9191,9451,10720,11405,11462,10823,11779,12964,14148,15717
"43","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",62010,60568,58572,57945,59903,60175,61769,64486,65315,60574,53680,55078,58302,62628,65401
"44","37","S1 QN454ZZZMG     Nonstore retailers","T060370",188010,212602,214619,228770,241984,257690,276432,298756,316403,314352,316647,343079,371706,398324,443299
"45","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",102477,124780,127681,136176,148774,166219,187735,211535,230364,233502,236949,266130,299029,326892,368295
"46","39","S4 QN4542ZZMG       Vending machine operators","T060390",10812,11027,9771,9740,9335,9519,9300,9306,8729,8031,6970,6645,6285,6095,5678
"47","40","S4 QN4543ZZMG       Direct selling establishments","T060400",79285,79219,79336,85240,85416,82312,79049,77452,76888,72797,72727,70635,68045,68206,73230
"48","41","S1 QN722ZZZMG Food services and drinking places","T060410",407285,424296,429274,436068,452209,468026,483577,501203,509597,500468,479542,489229,501708,521875,531643
"49","42","S4 QN7221ZZMG   Full-service restaurants","T060420",177619,184474,187830,192816,198968,205327,211114,218921,222632,215124,205340,207082,215317,227028,230728
"50","43","S4 QN7222ZZMG   Limited-service eating places","T060430",174161,180310,182468,184496,192536,200960,208341,213865,215618,214489,207456,214492,218328,223178,233248
"51","44","S4 QN7223ZZMG   Special food Services","T060440",34696,38209,37895,37431,38636,40028,42482,45877,48870,48929,45716,46810,47342,50002,45963
"52","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",20809,21264,21040,21260,22035,21717,21661,22519,22416,21913,21029,20852,20719,21653,21706
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",2833337,2947470,3026941,3131491,3245419,3383820,3538433,3678358,3739944,3677133,3553786,3645169,3736210,3851739,3983075
"55","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",2428595,2525916,2599546,2696438,2794287,2916597,3055160,3177340,3230535,3176811,3074244,3155930,3234501,3329959,3451536
"56","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores \1\","T060480",788765,842805,876908,924619,979018,1041600,1112571,1174236,1215095,1206342,1162228,1211413,1253646,1306499,1351381
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries QN442ZZZMG, QN443ZZZMG, QN448ZZZMG, QN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","QN452ZZZMG, and QN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
