"","Table 6#17D# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9"
"43","36","    Nondurable goods","N3038C0",17910,21818,24101,23455,NA,NA
"44","37","  Retail trade","N3039C0",64905,66267,61297,69939,77510,77949
"45","38","  Transportation and warehousing","N3040C0",20736,16482,15164,804,-1014,10633
"46","39","    Air transportation","N3041C0",7630,5372,2192,-10621,NA,NA
"47","40","    Rail transportation","N3042C0",475,226,2103,1040,NA,NA
"48","41","    Water transportation","N3043C0",430,13,512,589,NA,NA
"49","42","    Truck transportation","N3044C0",3851,3159,2710,2452,NA,NA
"50","43","    Transit and ground passenger transportation","N513RC0",723,478,622,589,NA,NA
"51","44","    Pipeline transportation","N3046C0",963,512,-58,739,NA,NA
"52","45","    Other transportation and support activities \2\","N3047C0",5992,5942,6455,5523,NA,NA
"53","46","    Warehousing and storage","N514RC0",672,780,628,493,NA,NA
"54","47","  Information","N510RC0",19980,10214,-17748,-26071,-11893,-1376
"55","48","    Publishing industries (includes software)","N511RC0",6343,12694,75,1033,NA,NA
"56","49","    Motion picture and sound recording industries","N3051C0",-1863,-427,-1150,1844,NA,NA
"57","50","    Broadcasting and telecommunications","N3091C0",19804,4283,1022,-15931,NA,NA
"58","51","    Information and data processing services","N3053C0",-4304,-6336,-17695,-13017,NA,NA
"59","52","  Finance and insurance","N3092C0",106975,126704,113371,125861,157288,179616
"60","53","    Federal Reserve banks","N3093C0",25185,26297,30799,28304,NA,NA
"61","54","    Credit intermediation and related activities","N3056C0",41330,51902,53651,69240,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3057C0",11535,11575,-6380,8515,NA,NA
"63","56","    Insurance carriers and related activities","N3058C0",21364,11752,11205,-5050,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3059C0",7561,25178,24096,24852,NA,NA
"65","58","  Real estate and rental and leasing","N3060C0",10245,9807,9407,9898,9490,11023
"66","59","    Real estate","N3061C0",6366,7566,8672,8079,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3062C0",3879,2241,735,1819,NA,NA
"68","61","  Professional, scientific, and technical services","N3063C0",24855,20686,1416,8991,16445,19369
"69","62","    Legal services","N3064C0",4887,5104,6495,8746,NA,NA
"70","63","    Computer systems design and related services","N3065C0",3885,-1015,-16416,-11502,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3066C0",16083,16597,11337,11747,NA,NA
"72","65","  Management of companies and enterprises \5\","N3067C0",58442,67550,86801,101707,118893,120230
"73","66","  Administrative and waste management services","N3070C0",8530,9438,8534,9972,9820,9837
"74","67","    Administrative and support services","N3071C0",6750,7980,7250,8453,NA,NA
"75","68","    Waste management and remediation services","N3072C0",1780,1458,1284,1519,NA,NA
"76","69","  Educational services","N3073C0",1820,1588,1885,1911,2360,2398
"77","70","  Health care and social assistance","N3074C0",15415,20550,24913,31616,38009,41468
"78","71","    Ambulatory health care services","N3075C0",10443,13746,16423,22407,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3076C0",3895,5108,5304,5105,NA,NA
"80","73","    Social assistance","N3077C0",1077,1696,3186,4104,NA,NA
"81","74","  Arts, entertainment, and recreation","N3078C0",2360,2738,2170,2912,3366,2925
"82","75","    Performing arts, spectator sports, museums, and related activities","N3079C0",1223,1415,1063,1586,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3080C0",1137,1323,1107,1326,NA,NA
"84","77","  Accommodation and food services","N3081C0",8757,11737,13934,11248,12634,11651
"85","78","    Accommodation","N3082C0",1964,3379,3951,1371,NA,NA
"86","79","    Food services and drinking places","N3083C0",6793,8358,9983,9877,NA,NA
"87","80","  Other services, except government","N3084C0",6774,7640,8424,8723,7091,7138
"88","81","Rest of the world \6\","B394RC0",102950,121513,145703,169697,157780,176912
"89","82","  Receipts from the rest of the world","B3075C0",146976,176804,202480,182580,205999,250728
"90","83","  Less: Payments to the rest of the world","B3076C0",44026,55291,56777,12883,48219,73816
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA
"102","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA
"103","foreign affiliates, and earnings of unincorporated foreign affiliates (line 82), net of",NA,NA,NA,NA,NA,NA,NA,NA
"104","corresponding payments (line 83).",NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
