"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"32","14","    Manufacturing","A400RC1","87,548.0","122,451.0","112,108.0","114,445.0","99,404.0","100,806.0","116,842.0","150,070.0","176,696.0","191,961.0","212,213.0","173,359.0","174,574.0","166,497.0"
"33","15","      Durable goods","A406RC1","41,327.0","54,763.0","51,804.0","44,533.0","35,081.0","41,175.0","56,467.0","75,754.0","82,260.0","92,042.0","104,797.0","86,744.0","77,928.0","64,597.0"
"34","16","        Primary metal industries","A407RC1","2,623.0","6,070.0","6,394.0","3,500.0","1,513.0","0.0","434.0","2,379.0","7,153.0","5,676.0","6,410.0","6,266.0","2,195.0","1,072.0"
"35","17","        Fabricated metal products","A408RC1","5,526.0","6,576.0","6,445.0","6,094.0","5,336.0","6,264.0","7,449.0","11,161.0","11,900.0","14,615.0","17,076.0","16,118.0","16,065.0","15,489.0"
"36","18","        Industrial machinery and equipment","A409RC1","5,561.0","11,255.0","12,388.0","11,990.0","5,825.0","7,567.0","7,564.0","9,250.0","14,872.0","17,019.0","16,871.0","19,595.0","12,032.0","16,171.0"
"37","19","        Electronic and other electric equipment","A410RC1","6,053.0","7,847.0","9,455.0","8,662.0","10,183.0","10,632.0","15,407.0","23,191.0","22,033.0","20,735.0","25,984.0","9,143.0","5,340.0","5,084.0"
"38","20","        Motor vehicles and equipment","A411RC1","3,828.0","6,305.0","2,785.0","-1,812.0","-5,316.0","-933.0","6,058.0","8,045.0","171.0","4,476.0","5,176.0","5,865.0","7,525.0","-1,350.0"
"39","21","        Other","A412RC1","17,736.0","16,710.0","14,337.0","16,099.0","17,540.0","17,645.0","19,555.0","21,728.0","26,131.0","29,521.0","33,280.0","29,757.0","34,771.0","28,131.0"
"40","22","      Nondurable goods","A401RC1","46,221.0","67,688.0","60,304.0","69,912.0","64,323.0","59,631.0","60,375.0","74,316.0","94,436.0","99,919.0","107,416.0","86,615.0","96,646.0","101,900.0"
"41","23","        Food and kindred products","A402RC1","11,213.0","9,711.0","11,171.0","14,443.0","18,294.0","18,399.0","16,530.0","20,378.0","27,612.0","22,687.0","25,198.0","21,954.0","28,073.0","26,000.0"
"42","24","        Chemicals and allied products","A403RC1","14,558.0","18,769.0","18,337.0","16,971.0","16,329.0","16,140.0","16,024.0","23,559.0","28,191.0","26,577.0","32,398.0","26,173.0","24,781.0","15,304.0"
"43","25","        Petroleum and coal products","A404RC1","-1,418.0","12,852.0","6,604.0","16,473.0","7,379.0","-794.0","2,808.0","1,511.0","7,395.0","15,313.0","17,555.0","7,075.0","4,615.0","29,656.0"
"44","26","        Other","A405RC1","21,868.0","26,356.0","24,192.0","22,025.0","22,321.0","25,886.0","25,013.0","28,868.0","31,238.0","35,342.0","32,265.0","31,413.0","39,177.0","30,940.0"
"45","27","    Transportation and public utilities","A416RC1","42,365.0","48,904.0","43,810.0","44,727.0","53,801.0","59,161.0","70,191.0","85,210.0","87,913.0","93,684.0","86,532.0","81,066.0","59,102.0","45,780.0"
"46","28","      Transportation","A417RC1","3,652.0","8,157.0","1,520.0","-83.0","2,590.0","2,635.0","7,319.0","11,106.0","12,101.0","16,374.0","19,592.0","22,030.0","16,215.0","15,342.0"
"47","29","      Communications","A418RC1","19,553.0","19,584.0","18,296.0","20,197.0","23,613.0","27,974.0","33,127.0","37,622.0","34,504.0","35,981.0","26,531.0","22,575.0","5,946.0","2,384.0"
"48","30","      Electric, gas, and sanitary services","A419RC1","19,160.0","21,163.0","23,994.0","24,613.0","27,598.0","28,552.0","29,745.0","36,482.0","41,308.0","41,329.0","40,409.0","36,461.0","36,941.0","28,054.0"
"49","31","    Wholesale trade","A414RC1","18,965.0","20,401.0","22,123.0","19,563.0","22,166.0","25,510.0","26,682.0","31,789.0","28,043.0","40,567.0","48,157.0","51,659.0","51,696.0","55,573.0"
"50","32","    Retail trade","A415RC1","24,027.0","20,957.0","22,072.0","21,572.0","27,701.0","29,205.0","40,568.0","47,206.0","44,766.0","53,704.0","65,891.0","74,698.0","75,584.0","71,364.0"
"51","33","    Other","A420RC1","24,384.0","29,253.0","26,680.0","30,083.0","28,657.0","41,098.0","50,368.0","65,177.0","75,540.0","94,456.0","108,071.0","95,461.0","103,647.0","76,438.0"
"52","34","Rest of the world","B394RC1","48,012.0","56,984.0","67,129.0","76,088.0","76,469.0","73,090.0","76,930.0","77,966.0","92,947.0","101,971.0","107,556.0","102,762.0","121,516.0","145,624.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
