"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"63","45","    Services","A646RC1","592.0","515.0","412.0","308.0","251.0","323.0","365.0","417.0","588.0","568.0","622.0","773.0","949.0","986.0","1,114.0","1,291.0","1,416.0","2,392.0","2,643.0","2,282.0","2,271.0","2,147.0","2,856.0","3,010.0","2,901.0","2,907.0","3,253.0","3,728.0","4,455.0","4,146.0","6,267.0","6,592.0","6,655.0","7,357.0","7,737.0","8,304.0","9,356.0","10,184.0","11,293.0","12,645.0","13,661.0"
"64","46","  Imports","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0"
"65","47","    Goods","A255RC1","4,463.0","3,104.0","2,120.0","1,343.0","1,510.0","1,763.0","2,462.0","2,546.0","3,181.0","2,173.0","2,409.0","2,698.0","3,416.0","2,744.0","3,442.0","3,813.0","3,893.0","5,067.0","5,973.0","7,557.0","6,874.0","9,081.0","11,176.0","10,838.0","10,975.0","10,353.0","11,527.0","12,803.0","13,291.0","12,951.0","15,311.0","15,220.0","15,053.0","16,869.0","17,713.0","19,392.0","22,247.0","26,334.0","27,761.0","33,946.0","36,813.0"
"66","48","    Services","B656RC1","1,093.0","1,017.0","785.0","589.0","419.0","476.0","520.0","608.0","780.0","672.0","727.0","728.0","1,033.0","1,883.0","2,838.0","3,091.0","3,654.0","1,907.0","1,960.0","2,503.0","2,375.0","2,531.0","3,410.0","4,457.0","5,039.0","5,079.0","5,672.0","6,120.0","6,651.0","7,071.0","7,018.0","7,621.0","7,635.0","8,096.0","8,422.0","8,713.0","9,282.0","10,723.0","12,151.0","12,610.0","13,678.0"
"67","49","Government consumption expenditures and gross investment","A822RC1","9,356.0","9,992.0","9,884.0","8,698.0","8,659.0","10,509.0","10,889.0","13,091.0","12,802.0","13,816.0","14,790.0","15,031.0","26,525.0","62,722.0","94,826.0","105,333.0","92,990.0","39,588.0","36,338.0","40,502.0","46,634.0","46,714.0","68,054.0","83,584.0","90,514.0","86,131.0","86,442.0","91,370.0","99,659.0","105,958.0","109,994.0","111,548.0","119,499.0","130,088.0","136,351.0","143,214.0","151,446.0","171,631.0","192,508.0","209,312.0","221,431.0"
"68","50","  Federal","A823RC1","1,729.0","1,830.0","1,878.0","1,829.0","2,286.0","3,278.0","3,375.0","5,565.0","5,092.0","5,718.0","6,016.0","6,471.0","17,969.0","54,146.0","86,456.0","96,948.0","84,027.0","28,818.0","22,590.0","24,156.0","27,638.0","25,972.0","45,007.0","59,146.0","64,367.0","57,229.0","54,851.0","56,669.0","61,315.0","63,803.0","65,326.0","64,078.0","67,891.0","75,234.0","76,895.0","78,434.0","80,404.0","92,412.0","104,624.0","111,263.0","113,281.0"
"69","51","    National defense","A824RC1","916.0","949.0","940.0","924.0","875.0","816.0","1,026.0","1,249.0","1,300.0","1,363.0","1,490.0","2,478.0","14,306.0","51,139.0","84,152.0","94,498.0","81,923.0","25,125.0","18,153.0","18,222.0","19,782.0","19,506.0","39,218.0","52,314.0","55,902.0","49,164.0","46,920.0","49,211.0","53,607.0","55,364.0","53,816.0","53,348.0","56,509.0","61,085.0","60,964.0","60,241.0","60,603.0","71,656.0","83,440.0","89,244.0","89,491.0"
"70","52","      Consumption expenditures","A997RC1","880.0","889.0","856.0","857.0","786.0","703.0","923.0","990.0","976.0","1,045.0","1,165.0","1,675.0","7,107.0","25,134.0","46,790.0","59,062.0","59,256.0","23,610.0","17,204.0","16,266.0","16,854.0","17,148.0","30,082.0","38,884.0","41,199.0","37,056.0","36,841.0","38,724.0","43,124.0","44,041.0","40,109.0","40,999.0","42,653.0","46,563.0","48,323.0","48,775.0","50,558.0","59,893.0","69,933.0","77,091.0","78,144.0"
"71","53","      Gross investment","A788RC1","36.0","60.0","84.0","67.0","89.0","113.0","103.0","259.0","324.0","318.0","325.0","803.0","7,199.0","26,005.0","37,362.0","35,436.0","22,667.0","1,515.0","949.0","1,956.0","2,928.0","2,358.0","9,136.0","13,430.0","14,703.0","12,108.0","10,079.0","10,487.0","10,483.0","11,323.0","13,707.0","12,349.0","13,856.0","14,522.0","12,641.0","11,466.0","10,045.0","11,763.0","13,507.0","12,153.0","11,347.0"
"72","54","    Nondefense","A825RC1","813.0","881.0","938.0","905.0","1,411.0","2,462.0","2,349.0","4,316.0","3,792.0","4,355.0","4,526.0","3,993.0","3,663.0","3,007.0","2,304.0","2,450.0","2,104.0","3,693.0","4,437.0","5,934.0","7,856.0","6,466.0","5,789.0","6,832.0","8,465.0","8,065.0","7,931.0","7,458.0","7,708.0","8,439.0","11,510.0","10,730.0","11,382.0","14,149.0","15,931.0","18,193.0","19,801.0","20,756.0","21,184.0","22,019.0","23,790.0"
"73","55","      Consumption expenditures","A542RC1","660.0","681.0","685.0","590.0","899.0","1,684.0","1,278.0","3,345.0","2,888.0","3,449.0","3,729.0","3,180.0","2,302.0","1,999.0","1,459.0","1,938.0","1,462.0","3,297.0","3,630.0","4,891.0","6,430.0","4,887.0","4,268.0","5,274.0","7,087.0","6,855.0","7,069.0","6,298.0","6,334.0","6,813.0","9,837.0","8,735.0","8,957.0","11,251.0","12,447.0","14,022.0","15,139.0","15,850.0","17,023.0","18,202.0","20,171.0"
"74","56","      Gross investment","A798RC1","153.0","200.0","253.0","315.0","512.0","778.0","1,071.0","971.0","904.0","906.0","797.0","813.0","1,361.0","1,008.0","845.0","512.0","642.0","396.0","807.0","1,043.0","1,426.0","1,579.0","1,521.0","1,558.0","1,378.0","1,210.0","862.0","1,160.0","1,374.0","1,626.0","1,673.0","1,995.0","2,425.0","2,898.0","3,484.0","4,171.0","4,662.0","4,906.0","4,161.0","3,817.0","3,619.0"
"75","57","  State and local","A829RC1","7,627.0","8,162.0","8,006.0","6,869.0","6,373.0","7,231.0","7,514.0","7,526.0","7,710.0","8,098.0","8,774.0","8,560.0","8,556.0","8,576.0","8,370.0","8,385.0","8,963.0","10,770.0","13,748.0","16,346.0","18,996.0","20,742.0","23,047.0","24,438.0","26,147.0","28,902.0","31,591.0","34,701.0","38,344.0","42,155.0","44,668.0","47,470.0","51,608.0","54,854.0","59,456.0","64,780.0","71,042.0","79,219.0","87,884.0","98,049.0","108,150.0"
"76","58","    Consumption expenditures","A991RC1","4,984.0","5,254.0","5,357.0","5,104.0","5,048.0","5,461.0","5,912.0","4,625.0","5,146.0","5,130.0","5,405.0","5,803.0","6,321.0","7,043.0","7,502.0","7,685.0","8,157.0","9,190.0","10,907.0","12,328.0","13,655.0","14,880.0","16,080.0","17,117.0","18,237.0","19,708.0","21,556.0","23,439.0","25,824.0","28,622.0","30,747.0","33,547.0","36,560.0","38,984.0","41,941.0","45,790.0","50,194.0","56,101.0","62,575.0","70,381.0","79,849.0"
"77","59","    Gross investment","A799RC1","2,643.0","2,908.0","2,649.0","1,765.0","1,325.0","1,770.0","1,602.0","2,901.0","2,564.0","2,968.0","3,369.0","2,757.0","2,235.0","1,533.0","868.0","700.0","806.0","1,580.0","2,841.0","4,019.0","5,342.0","5,862.0","6,967.0","7,322.0","7,910.0","9,194.0","10,035.0","11,262.0","12,520.0","13,534.0","13,922.0","13,923.0","15,048.0","15,870.0","17,515.0","18,989.0","20,848.0","23,118.0","25,309.0","27,667.0","28,302.0"
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
