"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Census total revenue","L319011","132,153.0","150,106.0","166,090.0","190,798.0","217,579.0","237,916.0","264,013.0","303,287.0","337,870.0","371,607.0","404,934.0","451,537.0","506,728.0","547,719.0","593,372.0","651,997.0","720,062.0","783,378.0","844,302.0","884,117.0","953,802.0","1,032,115.0","1,080,862.0","1,189,987.0","1,270,748.0","1,331,442.0","1,417,925.0","1,513,633.0","1,614,771.0","1,720,889.0","1,794,121.0","1,942,328.0","1,890,891.0","1,806,592.0","2,047,337.0","2,434,155.0","2,528,546.0","2,742,151.0","3,067,232.0","2,654,134.0","2,066,666.0"
"21","2","Less: Coverage differences","L319021","15,092.0","15,306.0","15,010.0","16,008.0","19,683.0","23,286.0","26,263.0","36,909.0","38,136.0","38,286.0","43,288.0","50,876.0","63,175.0","66,259.0","79,429.0","81,389.0","93,055.0","110,795.0","122,929.0","120,936.0","127,270.0","139,472.0","132,840.0","162,735.0","172,013.0","174,551.0","195,195.0","233,479.0","273,192.0","300,221.0","299,109.0","340,460.0","176,439.0","59,441.0","206,722.0","464,494.0","418,830.0","472,445.0","648,625.0","137,746.0","-451,673.0"
"22","3","        State and local employee retirement plan transactions \1\","L319031","5,654.0","6,493.0","7,451.0","8,470.0","10,064.0","10,900.0","12,354.0","14,533.0","14,441.0","19,025.0","21,923.0","25,441.0","30,382.0","34,143.0","42,526.0","46,180.0","53,216.0","69,365.0","79,491.0","77,819.0","81,173.0","94,268.0","87,229.0","105,853.0","103,991.0","110,446.0","123,589.0","165,426.0","199,072.0","236,914.0","238,403.0","273,928.0","100,320.0","-29,261.0","116,095.0","365,319.0","315,569.0","352,521.0","531,880.0","26,499.0","-578,614.0"
"23","4","          Contributions \2\","L319041","3,511.0","4,034.0","4,539.0","4,999.0","6,000.0","6,400.0","7,060.0","8,206.0","8,273.0","10,871.0","11,375.0","12,225.0","14,035.0","15,004.0","16,535.0","17,149.0","18,668.0","20,400.0","21,826.0","22,722.0","24,349.0","26,267.0","28,154.0","28,416.0","29,178.0","31,291.0","34,357.0","35,863.0","38,072.0","39,173.0","40,424.0","42,028.0","42,380.0","43,195.0","47,385.0","49,765.0","53,889.0","56,877.0","61,176.0","65,550.0","68,048.0"
"24","5","          Interest received \3\","L319051","2,024.0","2,268.0","2,653.0","3,166.0","3,688.0","3,875.0","4,427.0","5,497.0","5,178.0","6,642.0","8,774.0","11,281.0","14,516.0","16,607.0","23,011.0","25,598.0","27,427.0","31,740.0","35,691.0","39,002.0","40,007.0","48,046.0","40,712.0","46,651.0","38,895.0","43,892.0","50,462.0","63,417.0","57,525.0","72,947.0","65,010.0","68,793.0","53,557.0","48,548.0","57,858.0","65,021.0","58,682.0","67,589.0","64,663.0","60,375.0","37,015.0"
"25","6","          Dividends received \3\","L319061","119.0","191.0","259.0","305.0","376.0","625.0","867.0","830.0","989.0","1,513.0","1,775.0","1,934.0","1,831.0","2,532.0","2,980.0","3,433.0","4,016.0","4,643.0","5,330.0","6,274.0","7,986.0","9,640.0","10,969.0","12,155.0","11,246.0","11,688.0","12,728.0","14,048.0","20,439.0","20,871.0","21,760.0","22,977.0","20,709.0","18,347.0","14,813.0","18,186.0","23,732.0","26,010.0","29,756.0","30,775.0","22,920.0"
"26","7","          Capital gains net of losses \4\","L319071",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,105.0","12,582.0","16,644.0","9,821.0","8,831.0","10,315.0","7,394.0","18,631.0","24,672.0","23,575.0","26,042.0","52,098.0","83,036.0","103,923.0","111,209.0","140,130.0","-16,326.0","-139,351.0","-3,961.0","232,347.0","179,266.0","202,045.0","376,285.0","-130,201.0","-706,597.0"
"27","8","        Unemployment insurance fund contributions and earnings \5\","L319081","3,049.0","3,101.0","3,096.0","3,601.0","4,964.0","5,729.0","8,155.0","15,183.0","15,296.0","13,158.0","12,941.0","13,529.0","18,571.0","16,922.0","21,583.0","16,759.0","17,640.0","18,267.0","18,925.0","17,273.0","19,704.0","18,441.0","18,025.0","27,019.0","34,649.0","29,901.0","37,225.0","33,864.0","34,780.0","23,153.0","22,234.0","23,366.0","23,341.0","27,086.0","35,335.0","38,362.0","35,367.0","36,989.0","34,186.0","34,489.0","42,115.0"
"28","9","        Certain grant programs","L319091","-384.0","-1,183.0","-1,231.0","-2,134.0","-2,228.0","-982.0","-2,752.0","-3,803.0","-3,405.0","-6,531.0","-6,179.0","-6,207.0","-5,793.0","-2,894.0","-1,851.0","124.0","2,351.0","778.0","2,398.0","3,967.0","3,229.0","2,750.0","2,917.0","5,658.0","8,773.0","7,567.0","5,612.0","4,801.0","9,104.0","9,621.0","7,205.0","6,226.0","10,375.0","15,131.0","11,402.0","15,352.0","18,621.0","27,353.0","27,355.0","19,241.0","26,812.0"
"29","10","        Capital transfers received \6\","L319101","6,990.0","6,569.0","6,456.0","6,874.0","7,554.0","8,310.0","9,477.0","11,231.0","12,500.0","13,151.0","14,474.0","17,408.0","18,724.0","16,980.0","17,452.0","18,718.0","20,783.0","23,180.0","22,701.0","22,533.0","23,422.0","24,050.0","25,655.0","26,036.0","26,980.0","29,264.0","31,950.0","32,867.0","34,312.0","34,869.0","37,713.0","42,380.0","46,659.0","51,929.0","50,624.0","51,318.0","54,057.0","55,583.0","57,095.0","61,503.0","62,260.0"
"30","11","        Financial transactions \4\","L319111","105.0","119.0","102.0","161.0","172.0","128.0","465.0","1,175.0","400.0","558.0","793.0","921.0","1,169.0","1,461.0","1,270.0","1,513.0","1,757.0","2,086.0","2,259.0","1,532.0","1,738.0","1,924.0","2,033.0","2,107.0","2,046.0","1,920.0","1,991.0","2,314.0","2,266.0","2,265.0","1,893.0","2,950.0","2,870.0","3,396.0","3,141.0","3,882.0","4,521.0","7,061.0","9,549.0","10,540.0","10,365.0"
"31","12","        Sale of land","L319121","290.0","1,155.0","272.0","229.0","265.0","340.0","265.0","290.0","379.0","472.0","578.0","809.0","785.0","648.0","814.0","768.0","723.0","809.0","653.0","812.0","809.0","936.0","675.0","564.0","657.0","586.0","734.0","695.0","1,226.0","1,619.0","1,165.0","1,470.0","1,917.0","1,608.0","1,282.0","1,501.0","2,153.0","5,153.0","3,403.0","3,203.0","2,581.0"
"32","13","        Certain dividends","W720RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-5.0","-115.0","-210.0","-350.0","-500.0","-603.0","-792.0","-1,040.0","-1,186.0","-1,304.0","-870.0","-824.0","-821.0","-1,150.0","-1,034.0","-1,195.0","-1,143.0","-1,613.0","-1,489.0","-1,696.0"
"33","14","        Current surplus of Indian tribal government enterprises","W721RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-16.0","-229.0","-424.0","-826.0","-1,244.0","-1,580.0","-1,882.0","-2,191.0","-2,526.0","-3,073.0","-3,418.0","-3,784.0","-4,629.0","-5,109.0","-5,240.0","-5,876.0","-7,167.0","-8,067.0","-8,237.0","-8,301.0"
"34","15","        Imputed interest received and net insurance settlements","W722RC1","-612.0","-948.0","-1,136.0","-1,193.0","-1,108.0","-1,139.0","-1,701.0","-1,700.0","-1,475.0","-1,547.0","-1,242.0","-1,025.0","-663.0","-1,001.0","-2,365.0","-2,673.0","-3,415.0","-3,690.0","-3,498.0","-3,000.0","-2,805.0","-2,876.0","-3,350.0","-3,869.0","-3,907.0","-3,389.0","-3,723.0","-3,814.0","-4,337.0","-4,508.0","-5,127.0","-5,572.0","-4,435.0","-4,998.0","-4,898.0","-4,966.0","-4,387.0","-3,905.0","-5,163.0","-8,003.0","-7,195.0"
"35","16","Less: Netting and grossing differences","L319141","19,916.0","22,304.0","25,251.0","28,130.0","30,958.0","35,057.0","39,460.0","45,002.0","50,974.0","57,084.0","65,291.0","75,036.0","86,466.0","98,572.0","106,843.0","116,065.0","124,737.0","134,164.0","143,734.0","154,189.0","167,226.0","180,764.0","193,539.0","208,821.0","223,283.0","238,167.0","252,436.0","265,887.0","275,449.0","287,851.0","299,681.0","318,999.0","341,027.0","364,134.0","393,871.0","418,590.0","443,262.0","480,501.0","515,263.0","550,133.0","577,678.0"
"36","17","        Current expenditures of government enterprises \7\","W723RC1","10,309.0","11,469.0","12,792.0","14,279.0","16,039.0","18,458.0","21,577.0","24,795.0","28,081.0","31,827.0","36,493.0","42,511.0","49,437.0","55,960.0","61,126.0","65,761.0","70,895.0","76,140.0","81,153.0","86,409.0","92,203.0","98,063.0","103,758.0","109,256.0","115,391.0","122,822.0","129,464.0","134,466.0","139,342.0","145,003.0","151,467.0","159,216.0","169,443.0","181,432.0","200,346.0","213,615.0","227,366.0","245,360.0","265,558.0","283,928.0","298,893.0"
"37","18","        Government sales included in Census total revenue \8\","L319161","9,198.0","10,406.0","12,042.0","13,466.0","14,557.0","16,233.0","17,504.0","19,903.0","22,671.0","25,034.0","28,548.0","32,204.0","36,642.0","42,143.0","45,115.0","49,512.0","52,822.0","56,972.0","61,454.0","66,678.0","74,007.0","81,760.0","89,082.0","99,082.0","107,535.0","115,174.0","122,890.0","130,960.0","135,759.0","142,430.0","147,726.0","159,224.0","170,554.0","181,641.0","192,771.0","206,466.0","220,288.0","237,563.0","249,205.0","265,583.0","279,235.0"
"38","19","        Insurance claims included in Census total revenue","W724RC1","440.0","462.0","457.0","428.0","407.0","420.0","423.0","378.0","339.0","365.0","458.0","554.0","620.0","717.0","838.0","998.0","1,222.0","1,345.0","1,373.0","1,338.0","1,321.0","1,258.0","1,084.0","1,112.0","1,099.0","1,029.0","1,118.0","1,159.0","1,113.0","1,177.0","1,300.0","1,310.0","1,746.0","1,864.0","1,587.0","-511.0","-3,460.0","-1,405.0","1,528.0","1,954.0","1,913.0"
"39","20","        Employer contributions to own social insurance funds","L319181","-31.0","-33.0","-40.0","-43.0","-45.0","-54.0","-44.0","-74.0","-117.0","-142.0","-208.0","-233.0","-233.0","-248.0","-236.0","-206.0","-202.0","-293.0","-246.0","-236.0","-305.0","-317.0","-387.0","-631.0","-744.0","-858.0","-1,036.0","-698.0","-765.0","-759.0","-812.0","-751.0","-716.0","-803.0","-833.0","-980.0","-932.0","-1,017.0","-1,028.0","-1,332.0","-2,363.0"
"40","21","Plus: Timing and other differences \9\","L319191","1,154.0","1,180.0","-64.0","165.0","35.0","618.0","7.0","-326.0","-3,374.0","88.0","-330.0","-1,407.0","-1,292.0","-2,204.0","-1,755.0","4,108.0","-6,498.0","2,989.0","3,223.0","5,081.0","2,601.0","-1,018.0","4,248.0","751.0","-10,987.0","-1,386.0","3,732.0","3,510.0","3,661.0","-1,186.0","5,335.0","5,360.0","-15,474.0","550.0","-11,834.0","3,733.0","3,494.0","315.0","-20,350.0","-28,170.0","-22,523.0"
"41","22","        Corporate profits taxes timing differences \9\","L319201","172.0","-307.0","292.0","121.0","109.0","27.0","-239.0","1,350.0","905.0","600.0","486.0","300.0","322.0","-1,651.0","-183.0","1,654.0","137.0","1,457.0","454.0","1,188.0","551.0","-1,181.0","805.0","737.0","-1,658.0","-295.0","-6.0","658.0","-617.0","571.0","1,139.0","840.0","-2,982.0","927.0","-813.0","3,407.0","5,743.0","5,611.0","429.0","-1,957.0","-6,042.0"
"42","23","        Other timing differences and other \9\","L319211","982.0","1,487.0","-356.0","44.0","-74.0","591.0","246.0","-1,676.0","-4,279.0","-512.0","-816.0","-1,707.0","-1,614.0","-553.0","-1,572.0","2,454.0","-6,635.0","1,532.0","2,769.0","3,893.0","2,050.0","163.0","3,443.0","14.0","-9,329.0","-1,091.0","3,738.0","2,852.0","4,278.0","-1,757.0","4,196.0","4,520.0","-12,492.0","-377.0","-11,021.0","326.0","-2,249.0","-5,296.0","-20,779.0","-26,213.0","-16,481.0"
"43","24","Equals: State and local government current receipts, NIPAs","L319221","98,299.0","113,676.0","125,766.0","146,825.0","166,973.0","180,191.0","198,297.0","221,051.0","245,386.0","276,325.0","296,026.0","324,218.0","355,795.0","380,684.0","405,345.0","458,651.0","495,772.0","541,408.0","580,862.0","614,073.0","661,907.0","710,861.0","758,731.0","819,182.0","864,465.0","917,338.0","974,026.0","1,017,777.0","1,069,791.0","1,131,631.0","1,200,666.0","1,288,229.0","1,357,951.0","1,383,567.0","1,434,910.0","1,554,804.0","1,669,948.0","1,789,520.0","1,882,994.0","1,938,085.0","1,918,138.0"
"44",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","25","Census total expenditures","L319231","131,600.0","148,052.0","170,766.0","190,496.0","205,195.0","226,032.0","269,215.0","304,229.0","324,554.0","346,786.0","381,867.0","434,073.0","487,048.0","524,817.0","566,911.0","600,222.0","657,888.0","717,458.0","777,045.0","826,849.0","890,863.0","975,940.0","1,063,270.0","1,156,781.0","1,213,723.0","1,264,289.0","1,351,438.0","1,397,634.0","1,460,749.0","1,529,308.0","1,625,939.0","1,746,943.0","1,899,150.0","2,051,537.0","2,164,176.0","2,266,647.0","2,368,316.0","2,502,264.0","2,663,812.0","2,836,852.0","2,966,614.0"
"46","26","Less: Coverage differences","L319241","21,423.0","22,142.0","26,189.0","26,564.0","26,218.0","27,560.0","37,592.0","43,731.0","38,236.0","32,758.0","38,186.0","47,741.0","54,688.0","50,894.0","54,329.0","47,008.0","55,929.0","65,001.0","72,285.0","76,162.0","84,197.0","97,667.0","110,975.0","128,450.0","129,503.0","125,482.0","142,912.0","146,693.0","156,102.0","162,115.0","179,801.0","202,795.0","229,373.0","275,941.0","294,046.0","279,413.0","274,796.0","288,255.0","311,338.0","327,823.0","361,669.0"
"47","27","        State and local employee retirement plan transactions \10\","L319251","479.0","456.0","515.0","860.0","1,256.0","1,289.0","1,254.0","1,412.0","1,567.0","1,725.0","2,477.0","2,527.0","2,909.0","3,593.0","4,596.0","5,864.0","6,868.0","8,488.0","10,420.0","13,425.0","16,405.0","18,472.0","22,245.0","27,653.0","30,647.0","35,737.0","38,380.0","45,968.0","48,500.0","59,501.0","65,175.0","77,343.0","89,368.0","98,839.0","108,729.0","103,432.0","118,376.0","126,116.0","136,762.0","140,433.0","146,618.0"
"48","28","          Employer contributions to own retirement plans","L319261","-2,854.0","-3,296.0","-3,779.0","-4,050.0","-4,732.0","-5,525.0","-6,374.0","-7,213.0","-8,208.0","-9,271.0","-10,036.0","-11,737.0","-13,090.0","-14,630.0","-15,100.0","-16,793.0","-18,050.0","-18,784.0","-20,040.0","-19,654.0","-19,634.0","-21,223.0","-21,392.0","-20,397.0","-21,952.0","-22,823.0","-25,254.0","-25,032.0","-27,761.0","-24,512.0","-24,876.0","-23,115.0","-22,890.0","-23,141.0","-26,556.0","-42,017.0","-37,675.0","-40,292.0","-45,485.0","-53,376.0","-53,878.0"
"49","29","          Benefits paid","L319271","3,221.0","3,629.0","4,155.0","4,757.0","5,824.0","6,639.0","7,443.0","8,422.0","9,558.0","10,774.0","12,273.0","14,008.0","15,695.0","17,813.0","19,254.0","22,270.0","24,414.0","26,521.0","29,603.0","32,129.0","34,894.0","38,355.0","42,121.0","46,358.0","50,805.0","56,441.0","61,427.0","68,106.0","72,854.0","80,294.0","85,574.0","95,706.0","105,088.0","114,208.0","127,614.0","137,537.0","145,796.0","156,180.0","166,975.0","180,058.0","190,017.0"
"50","30","          Administrative expenses","L319281","112.0","123.0","139.0","153.0","164.0","175.0","185.0","203.0","217.0","222.0","240.0","256.0","304.0","410.0","442.0","387.0","504.0","751.0","857.0","950.0","1,145.0","1,340.0","1,516.0","1,692.0","1,794.0","2,119.0","2,207.0","2,894.0","3,407.0","3,719.0","4,477.0","4,752.0","7,170.0","7,772.0","7,671.0","7,912.0","10,255.0","10,228.0","15,272.0","13,751.0","10,479.0"
"51","31","        Unemployment insurance fund benefits paid \5\","L319291","1,992.0","2,723.0","4,708.0","4,741.0","4,081.0","4,703.0","12,311.0","17,903.0","14,697.0","10,740.0","8,886.0","12,070.0","17,932.0","18,126.0","24,172.0","14,060.0","14,995.0","14,887.0","15,248.0","13,093.0","12,862.0","16,499.0","22,135.0","32,887.0","35,409.0","28,624.0","35,204.0","29,509.0","27,158.0","17,779.0","19,223.0","18,648.0","22,986.0","42,196.0","51,547.0","43,278.0","29,849.0","28,097.0","28,934.0","35,568.0","66,159.0"
"52","32","        Net investment \11\","L319301","17,828.0","18,276.0","20,114.0","20,350.0","19,985.0","20,703.0","23,430.0","24,044.0","21,465.0","19,847.0","25,893.0","31,669.0","31,741.0","27,098.0","26,023.0","27,796.0","34,970.0","42,315.0","46,810.0","48,558.0","53,694.0","60,584.0","64,868.0","67,424.0","63,916.0","61,509.0","69,916.0","72,492.0","83,902.0","88,111.0","98,194.0","110,118.0","119,686.0","134,846.0","135,319.0","135,713.0","130,555.0","138,238.0","149,847.0","159,726.0","156,485.0"
"53","33","        Services provided without payment by domestic securities brokers","L319311","-12.0","-14.0","-16.0","-15.0","-18.0","-25.0","-30.0","-43.0","-63.0","-63.0","-95.0","-140.0","-133.0","-139.0","-197.0","-258.0","-423.0","-677.0","-816.0","-723.0","-720.0","-754.0","-751.0","-859.0","-1,164.0","-1,015.0","-865.0","-858.0","-663.0","-692.0","-760.0","-787.0","-943.0","-913.0","-1,029.0","-1,189.0","-1,375.0","-1,638.0","-1,860.0","-2,276.0","-2,140.0"
"54","34","        Purchases of land","L319321","1,757.0","1,650.0","1,973.0","1,784.0","2,022.0","2,029.0","2,328.0","2,115.0","2,045.0","1,957.0","2,118.0","2,476.0","2,602.0","2,737.0","2,806.0","3,057.0","3,459.0","4,151.0","4,571.0","5,209.0","5,061.0","6,248.0","6,638.0","6,418.0","6,489.0","6,476.0","7,102.0","7,473.0","6,600.0","7,804.0","9,714.0","10,202.0","10,311.0","12,796.0","12,695.0","12,827.0","13,420.0","13,864.0","16,365.0","17,203.0","16,599.0"
"55","35","        Indian tribal government expenditures","W725RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-306.0","-710.0","-1,205.0","-1,887.0","-2,460.0","-3,102.0","-4,077.0","-5,058.0","-5,880.0","-6,618.0","-7,157.0","-7,600.0","-6,825.0","-8,317.0","-9,682.0","-11,642.0","-12,249.0","-13,547.0","-14,556.0","-14,857.0"
"56","36","        Imputed banking and insurance services","W726RC1","-612.0","-948.0","-1,136.0","-1,193.0","-1,108.0","-1,139.0","-1,701.0","-1,700.0","-1,475.0","-1,547.0","-1,242.0","-1,025.0","-663.0","-1,001.0","-2,365.0","-2,673.0","-3,415.0","-3,690.0","-3,498.0","-3,000.0","-2,805.0","-2,876.0","-3,350.0","-3,869.0","-3,907.0","-3,389.0","-3,723.0","-3,814.0","-4,337.0","-4,508.0","-5,127.0","-5,572.0","-4,435.0","-4,998.0","-4,898.0","-4,966.0","-4,387.0","-4,173.0","-5,163.0","-8,275.0","-7,195.0"
"57","37","        Other","L319331","-9.0","-1.0","31.0","37.0","0.0","0.0","0.0","0.0","0.0","99.0","149.0","164.0","300.0","480.0","-706.0","-838.0","-525.0","-473.0","-450.0","-400.0","-300.0","-200.0","-100.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"58","38","Less: Netting and grossing differences","L319341","19,916.0","22,304.0","25,251.0","28,130.0","30,958.0","35,057.0","39,460.0","45,002.0","50,974.0","57,084.0","65,291.0","75,036.0","86,466.0","98,572.0","106,843.0","116,065.0","124,737.0","134,164.0","143,734.0","154,189.0","167,226.0","180,764.0","193,539.0","208,821.0","223,283.0","238,167.0","252,436.0","265,887.0","275,449.0","287,851.0","299,681.0","318,999.0","341,027.0","364,134.0","393,871.0","418,590.0","443,262.0","480,501.0","515,263.0","550,133.0","577,678.0"
"59","39","        Current expenditures of government enterprises \7\","W727RC1","10,309.0","11,469.0","12,792.0","14,279.0","16,039.0","18,458.0","21,577.0","24,795.0","28,081.0","31,827.0","36,493.0","42,511.0","49,437.0","55,960.0","61,126.0","65,761.0","70,895.0","76,140.0","81,153.0","86,409.0","92,203.0","98,063.0","103,758.0","109,256.0","115,391.0","122,822.0","129,464.0","134,466.0","139,342.0","145,003.0","151,467.0","159,216.0","169,443.0","181,432.0","200,346.0","213,615.0","227,366.0","245,360.0","265,558.0","283,928.0","298,893.0"
"60","40","        Government sales included in Census total revenue \8\","L319361","9,198.0","10,406.0","12,042.0","13,466.0","14,557.0","16,233.0","17,504.0","19,903.0","22,671.0","25,034.0","28,548.0","32,204.0","36,642.0","42,143.0","45,115.0","49,512.0","52,822.0","56,972.0","61,454.0","66,678.0","74,007.0","81,760.0","89,082.0","99,082.0","107,535.0","115,174.0","122,890.0","130,960.0","135,759.0","142,430.0","147,726.0","159,224.0","170,554.0","181,641.0","192,771.0","206,466.0","220,288.0","237,563.0","249,205.0","265,583.0","279,235.0"
"61","41","        Insurance claims included in Census total revenue","W728RC1","440.0","462.0","457.0","428.0","407.0","420.0","423.0","378.0","339.0","365.0","458.0","554.0","620.0","717.0","838.0","998.0","1,222.0","1,345.0","1,373.0","1,338.0","1,321.0","1,258.0","1,084.0","1,112.0","1,099.0","1,029.0","1,118.0","1,159.0","1,113.0","1,177.0","1,300.0","1,310.0","1,746.0","1,864.0","1,587.0","-511.0","-3,460.0","-1,405.0","1,528.0","1,954.0","1,913.0"
