"","Table 5#7#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"28","9","  Wholesale trade","A379RX1","114,052.0","116,680.0","118,781.0","119,684.0","121,876.0","123,570.0","126,019.0","128,730.0","128,829.0","131,096.0","132,723.0","135,505.0","135,177.0","137,468.0","140,635.0","141,587.0","143,542.0","143,181.0","142,887.0","145,438.0","149,807.0","154,012.0","153,422.0","158,937.0","156,235.0","152,645.0","153,327.0","152,097.0","152,946.0","157,891.0","161,817.0","162,186.0","165,469.0","167,929.0","171,821.0","175,304.0","180,951.0","183,380.0","184,228.0","189,349.0","193,291.0","195,356.0","197,631.0","198,710.0","201,638.0","204,948.0","204,945.0","204,001.0","208,769.0","206,625.0","207,116.0","209,805.0","208,611.0","209,878.0","209,200.0","207,220.0","204,343.0","200,246.0","203,889.0","206,331.0","210,024.0","213,513.0","220,938.0","222,847.0","225,319.0","227,034.0","227,694.0","229,154.0","231,560.0","234,035.0","238,982.0","237,704.0","238,052.0","239,729.0","238,923.0","245,427.0","250,411.0","253,448.0","255,912.0","254,934.0","254,036.0","258,186.0","258,769.0","258,499.0","260,550.0","264,484.0","266,825.0","267,241.0","269,266.0","265,912.0","267,093.0","271,461.0","272,075.0","274,562.0","275,959.0","280,259.0","281,425.0","282,580.0","285,140.0","286,531.0","286,273.0","290,855.0","295,550.0","302,737.0","307,796.0","311,550.0","314,846.0","316,202.0","317,030.0","318,306.0","316,441.0","318,899.0","324,979.0","334,335.0","339,111.0","347,433.0"
"29","10","    Durable goods","A380RX1","63,497.0","65,401.0","66,614.0","67,189.0","68,329.0","68,558.0","70,238.0","70,965.0","71,383.0","72,489.0","73,758.0","75,770.0","75,949.0","77,861.0","79,047.0","81,054.0","82,300.0","83,948.0","84,879.0","85,893.0","87,812.0","89,296.0","91,246.0","94,480.0","94,575.0","92,784.0","91,480.0","91,662.0","92,138.0","95,092.0","97,125.0","97,446.0","98,831.0","100,209.0","102,129.0","104,457.0","108,799.0","111,356.0","112,247.0","115,510.0","118,596.0","119,294.0","121,302.0","121,336.0","122,351.0","124,281.0","123,668.0","125,572.0","127,143.0","128,718.0","128,745.0","130,223.0","130,603.0","131,856.0","130,590.0","126,845.0","123,222.0","120,997.0","122,315.0","124,232.0","126,514.0","128,660.0","133,068.0","134,979.0","135,599.0","136,192.0","135,834.0","135,705.0","136,661.0","138,126.0","140,311.0","139,109.0","139,537.0","141,233.0","139,279.0","143,249.0","146,584.0","145,817.0","149,315.0","148,677.0","148,455.0","151,246.0","151,072.0","150,065.0","151,087.0","152,607.0","154,289.0","153,297.0","154,085.0","150,727.0","150,440.0","153,083.0","151,916.0","154,062.0","155,132.0","156,119.0","156,444.0","156,492.0","158,037.0","159,630.0","159,517.0","163,577.0","166,464.0","170,460.0","174,314.0","176,922.0","178,682.0","181,883.0","182,893.0","183,460.0","185,060.0","185,103.0","189,201.0","195,901.0","198,182.0","202,948.0"
"30","11","    Nondurable goods","A381RX1","49,333.0","49,954.0","50,812.0","51,116.0","52,159.0","53,744.0","54,426.0","56,528.0","56,142.0","57,308.0","57,577.0","58,217.0","57,635.0","57,854.0","59,922.0","58,585.0","59,288.0","57,150.0","55,947.0","57,459.0","59,813.0","62,436.0","59,986.0","62,198.0","59,421.0","57,662.0","59,671.0","58,261.0","58,625.0","60,547.0","62,399.0","62,436.0","64,330.0","65,389.0","67,352.0","68,433.0","69,553.0","69,277.0","69,176.0","70,934.0","71,664.0","73,050.0","73,263.0","74,311.0","76,165.0","77,474.0","78,045.0","75,296.0","78,327.0","74,797.0","75,217.0","76,360.0","74,733.0","74,680.0","75,318.0","77,311.0","78,292.0","76,448.0","78,816.0","79,259.0","80,617.0","81,910.0","84,839.0","84,682.0","86,663.0","87,846.0","89,017.0","90,816.0","92,348.0","93,308.0","96,273.0","96,371.0","96,210.0","95,931.0","97,598.0","100,022.0","101,472.0","106,068.0","104,377.0","104,057.0","103,300.0","104,519.0","105,420.0","106,406.0","107,465.0","110,066.0","110,620.0","112,338.0","113,650.0","114,077.0","115,800.0","117,446.0","119,646.0","119,775.0","120,022.0","123,718.0","124,651.0","125,931.0","126,908.0","126,465.0","126,314.0","126,387.0","128,112.0","131,297.0","132,202.0","133,201.0","134,742.0","132,334.0","132,029.0","132,757.0","128,757.0","131,433.0","132,656.0","134,552.0","137,290.0","140,639.0"
"31","12","      Merchant wholesalers","A802RX1","83,384.0","85,581.0","87,318.0","88,020.0","90,359.0","91,683.0","94,044.0","96,528.0","96,529.0","98,986.0","100,877.0","103,804.0","103,641.0","105,877.0","108,559.0","109,551.0","111,348.0","110,417.0","110,093.0","112,143.0","116,241.0","120,107.0","119,167.0","123,236.0","119,625.0","116,801.0","117,259.0","116,043.0","116,829.0","120,947.0","123,833.0","124,463.0","127,236.0","129,642.0","134,013.0","137,618.0","144,077.0","147,541.0","148,342.0","152,678.0","157,288.0","158,506.0","160,537.0","161,000.0","162,439.0","164,748.0","167,303.0","168,127.0","170,832.0","169,178.0","169,873.0","172,119.0","170,424.0","173,550.0","172,093.0","170,088.0","168,357.0","164,612.0","167,110.0","169,616.0","173,194.0","175,552.0","182,106.0","184,143.0","186,678.0","188,413.0","190,207.0","191,745.0","194,359.0","196,521.0","201,774.0","200,058.0","200,826.0","203,305.0","202,642.0","208,471.0","213,111.0","216,029.0","218,420.0","216,619.0","215,547.0","218,902.0","218,894.0","219,332.0","220,454.0","223,961.0","226,642.0","227,091.0","229,099.0","226,477.0","227,255.0","231,423.0","232,450.0","234,896.0","235,460.0","240,391.0","241,613.0","242,928.0","245,468.0","246,534.0","245,710.0","250,395.0","254,566.0","260,692.0","264,982.0","267,696.0","270,412.0","271,067.0","271,010.0","272,550.0","270,481.0","273,008.0","278,742.0","287,250.0","291,652.0","298,517.0"
"32","13","        Durable goods","B803RX1","49,168.0","50,882.0","51,918.0","52,336.0","53,646.0","53,864.0","55,557.0","56,369.0","56,940.0","58,279.0","59,796.0","61,999.0","62,156.0","64,044.0","65,031.0","66,960.0","68,016.0","69,152.0","69,716.0","70,889.0","72,681.0","74,620.0","76,189.0","78,640.0","78,269.0","76,212.0","74,894.0","75,397.0","75,930.0","78,533.0","80,030.0","79,545.0","81,264.0","82,881.0","85,212.0","87,648.0","91,848.0","94,406.0","95,394.0","98,292.0","100,621.0","101,009.0","103,129.0","103,375.0","104,502.0","106,324.0","106,279.0","108,398.0","109,758.0","111,189.0","110,646.0","111,794.0","112,026.0","113,227.0","111,789.0","108,703.0","105,559.0","103,209.0","104,555.0","106,401.0","108,893.0","110,591.0","114,530.0","116,165.0","116,731.0","117,141.0","117,155.0","117,500.0","118,519.0","120,195.0","122,438.0","121,137.0","121,697.0","123,700.0","121,864.0","125,576.0","128,815.0","128,043.0","131,466.0","130,165.0","129,895.0","132,518.0","131,907.0","131,091.0","131,804.0","132,979.0","134,979.0","134,065.0","135,064.0","132,012.0","131,258.0","134,091.0","133,305.0","135,535.0","136,220.0","137,910.0","138,398.0","138,553.0","140,016.0","141,147.0","140,571.0","144,717.0","147,255.0","150,638.0","154,045.0","156,092.0","157,403.0","159,997.0","160,435.0","161,099.0","162,401.0","162,617.0","166,509.0","172,768.0","174,901.0","178,605.0"
"33","14","        Nondurable goods","B804RX1","33,409.0","33,836.0","34,519.0","34,797.0","35,809.0","36,952.0","37,573.0","39,271.0","38,659.0","39,761.0","40,080.0","40,725.0","40,379.0","40,650.0","42,375.0","41,333.0","42,085.0","40,084.0","39,300.0","40,162.0","42,303.0","44,133.0","41,914.0","43,492.0","40,423.0","39,665.0","41,343.0","39,706.0","39,952.0","41,428.0","42,778.0","43,877.0","44,905.0","45,675.0","47,696.0","48,825.0","51,024.0","51,887.0","51,668.0","53,061.0","55,331.0","56,158.0","56,028.0","56,234.0","56,530.0","56,992.0","59,552.0","58,275.0","59,578.0","56,529.0","57,750.0","58,822.0","56,828.0","58,761.0","58,777.0","60,029.0","61,660.0","60,286.0","61,437.0","62,051.0","63,088.0","63,708.0","66,300.0","66,631.0","68,760.0","70,199.0","72,196.0","73,512.0","75,228.0","75,592.0","78,896.0","78,564.0","78,745.0","79,063.0","80,681.0","82,738.0","83,989.0","88,391.0","86,832.0","86,381.0","85,483.0","86,063.0","86,818.0","88,349.0","88,746.0","91,314.0","91,899.0","93,550.0","94,602.0","95,412.0","97,253.0","98,495.0","100,661.0","100,687.0","100,480.0","104,042.0","104,838.0","106,168.0","107,258.0","107,062.0","106,838.0","107,023.0","108,647.0","111,467.0","112,134.0","112,699.0","114,168.0","111,790.0","111,200.0","112,113.0","108,275.0","110,827.0","112,583.0","114,613.0","116,985.0","120,230.0"
"34","15","      Nonmerchant wholesalers","A805RX1","30,084.0","30,516.0","30,878.0","31,076.0","30,945.0","31,309.0","31,399.0","31,622.0","31,719.0","31,531.0","31,272.0","31,131.0","30,969.0","31,020.0","31,496.0","31,454.0","31,609.0","32,183.0","32,220.0","32,708.0","32,945.0","33,267.0","33,623.0","35,052.0","35,952.0","35,199.0","35,418.0","35,404.0","35,466.0","36,279.0","37,301.0","37,046.0","37,545.0","37,599.0","37,156.0","37,054.0","36,302.0","35,322.0","35,372.0","36,152.0","35,562.0","36,389.0","36,659.0","37,237.0","38,574.0","39,495.0","37,330.0","35,807.0","37,650.0","37,189.0","37,050.0","37,503.0","37,923.0","36,293.0","36,977.0","36,962.0","35,882.0","35,497.0","36,593.0","36,570.0","36,730.0","37,816.0","38,719.0","38,628.0","38,604.0","38,609.0","37,575.0","37,524.0","37,356.0","37,676.0","37,388.0","37,820.0","37,407.0","36,629.0","36,484.0","37,168.0","37,518.0","37,637.0","37,706.0","38,537.0","38,711.0","39,510.0","40,103.0","39,393.0","40,326.0","40,753.0","40,418.0","40,388.0","40,412.0","39,676.0","40,085.0","40,285.0","39,863.0","39,900.0","40,745.0","40,096.0","40,035.0","39,867.0","39,876.0","40,205.0","40,801.0","40,664.0","41,185.0","42,254.0","43,029.0","44,102.0","44,690.0","45,426.0","46,364.0","46,069.0","46,296.0","46,206.0","46,533.0","47,361.0","47,718.0","49,200.0"
"35","16","        Durable goods","B806RX1","12,803.0","13,009.0","13,182.0","13,319.0","13,231.0","13,247.0","13,294.0","13,255.0","13,155.0","13,018.0","12,875.0","12,800.0","12,822.0","12,903.0","13,091.0","13,216.0","13,399.0","13,838.0","14,147.0","14,057.0","14,211.0","13,906.0","14,255.0","14,952.0","15,315.0","15,471.0","15,445.0","15,201.0","15,170.0","15,524.0","15,997.0","16,636.0","16,412.0","16,262.0","15,991.0","15,970.0","16,198.0","16,265.0","16,212.0","16,584.0","17,262.0","17,526.0","17,488.0","17,321.0","17,258.0","17,391.0","16,923.0","16,798.0","17,006.0","17,161.0","17,616.0","17,918.0","18,047.0","18,118.0","18,228.0","17,608.0","17,136.0","17,181.0","17,192.0","17,296.0","17,186.0","17,596.0","18,079.0","18,346.0","18,404.0","18,565.0","18,259.0","17,874.0","17,845.0","17,706.0","17,707.0","17,762.0","17,665.0","17,448.0","17,309.0","17,605.0","17,750.0","17,739.0","17,868.0","18,414.0","18,450.0","18,644.0","19,012.0","18,831.0","19,114.0","19,436.0","19,191.0","19,107.0","18,938.0","18,618.0","19,022.0","18,895.0","18,545.0","18,503.0","18,857.0","18,251.0","18,111.0","18,017.0","18,110.0","18,542.0","18,954.0","18,928.0","19,276.0","19,876.0","20,324.0","20,863.0","21,291.0","21,878.0","22,413.0","22,329.0","22,618.0","22,460.0","22,687.0","23,153.0","23,308.0","24,336.0"
"36","17","        Nondurable goods","B807RX1","18,983.0","19,212.0","19,403.0","19,422.0","19,403.0","19,916.0","19,954.0","20,372.0","20,726.0","20,726.0","20,633.0","20,577.0","20,283.0","20,192.0","20,522.0","20,202.0","20,074.0","20,068.0","19,553.0","20,409.0","20,468.0","21,419.0","21,312.0","22,065.0","22,670.0","21,395.0","21,732.0","22,120.0","22,263.0","22,765.0","23,350.0","21,915.0","22,971.0","23,297.0","23,161.0","23,061.0","21,652.0","20,216.0","20,373.0","20,796.0","18,949.0","19,661.0","20,102.0","21,065.0","22,667.0","23,521.0","21,639.0","20,082.0","21,829.0","21,158.0","20,502.0","20,633.0","20,956.0","18,901.0","19,570.0","20,405.0","19,747.0","19,190.0","20,563.0","20,374.0","20,752.0","21,520.0","21,941.0","21,399.0","21,273.0","21,015.0","20,136.0","20,702.0","20,511.0","21,241.0","20,786.0","21,321.0","20,897.0","20,175.0","20,227.0","20,661.0","20,894.0","21,092.0","20,945.0","21,116.0","21,299.0","22,077.0","22,247.0","21,572.0","22,372.0","22,393.0","22,357.0","22,452.0","22,771.0","22,312.0","22,171.0","22,668.0","22,699.0","22,825.0","23,374.0","23,530.0","23,690.0","23,623.0","23,476.0","23,165.0","23,259.0","23,114.0","23,224.0","23,652.0","23,941.0","24,481.0","24,551.0","24,551.0","24,922.0","24,669.0","24,503.0","24,638.0","24,706.0","25,044.0","25,266.0","25,568.0"
"37","18","  Retail trade","A382RX1","106,034.0","107,214.0","110,368.0","112,115.0","111,315.0","112,974.0","114,315.0","112,188.0","118,542.0","121,716.0","127,529.0","127,417.0","129,152.0","131,740.0","133,577.0","137,301.0","140,389.0","144,376.0","144,402.0","148,361.0","147,367.0","146,741.0","144,882.0","146,157.0","140,144.0","138,286.0","139,752.0","138,808.0","143,947.0","146,544.0","148,397.0","149,513.0","151,560.0","153,465.0","155,973.0","158,120.0","162,261.0","164,580.0","165,363.0","168,668.0","168,874.0","172,546.0","169,755.0","168,555.0","166,599.0","165,470.0","164,640.0","163,760.0","164,578.0","168,124.0","171,133.0","172,846.0","168,464.0","168,804.0","172,033.0","168,903.0","170,866.0","175,198.0","178,632.0","182,673.0","192,146.0","195,709.0","196,421.0","204,975.0","206,323.0","209,257.0","212,798.0","220,791.0","227,593.0","228,194.0","224,688.0","224,307.0","234,620.0","239,684.0","238,606.0","246,095.0","243,930.0","246,751.0","249,728.0","253,946.0","261,764.0","262,410.0","262,204.0","268,834.0","264,974.0","268,683.0","268,987.0","267,162.0","261,471.0","262,685.0","265,947.0","267,720.0","266,592.0","269,180.0","269,924.0","272,472.0","282,402.0","284,500.0","285,228.0","288,322.0","292,400.0","300,058.0","303,948.0","309,405.0","315,159.0","319,734.0","321,055.0","321,924.0","318,170.0","322,198.0","328,131.0","329,538.0","330,360.0","335,617.0","339,594.0","342,424.0"
"38","19","    Durable goods","B383RX1","47,554.0","47,458.0","49,551.0","50,673.0","49,874.0","50,537.0","51,108.0","47,950.0","52,369.0","54,962.0","59,351.0","57,743.0","58,599.0","59,587.0","60,420.0","63,176.0","65,121.0","68,394.0","69,616.0","71,077.0","71,164.0","70,147.0","68,931.0","71,996.0","67,632.0","68,010.0","69,995.0","68,815.0","70,783.0","72,217.0","74,422.0","75,471.0","77,089.0","78,187.0","80,130.0","81,644.0","84,027.0","84,268.0","84,257.0","87,255.0","88,631.0","91,484.0","88,724.0","86,906.0","84,441.0","81,729.0","79,806.0","79,277.0","78,603.0","81,358.0","81,829.0","82,117.0","78,968.0","78,837.0","81,900.0","78,665.0","79,966.0","81,957.0","83,681.0","86,005.0","90,507.0","91,404.0","90,592.0","96,541.0","97,545.0","99,421.0","100,507.0","106,655.0","111,282.0","111,887.0","107,307.0","106,749.0","114,998.0","118,145.0","116,463.0","122,051.0","118,507.0","121,087.0","123,199.0","127,222.0","132,664.0","130,801.0","129,133.0","134,112.0","130,312.0","133,176.0","134,173.0","132,880.0","126,631.0","127,135.0","129,244.0","128,123.0","127,545.0","129,040.0","128,384.0","129,342.0","135,313.0","136,776.0","136,100.0","138,290.0","141,900.0","145,000.0","147,735.0","151,333.0","155,366.0","158,242.0","158,987.0","160,122.0","157,289.0","160,858.0","164,761.0","164,825.0","165,090.0","167,842.0","170,446.0","172,893.0"
"39","20","      Motor vehicle dealers \4\","B864RX1","26,604.0","26,202.0","27,792.0","28,792.0","27,740.0","28,481.0","29,015.0","24,899.0","29,378.0","32,005.0","36,428.0","33,851.0","33,778.0","33,741.0","33,498.0","34,833.0","36,483.0","38,795.0","39,856.0","41,585.0","40,830.0","39,439.0","38,576.0","41,799.0","37,804.0","38,496.0","40,405.0","38,236.0","39,945.0","40,323.0","41,823.0","42,238.0","43,805.0","44,913.0","46,478.0","48,261.0","49,649.0","48,741.0","48,244.0","51,591.0","53,297.0","56,505.0","53,301.0","51,684.0","48,817.0","45,776.0","44,046.0","43,919.0","37,081.0","40,009.0","40,045.0","39,636.0","37,241.0","37,819.0","41,007.0","37,061.0","37,673.0","38,693.0","39,803.0","41,544.0","44,936.0","44,546.0","43,435.0","48,333.0","48,398.0","49,957.0","49,819.0","56,097.0","59,395.0","59,612.0","53,755.0","54,537.0","63,041.0","64,037.0","61,816.0","65,843.0","61,069.0","63,322.0","64,278.0","67,887.0","73,311.0","70,668.0","67,511.0","72,674.0","67,557.0","69,891.0","71,610.0","71,091.0","65,668.0","66,458.0","68,231.0","67,093.0","67,494.0","68,496.0","68,062.0","68,489.0","73,781.0","74,702.0","72,658.0","72,444.0","75,383.0","76,111.0","77,619.0","79,860.0","83,328.0","85,056.0","83,846.0","85,429.0","81,627.0","84,672.0","88,301.0","87,934.0","86,778.0","87,525.0","89,244.0","92,238.0"
"40","21","      Other \4\","A865RX1","21,007.0","21,215.0","21,839.0","22,067.0","22,149.0","22,171.0","22,263.0","22,621.0","23,057.0","23,316.0","23,776.0","24,317.0","25,109.0","25,988.0","26,889.0","28,260.0","28,697.0","29,785.0","30,044.0","30,016.0","30,646.0","30,796.0","30,403.0","30,644.0","29,876.0","29,686.0","29,966.0","30,591.0","30,995.0","31,952.0","32,717.0","33,314.0","33,505.0","33,599.0","34,079.0","34,010.0","35,019.0","35,930.0","36,303.0","36,337.0","36,226.0","36,246.0","36,303.0","35,962.0","36,010.0","35,964.0","35,623.0","35,282.0","40,807.0","40,962.0","41,361.0","41,961.0","41,072.0","40,472.0","40,599.0","40,959.0","41,635.0","42,602.0","43,249.0","43,911.0","45,174.0","46,338.0","46,543.0","47,840.0","48,715.0","49,106.0","50,229.0","50,526.0","51,977.0","52,358.0","53,157.0","51,969.0","52,226.0","54,295.0","54,679.0","56,365.0","57,236.0","57,677.0","58,816.0","59,408.0","59,736.0","60,310.0","61,503.0","61,654.0","62,548.0","63,193.0","62,634.0","61,881.0","60,782.0","60,565.0","60,985.0","60,940.0","60,042.0","60,557.0","60,323.0","60,843.0","61,735.0","62,281.0","63,489.0","65,761.0","66,525.0","68,817.0","70,048.0","71,424.0","72,069.0","73,229.0","75,087.0","74,695.0","75,543.0","76,127.0","76,487.0","76,892.0","77,182.0","78,536.0","79,892.0","80,671.0"
"41","22","    Nondurable goods","B384RX1","57,214.0","58,521.0","59,497.0","60,076.0","60,112.0","61,095.0","61,853.0","63,090.0","64,806.0","65,241.0","66,435.0","68,072.0","68,920.0","70,501.0","71,480.0","72,328.0","73,410.0","74,070.0","72,886.0","75,315.0","74,272.0","74,681.0","74,078.0","72,220.0","70,715.0","68,440.0","67,849.0","68,130.0","71,264.0","72,386.0","71,936.0","71,954.0","72,313.0","73,082.0","73,560.0","74,125.0","75,804.0","77,932.0","78,756.0","78,890.0","77,603.0","78,289.0","78,413.0","79,155.0","79,842.0","81,638.0","82,887.0","82,583.0","84,184.0","84,823.0","87,439.0","88,913.0","87,864.0","88,369.0","88,298.0","88,679.0","89,267.0","91,572.0","93,233.0","94,849.0","99,720.0","102,469.0","104,163.0","106,387.0","106,661.0","107,611.0","110,123.0","111,517.0","113,390.0","113,321.0","114,918.0","115,160.0","116,561.0","118,306.0","119,104.0","120,610.0","122,400.0","122,416.0","123,143.0","122,986.0","125,024.0","127,832.0","129,512.0","130,845.0","131,074.0","131,742.0","130,946.0","130,479.0","131,508.0","132,213.0","133,259.0","136,379.0","135,849.0","136,879.0","138,399.0","139,992.0","143,661.0","144,200.0","145,752.0","146,492.0","146,619.0","151,185.0","152,128.0","153,730.0","155,132.0","156,643.0","157,183.0","156,768.0","156,084.0","156,200.0","157,970.0","159,399.0","160,074.0","162,475.0","163,883.0","164,145.0"
"42","23","  Other","A385RX1","55,743.0","56,881.0","57,731.0","57,920.0","57,813.0","57,559.0","57,665.0","58,569.0","59,220.0","60,203.0","59,985.0","60,696.0","61,523.0","62,603.0","63,087.0","63,702.0","64,417.0","64,773.0","65,699.0","66,981.0","70,019.0","69,606.0","69,722.0","71,353.0","70,331.0","70,768.0","71,622.0","73,259.0","74,397.0","75,447.0","74,296.0","74,035.0","76,747.0","76,652.0","79,617.0","79,607.0","81,119.0","82,234.0","84,584.0","84,385.0","84,972.0","85,176.0","84,849.0","84,324.0","81,429.0","82,625.0","81,764.0","82,917.0","84,682.0","83,870.0","88,421.0","92,250.0","93,059.0","93,446.0","92,061.0","89,397.0","91,540.0","91,098.0","89,456.0","88,341.0","88,335.0","87,851.0","88,312.0","89,662.0","91,035.0","92,076.0","93,736.0","94,781.0","96,409.0","98,943.0","99,589.0","98,290.0","98,919.0","99,333.0","99,219.0","100,801.0","100,299.0","99,839.0","99,337.0","99,273.0","98,386.0","96,122.0","96,125.0","94,807.0","95,362.0","95,589.0","94,525.0","91,152.0","91,833.0","93,939.0","94,042.0","94,821.0","96,510.0","96,517.0","96,493.0","97,700.0","96,985.0","99,322.0","99,716.0","101,168.0","102,239.0","103,918.0","103,729.0","106,095.0","107,101.0","106,840.0","106,867.0","108,608.0","108,556.0","108,945.0","109,766.0","110,399.0","112,587.0","114,710.0","116,439.0","117,616.0"
"43","24","    Durable goods","B386RX1","4,511.0","4,492.0","5,049.0","4,948.0","4,905.0","4,708.0","4,513.0","4,718.0","4,766.0","4,625.0","4,117.0","3,793.0","4,219.0","4,333.0","4,199.0","4,254.0","5,014.0","4,764.0","5,352.0","5,649.0","5,894.0","5,425.0","5,709.0","5,719.0","5,227.0","4,998.0","5,359.0","5,425.0","5,741.0","5,680.0","5,219.0","5,272.0","5,328.0","5,945.0","5,915.0","5,545.0","6,064.0","6,614.0","6,909.0","6,607.0","6,947.0","7,138.0","7,121.0","6,571.0","6,419.0","5,481.0","5,498.0","6,215.0","6,628.0","6,552.0","6,669.0","6,476.0","6,966.0","7,228.0","7,209.0","7,579.0","7,763.0","7,600.0","7,710.0","6,647.0","7,615.0","7,739.0","7,328.0","6,793.0","6,852.0","6,454.0","6,109.0","6,268.0","6,054.0","5,766.0","5,344.0","5,293.0","5,231.0","5,378.0","5,491.0","5,610.0","5,460.0","5,136.0","4,842.0","5,228.0","5,317.0","5,377.0","5,460.0","5,859.0","6,313.0","6,317.0","6,174.0","5,808.0","4,978.0","4,772.0","5,381.0","5,357.0","6,100.0","6,229.0","5,779.0","5,968.0","5,312.0","5,576.0","5,680.0","6,293.0","6,794.0","6,816.0","6,985.0","6,988.0","7,174.0","6,939.0","6,921.0","7,039.0","7,571.0","7,127.0","7,358.0","7,468.0","7,716.0","8,027.0","8,376.0","8,583.0"
"44","25","    Nondurable goods","B387RX1","51,432.0","52,607.0","52,819.0","53,114.0","53,055.0","53,012.0","53,329.0","54,021.0","54,624.0","55,770.0","56,115.0","57,203.0","57,552.0","58,516.0","59,160.0","59,720.0","59,557.0","60,221.0","60,473.0","61,436.0","64,233.0","64,322.0","64,139.0","65,767.0","65,243.0","65,920.0","66,405.0","67,983.0","68,796.0","69,916.0","69,245.0","68,926.0","71,590.0","70,859.0","73,867.0","74,244.0","75,214.0","75,746.0","77,798.0","77,923.0","78,161.0","78,176.0","77,877.0","77,899.0","75,153.0","77,176.0","76,305.0","76,822.0","78,226.0","77,490.0","81,894.0","85,835.0","86,239.0","86,412.0","85,060.0","82,143.0","84,107.0","83,799.0","82,081.0","81,856.0","81,043.0","80,461.0","81,257.0","83,041.0","84,348.0","85,719.0","87,661.0","88,558.0","90,356.0","93,135.0","94,169.0","92,921.0","93,603.0","93,878.0","93,660.0","95,122.0","94,767.0","94,625.0","94,417.0","93,970.0","92,996.0","90,677.0","90,599.0","88,901.0","89,026.0","89,251.0","88,329.0","85,312.0","86,757.0","89,054.0","88,578.0","89,380.0","90,347.0","90,230.0","90,641.0","91,666.0","91,603.0","93,678.0","93,973.0","94,807.0","95,361.0","97,018.0","96,650.0","99,017.0","99,829.0","99,816.0","99,862.0","101,483.0","100,885.0","101,731.0","102,316.0","102,840.0","104,795.0","106,603.0","107,967.0","108,954.0"
"45","26","Residual","A968RX1","17,400.0","17,300.0","17,100.0","17,500.0","17,200.0","16,300.0","16,300.0","15,000.0","14,900.0","14,400.0","14,400.0","13,000.0","13,300.0","13,500.0","13,400.0","13,500.0","11,700.0","13,400.0","14,700.0","13,400.0","11,100.0","10,100.0","10,300.0","7,700.0","10,000.0","11,000.0","9,900.0","8,900.0","7,900.0","7,100.0","7,200.0","8,200.0","6,600.0","6,300.0","5,800.0","6,100.0","6,000.0","6,600.0","6,900.0","6,600.0","7,700.0","7,800.0","8,600.0","8,900.0","9,100.0","8,600.0","7,700.0","7,200.0","7,800.0","7,600.0","7,900.0","7,200.0","6,800.0","6,700.0","6,100.0","4,900.0","3,500.0","3,700.0","2,300.0","2,900.0","2,200.0","2,800.0","3,600.0","4,700.0","4,100.0","3,900.0","3,300.0","1,400.0","1,000.0","500.0","-100.0","-1,100.0","-600.0","300.0","-200.0","400.0","600.0","500.0","1,500.0","2,100.0","3,100.0","3,400.0","3,400.0","3,500.0","3,500.0","3,200.0","3,500.0","-800.0","-1,600.0","-2,700.0","-3,200.0","-4,100.0","-5,200.0","-5,400.0","-6,100.0","-7,100.0","-6,600.0","-7,100.0","-6,900.0","-5,900.0","-5,500.0","-4,700.0","-4,300.0","-4,100.0","-3,200.0","-2,600.0","-1,800.0","-1,000.0","-900.0","-300.0","400.0","100.0","1,100.0","2,600.0","1,900.0","900.0"
