"","Table 7#20# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"31","13","Equals: IRS-derived nonprofit institution income and receipts from sales","W441RC1","460,220.0","493,593.0","523,129.0","559,155.0","595,484.0","637,633.0","676,693.0","726,791.0","789,904.0","864,539.0","921,708.0","967,108.0","1,030,790.0","1,111,165.0","1,220,728.0","1,219,882.0","1,247,199.0",".....","....."
"32","14","Nonprofit institution income, NIPAs \7\","W400RC1","131,746.0","135,343.0","142,856.0","151,294.0","170,850.0","188,832.0","196,701.0","221,802.0","248,743.0","240,968.0","240,819.0","242,994.0","270,643.0","294,668.0","310,246.0","314,988.0","316,183.0","314,176.0","319,449.0"
"33","15","Plus: Receipts from sales of goods and services by nonprofit institutions, NIPAs \8\","DNPSRC1","308,456.0","328,681.0","342,315.0","356,216.0","373,091.0","397,036.0","419,552.0","439,870.0","466,611.0","501,808.0","544,679.0","574,668.0","618,205.0","662,591.0","695,181.0","735,450.0","761,930.0","797,903.0","838,645.0"
"34","16","Equals: BEA-derived nonprofit institution income and receipts from sales","W442RC1","440,202.0","464,024.0","485,171.0","507,510.0","543,941.0","585,868.0","616,253.0","661,672.0","715,354.0","742,776.0","785,498.0","817,662.0","888,848.0","957,259.0","1,005,427.0","1,050,438.0","1,078,113.0","1,112,079.0","1,158,094.0"
"35","17","    Gap, IRS less BEA nonprofit institution income and receipts from sales","W443RC1","20,018.0","29,569.0","37,957.0","51,645.0","51,543.0","51,764.0","60,440.0","65,119.0","74,550.0","121,763.0","136,210.0","149,446.0","141,942.0","153,906.0","215,301.0","169,443.0","169,085.0",".....","....."
"36","18","Expenses of nonprofit institutions, IRS \1\","W444RC1","633,554.0","673,556.0","700,748.0","764,249.0","809,733.0","861,972.0","882,739.0","933,465.0","1,039,507.0","1,116,294.0","1,202,700.0","1,284,506.0","1,362,845.0","1,455,299.0","1,575,686.0","1,669,330.0","1,768,826.0",".....","....."
"37","19","Less: Nonprofit institution expenses recorded by the IRS not included in gross output of nonprofit institutions and current transfer payments","W445RC1","223,539.0","235,494.0","243,903.0","273,274.0","326,046.0","282,264.0","292,715.0","301,220.0","345,386.0","353,913.0","369,874.0","417,925.0","444,207.0","477,261.0","515,035.0","600,887.0","624,745.0",".....","....."
"38","20","      Adjustment for different accounting periods","W446RC1","7,477.0","3,632.0","4,355.0","1,249.0","5,457.0","3,775.0","8,848.0","8,631.0","15,601.0","14,608.0","5,975.0","7,947.0","12,996.0","21,369.0","11,886.0","30,882.0","10,126.0",".....","....."
"39","21","      Nonresident institutions","W447RC1","9,361.0","9,398.0","11,571.0","10,251.0","10,119.0","10,527.0","11,345.0","10,052.0","10,960.0","10,502.0","7,633.0","10,554.0","9,987.0","8,332.0","12,830.0","15,513.0","19,587.0",".....","....."
"40","22","      Government hospitals and schools \2\","W448RC1","49,122.0","58,003.0","64,425.0","67,128.0","79,170.0","51,390.0","69,783.0","64,755.0","76,374.0","82,031.0","97,289.0","119,267.0","129,378.0","134,283.0","152,973.0","153,445.0","171,913.0",".....","....."
"41","23","      Other out-of-scope activity \3\","W449RC1","136,060.0","141,549.0","141,300.0","170,893.0","202,922.0","186,270.0","164,464.0","174,373.0","191,903.0","192,370.0","203,659.0","222,791.0","233,769.0","251,338.0","266,920.0","319,785.0","340,405.0",".....","....."
"42","24","      Transfer payments to nonprofit institutions \4\","W426RC1","25,439.0","26,898.0","26,315.0","27,970.0","32,466.0","34,264.0","42,169.0","47,494.0","55,075.0","59,263.0","60,290.0","62,598.0","63,894.0","68,837.0","78,521.0","90,311.0","92,443.0","89,947.0","89,767.0"
"43","25","      Capital consumption adjustment \9\","W429RC1","-3,922.0","-3,987.0","-4,063.0","-4,217.0","-4,087.0","-3,963.0","-3,894.0","-4,085.0","-4,527.0","-4,861.0","-4,973.0","-5,230.0","-5,817.0","-6,897.0","-8,095.0","-9,049.0","-9,730.0",".....","....."
"44","26","Plus: Gross output of nonprofit institutions and current transfer payments not recorded by the IRS","W451RC1","25,807.0","28,015.0","31,666.0","32,551.0","34,314.0","33,949.0","36,748.0","37,616.0","40,486.0","43,846.0","43,451.0","44,144.0","47,006.0","50,289.0","51,792.0","55,821.0","50,521.0",".....","....."
"45","27","      Religious organizations \5\","W453RC1","26,252.0","27,764.0","31,255.0","32,156.0","34,077.0","34,369.0","37,793.0","39,254.0","43,315.0","47,061.0","47,783.0","48,904.0","52,537.0","55,309.0","57,251.0","61,718.0","55,395.0",".....","....."
"46","28","      Other organizations","W454RC1","1,209.0","1,203.0","1,293.0","1,369.0","1,448.0","1,784.0","1,732.0","1,784.0","1,701.0","1,625.0","1,717.0","1,958.0","1,961.0","1,987.0","2,149.0","2,304.0","2,539.0",".....","....."
"47","29","      Adjustment for other accounting differences \10\","W452RC1","-1,654.0","-952.0","-882.0","-974.0","-1,211.0","-2,204.0","-2,777.0","-3,421.0","-4,530.0","-4,840.0","-6,049.0","-6,718.0","-7,492.0","-7,007.0","-7,609.0","-8,201.0","-7,412.0",".....","....."
"48","30","Equals: IRS-derived gross output of nonprofit institutions and current transfer payments","W455RC1","435,822.0","466,077.0","488,511.0","523,526.0","518,001.0","613,658.0","626,772.0","669,861.0","734,607.0","806,227.0","876,277.0","910,725.0","965,644.0","1,028,327.0","1,112,443.0","1,124,264.0","1,194,602.0",".....","....."
"49","31","Gross output of nonprofit institutions, NIPAs \11\","DNPERC1","400,799.0","423,303.0","444,684.0","463,386.0","488,806.0","509,284.0","550,547.0","585,277.0","631,979.0","688,012.0","749,684.0","785,929.0","827,580.0","874,298.0","935,158.0","989,366.0","1,046,516.0","1,078,160.0","1,118,857.0"
"50","32","Plus: Nonprofit institution current transfer payments, NIPAs \12\","W419RC1","23,153.0","26,237.0","28,567.0","28,671.0","33,488.0","36,717.0","43,655.0","48,765.0","51,652.0","58,716.0","61,902.0","65,594.0","69,777.0","76,657.0","80,111.0","86,545.0","93,011.0","97,440.0","104,660.0"
"51","33","Equals: BEA-derived gross output of nonprofit institutions and current transfer payments","W456RC1","423,952.0","449,540.0","473,251.0","492,057.0","522,294.0","546,001.0","594,202.0","634,042.0","683,631.0","746,728.0","811,586.0","851,523.0","897,357.0","950,955.0","1,015,269.0","1,075,911.0","1,139,527.0","1,175,600.0","1,223,517.0"
"52","34","    Gap, IRS less BEA gross output of nonprofit institutions and current transfer payments","W457RC1","11,871.0","16,536.0","15,260.0","31,468.0","-4,293.0","67,656.0","32,570.0","35,819.0","50,976.0","59,499.0","64,691.0","59,202.0","68,287.0","77,372.0","97,174.0","48,352.0","55,076.0",".....","....."
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. For 1996, includes an adjustment to account for some classes of tax-exempt institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","not included in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Primarily reflects adjustment for differences between IRS and BEA in sector definitions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and in treatment of scholarships and fellowships.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Includes activities of nonprofit institutions serving business, unrelated sales, secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales, and sales to business, government, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","4. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","households through the support of other nonprofit institutions, plus their payments to affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5. Reflects partial coverage in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","6. Consists of imputed interest received for depositor and insurance services, net insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","settlements, and capital consumption adjustment for rental income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","7. Estimates of income and outlays of nonprofit institutions serving households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","are provided in table 2.9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","8. Equals table 2.9, line 68.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","9. IRS-reported capital consumption allowance less BEA-estimated consumption of fixed capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","for structures and for equipment and software of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","10. Consists primarily of financial services furnished without payment for depositor and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","insurance services, less expenditures for computer software investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","11. Equals table 2.9, line 58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","12. Equals table 2.9, line 78.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
