"","Table 3#4U# Personal Current Tax Receipts                       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105"
"11","3","  Income taxes","B231RC0",401644,399584,401528,408620,437868,446788,455428,465740,461212,470068,475044,474272,457292,459172,461856,466936,459072,467968,477160,496704,478116,503032,513404,527312,524172,553352,541652,550880,563172,589868,587040,603076,631260,668512,669092,684264,718660,733628,751364,772960,794580,814916,835620,855708,865380,881380,899800,925600,972548,982832,1006964,1019860,1046868,1044672,877532,998184,843864,832848,821484,815732,799268,806984,712360,777620,768688,787816,812108,825472,897456,920552,944372,965888,1020084,1035564,1054972,1087836,1138844,1157068,1172620,1189056,1193892,981632,1108152,1122980,911400,846176,832736,838344,854164,885776,908728,926692,1055476,1072212,1091488,1088660,1122356,1133120,1147168,1193988,1251968,1271716
"12","4","    Withheld","PTN0180",344088,343792,345988,352228,360904,367772,374760,383504,388720,396804,401532,401152,397956,399624,401264,404456,396296,402712,409584,427156,409924,432456,441512,454992,450576,464016,469572,479444,485340,494844,506528,518992,527080,543244,556508,568448,578004,588560,600296,614440,625168,638884,655564,674328,694312,709184,724072,743960,765484,768932,787440,796148,814708,813628,791736,782820,735860,735068,731732,731952,731684,743152,706296,719664,721192,740044,761804,771280,781900,796888,812652,824720,848448,855796,868032,896332,936296,948176,955928,964140,965088,954204,945352,927768,863468,818476,818616,831924,846544,878356,898064,910600,972376,982716,998136,993540,1029868,1038292,1046916,1085752,1072024,1083424
"13","5","    Declarations and settlements","PTN1000",129884,128120,127868,128720,147164,149216,150868,152436,145948,146720,146968,146576,139512,139724,140768,142656,142564,145044,147364,149336,143776,146160,147476,147904,150708,166448,149192,148548,163764,180956,166444,170016,193520,214608,201924,205156,234452,238864,244864,252316,269432,276052,280076,281400,296248,297376,300908,306820,341168,348004,353628,357816,381008,379892,234644,364212,289536,279312,271284,265312,246472,242720,184952,236844,234400,234676,237208,241096,295984,304092,312148,321596,368028,376160,383332,387896,409308,415652,423452,431676,448864,449052,439900,421468,321312,301080,287500,279800,260500,260300,263544,268972,315348,321744,325600,327368,331368,333708,339132,347116,408636,416984
"14","6","    Less: Refunds","PTN2000",72328,72328,72328,72328,70200,70200,70200,70200,73456,73456,73456,73456,80176,80176,80176,80176,79788,79788,79788,79788,75584,75584,75584,75584,77112,77112,77112,77112,85932,85932,85932,85932,89340,89340,89340,89340,93796,93796,93796,93796,100020,100020,100020,100020,125180,125180,125180,125180,134104,134104,134104,134104,148848,148848,148848,148848,181532,181532,181532,181532,178888,178888,178888,178888,186904,186904,186904,186904,180428,180428,180428,180428,196392,196392,196392,196392,206760,206760,206760,206760,220060,421624,277100,226256,273380,273380,273380,273380,252880,252880,252880,252880,232248,232248,232248,232248,238880,238880,238880,238880,228692,228692
"15","7","  Other taxes","B035RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","8","State and local","W071RC0",99411,97227,104140,107598,113385,118249,114509,112413,119335,122553,123722,124626,121197,124526,126101,129420,127470,136898,136698,140154,136451,138310,143566,145941,146892,141914,151151,152003,156833,152354,160645,162604,165285,165897,169346,174164,177782,176887,184075,189248,195535,201439,201602,206308,208140,209393,216433,223978,232121,243253,236676,234782,250753,259807,232012,229500,221328,212140,227312,226620,218620,207716,238352,242524,239620,235444,250788,263932,270312,272444,277508,285476,295636,308660,299004,306700,318456,325620,322180,327672,335488,355388,334236,309036,284100,279044,293692,294248,291428,282152,300716,316220,320500,327712,330064,329740,340480,346868,349244,358772,377070,393115
"17","9","  Income taxes","B245RC0",88279,85800,92491,95826,101291,105833,102142,99814,106638,109512,110751,111475,107950,111221,112227,115482,112714,122258,121935,124601,121765,123948,128663,130524,131395,125763,135082,136724,140623,136122,144241,145962,148999,149633,152847,157825,160726,159572,166757,171613,177707,183227,183384,187762,189319,190540,197424,204845,212702,224026,217048,215640,231612,240092,212146,209494,201496,191528,206600,205688,197468,185996,215732,219596,216188,212024,226888,239476,245788,247824,252500,259932,269692,282352,272560,280004,291356,298548,295044,300556,309220,328936,307652,282268,256656,251216,265244,264904,261572,251660,269860,285504,289844,296948,299088,298664,309104,315264,317720,326932,345485,361027
"18","10","  Motor vehicle licenses","S210300",7035,7285,7430,7454,7608,7839,7707,7858,7929,8197,8075,8215,8256,8174,8613,8505,9010,8969,8958,9675,8902,8564,8948,9294,9103,9563,9391,8619,9612,9642,9787,9943,9371,9258,9488,9095,9709,10044,9819,10116,10220,10461,10393,10586,10727,10655,10793,11017,11421,11396,11691,11124,10981,11354,11435,11530,11388,12136,12112,12076,12020,12348,13032,13232,13460,13428,13700,14120,13920,13796,14036,14332,14564,14724,14700,14740,14956,14864,15024,15116,14756,14948,14972,14932,15084,15136,15360,15984,16004,16316,16560,16404,16680,16780,17020,17120,17320,17480,17344,17572,17305,17647
"19","11","  Property taxes","S210400",2427,2446,2489,2554,2662,2744,2811,2867,2898,2946,2995,3049,3087,3166,3263,3376,3569,3650,3692,3697,3572,3578,3626,3716,3936,4040,4113,4155,4090,4125,4183,4266,4430,4520,4580,4614,4577,4599,4627,4669,4712,4779,4869,4980,5112,5176,5162,5074,4911,4821,4804,4856,4982,5065,5107,5106,5060,5088,5184,5360,5600,5760,5832,5820,5716,5680,5716,5816,5988,6140,6276,6392,6496,6592,6688,6784,6872,6936,6972,6976,6956,6976,7036,7140,7284,7408,7496,7560,7564,7552,7512,7448,7360,7288,7252,7244,7268,7280,7296,7308,7324,7332
"20","12","  Other taxes \2\","S210500",1670,1696,1730,1764,1824,1833,1849,1874,1870,1898,1901,1887,1904,1965,1998,2057,2177,2021,2113,2181,2212,2220,2329,2407,2458,2548,2565,2505,2508,2465,2434,2433,2485,2486,2431,2630,2770,2672,2872,2850,2896,2972,2956,2980,2982,3022,3054,3042,3087,3010,3133,3162,3178,3296,3324,3370,3384,3388,3416,3496,3532,3612,3756,3876,4256,4312,4484,4520,4616,4684,4696,4820,4884,4992,5056,5172,5272,5272,5140,5024,4556,4528,4576,4696,5076,5284,5592,5800,6288,6624,6784,6864,6616,6696,6704,6712,6788,6844,6884,6960,6956,7109
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Excludes estate and gift taxes, which are classified in the NIPAs as capital transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists largely of hunting, fishing, and other personal licenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
