"","Table 5#7#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"16","7","      Primary metal manufacturing","I3310",-1920,954,839,398,1853,1294,1923,2174,2015,639,-452,-1166,-1709,-976,-132,963,-72,809,943,695,1289,485,-174,-567,-837,246,-167,-1609,-2249,-3133,-3340,-4810,-2091,61,312,-2263,-2709,-5200,-3349,-2299,-1396,-3506,464,160,-4140,-8133,-4019,8452,7874,4372,-1261,-4322,-2477,-3177,-940,-4021,-4886,-3113,-829,3182,178,1592,1539,162,1496,1968
"17","8","      Fabricated metal product manufacturing","I3320",-44,230,47,-185,62,-43,444,1209,1334,400,-379,-816,-1224,-692,-620,498,398,1233,566,762,1745,310,94,-246,-1714,-617,-226,1253,-1415,-3770,-5905,-4856,-2348,15,582,-1825,-2565,-3842,-3270,-494,-3358,-2273,1,14,-4765,-10710,-6927,8035,8029,5344,-60,-3300,-2552,-4405,-639,-1677,-4055,-3796,-1643,642,-1047,26,2104,67,160,1424
"18","9","      Machinery manufacturing","I3330",1108,-1347,-481,873,-970,-724,55,1157,-324,-305,258,-565,581,-861,-563,-1289,-1472,528,845,1046,3380,1513,-78,-809,-266,895,-322,-2610,-1748,-2509,-2952,-2682,-2320,-1787,-680,945,-1816,-2198,-2181,-833,-2752,-1867,-980,-202,-5101,-7574,-4811,2783,3630,3630,37,-2421,6,-2931,-837,-1307,-5294,-2683,-1353,-545,-2428,-1336,2008,603,-20,596
"19","10","      Computer and electronic product manufacturing","I3340",4146,5313,6210,4999,2995,2686,3937,4257,3758,917,208,-122,4715,-965,1056,-2890,-3132,628,3126,2570,2235,1999,1112,718,4337,3243,1392,-25,1577,-509,171,351,912,788,69,-428,-962,-1133,-779,291,1946,1776,1496,843,-243,-1213,138,916,2072,1399,-63,-1521,920,-1022,1311,-2705,-1650,-1144,-605,2001,-1541,-408,1079,496,-1392,-532
"20","11","      Electrical equipment, appliance, and component manufacturing","I3350",-748,-143,171,680,622,659,367,44,272,-121,-218,-76,-43,-569,343,-440,-396,-235,221,606,553,60,317,413,-170,-13,166,-182,-820,-753,-919,-878,-714,-264,-209,-1013,-1074,-1954,-1022,-59,97,-1169,-226,-213,-2038,-1632,-351,1432,1727,520,-356,-590,-1397,-929,-507,-627,-1565,-1115,-633,296,-201,180,-144,-250,-80,508
"21","12","      Transportation equipment manufacturing","I3360",-750,-302,356,2018,-2794,-351,1041,2787,424,-142,623,-2160,270,-2220,-3907,-2155,1699,1286,-797,-941,5034,167,-479,-4823,-579,-337,124,-1409,-1870,-3005,-3803,-1864,-2019,-164,-969,-2028,2006,-3623,-5117,-3174,-354,-825,18,-1627,-5544,-7359,-3240,1641,226,763,-217,-313,-2619,-2455,-648,-2348,-7165,-4355,-3021,903,13,-97,-1744,-2762,-1244,-432
"22","13","        Motor vehicle and parts manufacturing","I336MV0",652,-128,-257,951,-419,479,675,-193,-545,-47,1117,200,-1201,-340,-505,374,-591,460,-138,634,1109,-94,266,-753,-11,92,537,-478,-2045,-1897,-611,168,-1931,-533,-54,-90,566,-1501,-2232,-409,-1147,-490,330,-506,-2390,-3834,-1009,3155,2691,1750,-229,-2082,-2594,-1281,791,4,-2934,-1002,-126,96,-185,660,-297,-767,-208,632
"23","14","        Other transportation equipment manufacturing","I336OT0",-1402,-174,614,1067,-2375,-831,366,2980,969,-95,-494,-2360,1471,-1880,-3402,-2529,2289,827,-658,-1574,3925,261,-745,-4070,-567,-429,-413,-931,175,-1108,-3192,-2031,-88,369,-914,-1938,1440,-2122,-2885,-2765,793,-335,-312,-1121,-3154,-3525,-2231,-1515,-2466,-986,12,1769,-24,-1174,-1439,-2352,-4231,-3353,-2894,807,199,-757,-1447,-1994,-1036,-1064
"24","15","      Furniture and related product manufacturing","I3370",-64,-137,32,65,-133,52,19,182,-98,-169,-146,172,-212,-207,129,256,-239,-490,246,763,506,308,-44,-291,-1023,-551,-474,519,-466,-778,-199,42,-398,-119,-93,-122,-479,-234,104,176,-214,-38,-13,-88,-574,-757,-418,265,606,536,-60,-407,-72,-848,-92,12,-565,-240,-55,14,-200,-299,-25,-201,-340,-60
"25","16","      Miscellaneous durable goods manufacturing","I3390",307,-51,-7,-373,215,127,322,365,11,-301,-222,-124,-777,285,-237,13,-288,108,180,176,326,408,343,327,-955,-47,-120,53,-839,-1118,-1109,-507,-1183,-719,-305,37,-153,-1881,-680,-1013,-1272,-606,-445,-57,-3452,-4659,1862,3620,812,832,891,-302,-453,-970,-698,-926,-1661,-1641,-986,14,-585,-662,-148,-151,-608,-268
"26","17","    Nondurable goods industries","I30N0",6477,2731,772,-243,3495,2917,2984,4146,7752,828,-3846,-7690,-11027,-8102,-4534,-3352,-4229,2052,5970,5004,11125,3383,-4217,-7745,-12010,-4708,-4479,-5630,-9740,-13481,-8521,-9131,-12400,-9144,-13080,-13756,-7306,-9743,-5777,2684,-11707,-15018,-12319,-25795,-23822,-32318,-16111,56576,20031,2502,-4634,-16810,-18759,-8251,-7643,-25606,-37395,-24642,-9705,-3894,-1463,8288,-8300,-7394,-8336,2604
"27","18","      Food manufacturing","I3110",379,392,450,-633,924,124,54,502,1288,319,-738,-483,-1487,-1198,688,-983,-2070,-659,253,632,-452,1138,-746,262,-2575,-2059,-3341,-1940,-3039,-4096,3440,-1447,-638,406,286,-770,1014,76,-3429,-3329,-5976,-4889,-3447,-5397,-8204,-4160,934,7941,5504,598,3281,-3996,-2936,-1393,-3137,-7482,-11509,-5919,-2722,1906,-2230,280,-5579,-1541,-540,-592
"28","19","      Beverage and tobacco product manufacturing","I3120",559,-84,-565,-654,-256,5,-159,-145,290,296,-136,-670,-377,-308,-150,23,-18,31,198,70,-648,-77,67,345,70,-259,-271,297,-900,-855,-615,-158,1201,1131,1111,973,315,43,-360,-631,-847,-807,-458,-70,-737,-631,-525,-541,-192,-101,-256,-302,-184,-320,-515,-841,-626,-420,-601,-438,-477,-490,-491,-521,-340,-240
"29","20","      Textile mills","I3130",115,-2,69,53,-145,-67,74,231,784,254,27,-214,-214,-85,20,62,-628,590,775,895,599,296,-62,-165,-257,70,-63,80,162,-163,152,100,-141,-6,-191,-207,-219,-27,0,49,-49,-52,-141,-273,-271,-225,-209,77,465,70,-19,-202,3,-121,-118,-177,-656,-388,-214,67,-102,24,94,-61,-88,-12
"30","21","      Textile product mills","I3140",24,65,12,-5,9,99,123,86,343,135,88,10,-184,-199,-25,176,173,362,267,102,190,-128,-4,66,118,166,67,-30,89,-137,-42,-46,-189,12,-45,18,-207,-81,24,155,-84,-57,-60,-24,-58,-85,-254,20,288,6,-3,-12,-31,-67,-58,-82,-607,-322,-40,35,42,76,-12,-108,-8,-36
"31","22","      Apparel manufacturing","I3150",133,37,38,-57,2,203,212,191,1205,365,-273,-201,-47,-65,-16,12,-674,83,609,491,1288,213,7,-95,83,-83,-201,541,158,-82,-259,-208,-231,-179,70,199,-471,-418,136,428,-86,-148,-171,-114,-321,-191,-171,-260,-164,-141,-33,53,-68,-62,-49,-23,-287,-139,-24,-30,31,36,78,-34,-8,32
"32","23","      Leather and allied product manufacturing","I3160",-131,32,70,44,72,12,1,162,69,4,-51,-42,-139,23,-44,-76,-139,-27,45,109,-101,-17,35,77,-27,-5,-49,-26,-1,-35,58,-54,12,-43,0,34,-15,-63,-3,2,-113,-35,-16,-16,-33,-135,-14,-44,0,43,30,-17,-28,-23,15,-9,-176,-47,-11,1,-22,4,-37,1,-52,-84
"33","24","      Paper manufacturing","I3220",1623,26,5,-14,-935,-232,93,444,1097,869,597,-299,-1362,-1223,-577,-22,-260,408,632,-98,1606,1406,625,-181,-388,-585,-220,-59,416,-909,-1137,-1174,-1212,-819,-390,300,-1288,-685,-87,263,59,428,-28,-748,-1284,-1588,-1700,1,1567,1305,708,-383,-629,-1085,-843,-593,-1119,-887,-533,-42,-271,-496,70,-589,-148,228
"34","25","      Printing and related support activities","I3230",1116,-452,-363,-313,-391,-142,-193,22,917,660,248,-56,-753,-552,-340,112,-467,-125,409,578,1857,574,-211,-396,-370,-332,-50,208,-43,-351,-147,-467,-428,-346,-446,80,-811,-353,1,363,444,621,186,14,-667,-1010,-878,-121,605,1062,648,-283,112,-137,-493,-310,-461,-250,-156,45,-222,3,36,-238,164,172
"35","26","      Petroleum and coal product manufacturing","I3240",1654,2061,1022,1142,4316,2143,1078,213,-177,-2255,-2416,-3860,-3148,-861,-1157,-954,906,685,822,1778,140,-1387,-2291,-5114,-3765,1063,-1131,-4063,-2726,-2547,-4608,-1747,-8172,-6316,-8435,-4069,-2246,-3924,943,1767,-3895,-5404,-6755,-11731,3888,-5028,-2,38222,3397,-3082,-8135,-8480,-9120,-2417,-3104,-9968,-10081,-2215,-208,-7476,2529,7803,-3168,-2527,-3140,3000
"36","27","      Chemical manufacturing","I3250",847,752,-144,-124,-596,119,1060,2111,1031,219,-491,-1099,-1962,-2115,-2514,-1922,-1069,208,612,-87,2473,546,-166,-169,-3470,-1764,460,-209,-3254,-2987,-3803,-1989,-402,-2052,-4470,-8064,-2714,-4729,-1539,2469,-2026,-4073,-898,-6245,-14235,-16878,-9416,8929,5971,1595,-529,-2523,-4035,-1151,992,-5898,-10362,-11087,-3706,1648,224,1221,430,-1249,-3044,128
"37","28","      Plastics and rubber product manufacturing","I3260",158,-95,176,318,495,653,641,331,903,-38,-702,-775,-1354,-1520,-420,219,17,495,1348,535,4174,820,-1470,-2376,-1429,-920,321,-429,-601,-1320,-1561,-1942,-2201,-932,-571,-2249,-665,417,-1463,1145,867,-604,-532,-1191,-1900,-2387,-3876,2352,2590,1147,-325,-664,-1842,-1475,-335,-222,-1511,-2970,-1491,390,-964,-172,281,-529,-1132,8
"38",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","    Materials and supplies","I30M0",3406,1954,2325,3820,-1169,1557,5556,10288,9145,3908,-1963,-8642,-1082,-4236,-4229,-3014,-1715,207,4646,6336,6408,2194,-2594,-3857,-3452,-1204,-2119,-5666,-9008,-10443,-10710,-11423,-8690,-3165,-6147,-10932,-5386,-12054,-7833,-2210,-8115,-11327,-4553,-7390,-21125,-29261,-13475,36658,24118,14867,-4234,-17598,-12602,-9099,-2889,-16957,-23958,-14550,-4779,1500,-4609,805,1919,-222,-3196,4192
"40","30","      Durable goods industries","I30DM0",1122,1525,1942,2947,-1386,657,4025,7553,4714,2474,-411,-4316,2776,-1286,-3076,-1756,-243,-57,2855,3910,1916,455,49,-37,627,742,106,-2952,-4739,-6193,-7449,-7391,-5454,-1260,-899,-3385,-2344,-8372,-7030,-2816,-2660,-5574,-119,-999,-13088,-18042,-7943,15111,14131,12703,-2207,-9104,-5853,-7389,-1245,-5349,-10045,-7582,-3202,1671,-2546,-60,3590,245,-192,2564
"41","31","      Nondurable goods industries","I30NM0",2284,429,382,873,217,900,1532,2735,4431,1434,-1552,-4326,-3858,-2950,-1153,-1258,-1472,264,1790,2426,4492,1739,-2642,-3819,-4078,-1946,-2225,-2715,-4269,-4251,-3261,-4032,-3235,-1905,-5249,-7547,-3043,-3682,-802,607,-5455,-5753,-4434,-6391,-8037,-11220,-5532,21547,9987,2164,-2028,-8494,-6749,-1710,-1643,-11608,-13913,-6967,-1577,-171,-2064,865,-1671,-468,-3004,1628
"42","32","    Work-in-process","I30W0",3281,2999,1454,2787,2328,2207,3133,4580,1475,-1151,-90,-1001,-1042,-4851,-1830,-3930,1949,3400,461,-874,6620,1011,82,-2900,-5159,665,-818,1758,-4319,-6910,-7111,-5274,-4165,-1647,-4305,-6050,-1336,-9281,-9310,-1941,-3648,-4524,-3795,-7383,-11317,-17042,-4715,18374,4543,1272,-552,-4148,-4347,-6239,-625,-13809,-15665,-10908,-6382,-194,-180,2567,-1146,-3567,-2792,616
"43","33","      Durable goods industries","I30DW0",2455,2325,1427,2932,1449,1907,2168,3618,1751,-514,25,-915,-218,-3716,-648,-2796,1216,2198,174,-499,8183,2306,-126,-5072,-2151,765,-204,1180,-2328,-4980,-5487,-4294,-1674,656,-1700,-3732,-2264,-6743,-4883,-3264,-1088,-1541,-770,-812,-8639,-12245,-3687,5403,4461,1946,430,-1698,-1226,-5105,-711,-6299,-9102,-6456,-4128,2883,-659,-613,-109,-2042,-1296,228
"44","34","      Nondurable goods industries","I30NW0",826,674,27,-145,879,301,965,962,-276,-637,-115,-86,-824,-1135,-1182,-1134,733,1202,287,-375,-1563,-1296,208,2172,-3008,-100,-614,578,-1991,-1929,-1623,-980,-2491,-2303,-2605,-2318,928,-2538,-4427,1323,-2561,-2983,-3024,-6570,-2678,-4797,-1028,12971,82,-674,-982,-2450,-3120,-1134,86,-7510,-6563,-4452,-2254,-3077,479,3180,-1037,-1525,-1496,388
"45","35","    Finished goods","I30F0",1704,1827,3742,1513,4707,3194,2524,1155,4336,-1237,-2181,-2967,-7492,-4889,-2819,-2252,-8479,2399,6353,5610,13441,5846,147,-6638,-5503,-1775,-1645,-5391,-5575,-12593,-9361,-7848,-11614,-7303,-4031,-3590,-9067,-9772,-5602,-190,-8023,-8293,-4430,-13455,-18386,-29529,-17984,28253,16278,4023,-885,-8648,-11079,-10030,-7177,-8684,-25572,-17583,-7506,1284,-2489,3379,-4673,-6624,-5012,916
"46","36","      Durable goods industries","I30DF0",-1663,199,3379,2483,2309,1478,2037,705,740,-1267,-2,311,-1147,-872,-619,-1293,-4989,1812,2460,2657,5245,2907,1930,-540,-579,887,-6,-1898,-2096,-5292,-5724,-3729,-4941,-2368,1196,301,-3876,-6248,-5054,-945,-4331,-2011,430,-621,-5279,-13228,-8433,6195,6316,3011,739,-2782,-2189,-4624,-1091,-2196,-8653,-4359,-1632,1930,-2611,-864,920,-1222,-1176,328
"47","37","      Nondurable goods industries","I30NF0",3367,1628,363,-971,2399,1717,487,449,3596,30,-2179,-3278,-6345,-4017,-2199,-959,-3490,586,3893,2953,8196,2940,-1783,-6098,-4924,-2662,-1639,-3493,-3480,-7301,-3637,-4119,-6673,-4935,-5227,-3891,-5191,-3524,-547,754,-3691,-6282,-4861,-12834,-13107,-16301,-9550,22058,9962,1013,-1624,-5866,-8889,-5406,-6086,-6488,-16919,-13223,-5873,-646,122,4243,-5593,-5402,-3836,588
"48","38","Wholesale trade industries","IWT0",5099,8961,7815,4057,10106,12576,10024,302,7842,2511,-3104,-9168,-16002,-4989,-245,2411,-6619,-2274,4565,21950,13419,2758,-16042,-16944,-11938,2621,397,-14220,-14281,-14731,-10686,-16157,-6251,-3712,-7218,-16798,-13346,-20032,-17898,-15263,-15577,-9161,-7415,-39759,-54253,-52116,-17376,82053,41163,-1689,-9509,-29657,-13874,-2620,-10744,-52463,-67257,-33292,-8313,-8504,-15159,9010,-14380,-4064,-3756,9852
"49",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","    Durable goods industries","IWTD0",5773,3757,6083,5333,5864,9609,8216,676,8116,4105,-1561,-4608,-6610,-1727,2162,6587,-3694,-985,3083,14003,9572,2342,-5668,-10940,-1016,4239,2815,-9656,-10069,-10833,-8070,-7595,-1101,2284,4280,-11087,-6921,-7196,-7919,1661,-4130,-3733,-1805,-6696,-18685,-28269,-13642,25813,22910,11002,-2126,-11884,-6097,-5168,-496,-9106,-10990,-10353,-8925,-3490,-5416,-780,5270,-2791,-1860,4084
"51","40","    Nondurable goods industries","IWTN0",-675,5203,1732,-1277,4242,2967,1808,-373,-274,-1593,-1544,-4560,-9392,-3261,-2406,-4176,-2925,-1289,1482,7947,3846,417,-10374,-6004,-10922,-1618,-2418,-4565,-4212,-3898,-2616,-8561,-5150,-5996,-11499,-5712,-6425,-12836,-9979,-16924,-11447,-5428,-5610,-33063,-35568,-23846,-3734,56241,18254,-12692,-7382,-17773,-7777,2548,-10248,-43357,-56266,-22939,612,-5014,-9742,9790,-19650,-1273,-1896,5768
"52",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","    Merchant wholesale industries","I42W0",3287,7369,6603,3341,8222,12032,8936,-1226,7034,2347,-2184,-8036,-12258,-5041,1479,3075,-5907,-2226,3537,20274,10491,2334,-13850,-10800,-10318,3473,-491,-10140,-9417,-8339,-7206,-13993,-2207,-792,-2838,-12222,-9038,-13776,-12874,-13087,-14569,-6897,-7927,-35375,-49805,-41432,-13584,58209,37879,1627,-5041,-21145,-10622,-1332,-10344,-51031,-54865,-25272,-7105,-11332,-14631,6106,-11900,-132,-444,8804
"54","42","      Durable goods industries","I42WD0",4429,2477,4807,4521,4812,9517,7488,-404,7504,3569,-1297,-4404,-4670,-2651,2826,6031,-3542,-1045,2899,13623,7944,1778,-5992,-9548,-1520,3563,1467,-7348,-6997,-7349,-6946,-7683,1047,3560,5772,-8955,-8817,-8624,-9807,-1467,-3362,-2901,-2389,-6732,-17341,-23933,-11434,20717,20210,9570,-2998,-11176,-5761,-3560,-1016,-9170,-6358,-8553,-8337,-3890,-3860,-384,4382,-2251,-1404,3800
"55","43","        Motor vehicles, parts, and supplies wholesalers","I42110",-550,346,1281,1799,-423,3269,862,-3965,154,-170,-103,-733,-86,-645,-407,-122,-952,132,-1836,3892,1809,471,-2307,-2657,-1509,2819,1509,-3079,-3689,-1033,432,3834,1560,1178,1512,-183,-1056,1458,-2782,984,3537,2120,-2329,-4768,-2413,-1439,190,1162,3706,1327,-371,-1034,-1218,-543,98,-850,5007,-616,-2909,-4526,-2902,-1075,345,2031,-308,444
"56","44","        Furniture and home furnishings wholesalers","I42120",69,103,5,-1,-210,65,-185,98,352,109,-164,-424,-454,-234,49,311,-59,12,56,-5,229,263,-268,-419,-211,-97,17,150,-165,-207,-134,162,-262,-285,-180,-250,-196,74,-208,-381,-715,-303,-13,355,-787,-639,-223,164,85,-209,-99,-290,111,129,-205,-126,-470,-519,-229,29,238,-330,-410,126,68,-156
"57","45","        Lumber and other construction materials wholesalers","I42130",-371,-922,67,1002,25,285,330,387,-607,-648,-621,372,-552,199,869,436,622,-905,-399,581,65,-340,-316,-322,496,169,-832,-1335,-1490,-1985,-777,429,733,565,884,-1165,-1470,-801,814,1476,-207,-27,-33,-12,-426,-995,-1019,199,736,895,-58,-599,-347,-1257,611,28,-362,141,-317,-198,532,-221,-639,-837,-1416,-800
"58","46","        Professional and commercial equipment wholesalers","I42140",4245,2416,3117,1526,2553,3365,4231,4895,4919,2851,1487,311,467,664,1717,2443,1694,545,2826,3730,-2195,-1664,-502,-304,-294,-342,625,2271,997,681,259,-766,3654,3299,3336,3480,1723,1420,797,260,196,946,1606,1736,-1933,-361,1649,2681,2623,455,67,-178,746,1303,-535,276,-1757,185,1857,1975,1746,793,700,-1651,264,564
"59","47","          Computers and software wholesalers","I421430",2985,2926,2985,2804,2156,3583,4610,4820,4854,2983,1646,405,2407,1547,920,987,2374,943,2699,3240,-953,-456,1263,2046,864,489,1065,1590,1371,1159,850,160,2228,1677,1094,673,1833,1512,1070,426,828,1152,1357,1100,-284,192,1324,1891,1874,1149,592,312,-9,423,665,985,-947,670,2018,1680,1270,798,302,-118,376,620
