"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"32","25","  Nondurable goods","DNDGRG3",12.225,11.592,9.912,8.501,8.459,9.356,9.662,9.695,10.032,9.541,9.392,9.472,10.268,11.95,13.37,14.148,14.769,16.002,18.069,19.178,18.557,18.605,20.198,20.416,20.345,20.396,20.263,20.554,21.157,21.671,21.704,21.963,22.055,22.175,22.396,22.695,23.104,23.844,24.279,25.154,26.242
"33","26","    Food and beverages purchased for off-premises consumption","DFXARG3",11.474,10.737,8.672,7.093,7.132,8.017,8.641,8.655,8.92,8.245,8.164,8.212,9.078,10.856,12.502,12.836,13.227,14.601,16.814,17.647,16.939,17.024,18.814,19.271,18.897,18.886,18.541,18.677,19.242,20.045,19.838,20.004,20.105,20.257,20.47,20.883,21.305,22.204,22.232,22.905,23.932
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRG3",10.136,9.52,7.739,6.369,6.438,7.328,7.876,7.876,8.15,7.465,7.397,7.396,8.15,9.794,11.3,11.369,11.711,13.149,15.478,16.437,15.82,16.026,17.806,18.149,17.806,17.806,17.464,17.601,18.149,18.971,18.755,18.911,19.011,19.158,19.374,19.817,20.231,21.146,21.149,21.805,22.838
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRG3",NA,NA,NA,NA,16.495,15.69,15.351,15.163,15.316,15.465,15.616,15.997,16.991,19.362,21.503,24.207,24.703,25.626,26.366,25.992,25.645,25.037,25.963,27.944,27.484,28.092,27.936,28.205,28.819,28.979,29.242,29.703,29.804,29.944,30.236,30.411,30.592,30.939,31.387,32.096,32.797
"36","29","      Food produced and consumed on farms (6)","DFFDRG3",18.713,16.931,12.88,9.964,9.558,11.017,14.094,14.661,15.147,12.799,12.07,12.394,15.552,19.684,23.979,24.384,25.76,27.623,31.997,33.051,28.678,27.135,31.995,31.755,30.541,28.026,27.054,26.571,27.543,29.407,27.772,27.026,27.063,27.538,26.739,25.862,28.526,31.447,30.219,31.931,35.031
"37","30","    Clothing and footwear","DCLORG3",27.522,26.269,22.95,18.85,19.211,22.272,21.88,21.906,23.058,22.496,21.973,22.222,24.402,29.235,32.671,36.897,40.113,43.437,46.9,49.782,47.637,47.257,51.386,50.517,50.398,50.523,50.386,51.343,52.107,52.33,52.777,53.484,53.793,53.954,54.428,54.941,55.419,56.951,59.298,62.649,66.038
"38","31","      Garments","DGARRG3",29.005,27.757,24.331,19.888,20.545,24.193,23.796,23.785,25.054,24.35,23.732,23.989,26.544,31.986,36.155,41.58,45.667,49.253,52.345,55.372,52.702,52.031,56.183,55.309,55.232,55.142,54.834,55.555,56.228,56.353,56.449,56.97,57.252,57.293,57.783,58.387,58.793,60.063,62.439,66.011,69.475
"39","32","        Women's and girls' clothing (10)","DWGCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.08,66.375,66.492,66.389,66.814,67.375,67.648,68.941,71.879,76.022,79.506
"40","33","        Men's and boys' clothing (11)","DMBCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.084,47.922,48.497,48.761,49.379,50.086,50.689,52.029,53.897,56.981,60.647
"41","34","        Children's and infants' clothing (12)","DCICRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.806,33.677,32.481,31.841,31.831,31.943,32.106,32.36,32.713,34.111,35.204
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRG3",20.684,19.553,16.868,14.087,13.732,15.096,14.764,14.876,15.616,15.441,15.201,15.402,16.456,19.358,20.931,22.374,23.561,25.867,29.657,31.901,31.173,31.472,35.095,34.318,34.1,34.783,35.11,36.634,37.595,38.063,39.415,40.589,40.955,41.446,41.845,42.065,42.74,45.005,47.169,49.7,52.714
"43","36","    Gasoline and other energy goods","DGOERG3",6.777,6.555,5.826,5.688,5.566,5.87,5.82,5.976,6.095,5.986,5.78,5.787,6.054,6.412,6.637,6.778,6.768,7.035,7.906,9,9.133,9.235,9.491,9.663,10.033,10.196,10.304,10.626,11.115,10.991,11.146,11.344,11.357,11.415,11.443,11.337,11.724,12.003,12.394,12.621,13.008
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRG3",8.308,7.934,6.709,6.978,6.918,7.262,7.277,7.515,7.694,7.485,7.142,7.022,7.336,7.68,7.755,7.77,7.71,7.904,8.86,9.936,10.145,10.16,10.369,10.579,11.027,11.266,11.385,11.729,12.237,12.117,12.289,12.644,12.52,12.598,12.568,12.486,12.958,13.256,13.694,13.896,14.354
"45","38","      Fuel oil and other fuels (29)","DFULRG3",3.513,3.448,3.248,2.93,2.82,2.991,2.924,2.978,3.021,3.012,2.965,3.052,3.199,3.442,3.642,3.767,3.779,3.987,4.496,5.227,5.252,5.398,5.616,5.696,5.865,5.89,5.953,6.154,6.477,6.383,6.473,6.378,6.614,6.622,6.747,6.624,6.769,6.947,7.163,7.391,7.547
"46","39","    Other nondurable goods","DONGRG3",11.311,10.912,10.396,9.82,9.328,9.564,9.553,9.507,9.843,9.683,9.59,9.766,10.068,11.005,11.748,12.429,12.853,13.447,15.3,16.15,15.798,15.868,16.901,16.966,17.218,17.264,17.443,17.741,18.31,18.752,19.057,19.353,19.4,19.464,19.734,20.027,20.305,20.71,21.217,22.03,22.845
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRG3",15.035,14.954,14.682,14.125,13.378,12.86,12.522,12.53,12.625,12.717,12.657,12.643,12.794,13.107,13.182,13.283,13.378,13.65,14.757,15.631,15.883,16.079,16.659,16.875,17.006,17.164,17.338,17.729,18.271,18.894,19.178,19.136,18.665,18.122,17.808,17.719,17.655,17.693,17.565,17.545,17.741
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRG3",22.722,22.166,19.243,15.67,15.939,18.738,20.233,19.71,22.717,19.904,18.27,19.151,19.225,23.49,26.297,29.71,30.983,32.022,35.013,38.584,37.562,37.103,39.414,40.716,39.94,38.96,39.885,39.76,40.584,41.097,41.164,41.912,42.584,43.29,43.915,44.833,44.883,45.216,46.222,48.352,50.644
"49","42","      Household supplies (parts of 32 and 36)","DHOURG3",15.812,15.093,13.033,11.209,11.421,12.06,12.025,11.946,12.214,11.617,11.253,11.397,12.4,14.891,16.368,17.916,18.902,20.185,25.706,26.84,23.754,23.661,26.104,24.328,24.282,24.484,24.532,24.745,25.397,25.812,26.009,26.289,26.224,26.143,26.247,26.239,26.343,26.741,27.445,28.237,28.862
"50","43","      Personal care products (part of 118)","DOPCRG3",18.662,18.314,17.689,17.267,17.185,15.746,15.51,15.54,15.803,15.843,15.748,15.595,16.109,17.496,17.796,18.589,18.912,19.731,23.573,24.261,23.458,22.846,25.274,24.509,24.616,24.534,24.734,25.504,26.317,27.414,27.611,27.59,27.527,27.783,27.873,27.908,27.799,27.45,27.929,28.778,30.076
"51","44","      Tobacco (127)","DTOBRG3",4.028,3.798,3.867,3.867,3.43,3.544,3.51,3.487,3.579,3.602,3.66,3.763,3.855,3.97,4.223,4.362,4.557,4.707,5.064,5.259,5.374,5.478,5.651,5.904,6.191,6.238,6.295,6.422,6.629,6.756,7.023,7.257,7.315,7.373,7.597,7.777,8.107,8.545,8.865,9.423,9.926
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRG3",7.279,7.171,6.941,6.804,6.535,6.59,6.574,6.638,6.805,6.998,7.055,7.143,7.147,7.568,8.142,8.541,8.664,8.95,9.779,10.635,11.095,11.353,11.852,12.39,12.765,12.865,13.227,13.562,14.35,15.016,15.237,15.495,15.727,15.987,16.671,17.578,18.112,18.742,19.476,20.524,21.345
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRG3",7.787,7.564,7.031,6.352,5.953,5.877,6.006,6.104,6.33,6.336,6.32,6.369,6.594,7.059,7.501,7.845,8.102,8.594,9.22,9.707,9.872,10.126,10.625,11.013,11.441,11.728,11.931,12.217,12.575,12.883,13.23,13.581,13.827,14.09,14.306,14.573,14.846,15.277,15.786,16.468,17.326
"55","48","  Household consumption expenditures (for services)","DHCERG3",7.514,7.302,6.792,6.129,5.737,5.648,5.775,5.867,6.081,6.093,6.076,6.126,6.34,6.784,7.205,7.536,7.782,8.244,8.82,9.277,9.438,9.676,10.142,10.524,10.94,11.215,11.406,11.671,12.007,12.3,12.636,13.014,13.252,13.507,13.714,13.977,14.234,14.643,15.131,15.788,16.604
"56","49","    Housing and utilities","DHUTRG3",13.077,12.728,12.068,10.939,9.942,9.184,9.213,9.364,9.712,9.957,9.936,9.962,10.096,10.31,10.365,10.445,10.554,10.731,11.075,11.666,12.004,12.368,12.844,13.34,13.947,14.326,14.547,14.767,15.03,15.318,15.565,15.859,16.07,16.243,16.416,16.562,16.703,16.934,17.225,17.619,18.184
"57","50","      Housing","DHSGRG3",13.121,12.748,12.023,10.765,9.661,8.81,8.851,9.051,9.474,9.773,9.767,9.799,9.966,10.22,10.285,10.374,10.499,10.743,11.15,11.837,12.229,12.647,13.201,13.764,14.467,14.906,15.122,15.38,15.668,15.982,16.252,16.511,16.739,16.944,17.152,17.327,17.499,17.764,18.105,18.549,19.162
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRG3",13.581,13.22,12.516,11.239,10.495,9.047,9.047,9.26,9.686,10.005,10.005,10.047,10.217,10.43,10.452,10.473,10.516,10.58,10.92,11.644,12.155,12.581,13.092,13.624,14.347,14.857,15.071,15.347,15.624,15.922,16.141,16.38,16.592,16.797,16.984,17.134,17.31,17.556,17.859,18.299,18.882
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRG3",13.698,13.332,12.624,11.334,9.768,9.145,9.124,9.339,9.768,10.09,10.091,10.133,10.304,10.542,10.541,10.562,10.605,10.67,11.013,11.742,12.258,12.687,13.203,13.739,14.49,14.984,15.199,15.478,15.757,16.058,16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039
"60","53","        Rental value of farm dwellings (22)","DFARRG3",10.106,9.613,8.651,7.463,6.944,7.287,7.781,7.889,8.316,8.458,8.383,8.341,8.5,9.052,9.68,10.525,11.629,14.072,15.36,15.62,14.331,14.674,15.896,17.017,17.159,16.532,16.791,16.649,17.1,17.77,19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409
"61","54","        Group housing (23)","DGRHRG3",10.579,10.371,9.816,8.962,8.049,7.584,7.578,7.726,8.095,8.31,8.386,8.282,8.408,8.874,9.246,9.384,9.502,9.717,10.23,10.838,11.307,11.679,12.448,12.989,13.576,14,14.373,14.818,15.379,15.795,16.17,16.418,16.531,16.712,16.952,17.108,17.361,17.615,17.888,18.184,18.924
"62","55","      Household utilities","DUTLRG3",12.946,12.771,12.557,12.31,12.028,11.904,11.858,11.681,11.567,11.484,11.366,11.358,11.298,11.288,11.28,11.315,11.332,11.144,11.158,11.27,11.343,11.454,11.575,11.781,11.961,12.088,12.33,12.393,12.558,12.744,12.903,13.33,13.478,13.527,13.563,13.596,13.622,13.724,13.823,14.025,14.407
"63","56","        Water supply and sanitation (25)","DWRSRG3",4.059,4.059,4.059,3.926,3.573,3.617,3.794,3.794,3.794,3.794,3.75,3.838,3.794,3.838,3.838,3.927,4.015,4.103,4.28,4.412,4.456,4.72,4.897,5.338,5.647,5.956,6.529,6.706,7.235,7.676,7.988,8.241,8.458,8.675,8.94,9.073,9.296,9.64,9.863,10.334,11.032
"64","57","        Electricity and gas","DELGRG3",16.565,16.285,15.947,15.683,15.583,15.337,15.072,14.79,14.608,14.477,14.333,14.239,14.185,14.13,14.118,14.099,14.054,13.705,13.601,13.68,13.759,13.771,13.853,13.932,14.045,14.091,14.203,14.226,14.27,14.381,14.498,14.982,15.111,15.111,15.077,15.08,15.046,15.076,15.142,15.273,15.573
"65","58","          Electricity (27)","DELCRG3",24.894,24.106,23.184,22.487,22.229,21.61,20.964,20.287,19.86,19.561,19.241,19.033,18.915,18.798,18.771,18.729,18.633,17.899,17.684,17.849,18.013,18.037,18.205,18.369,18.603,18.698,18.933,18.981,19.076,19.316,19.572,19.862,19.936,19.936,19.862,19.795,19.721,19.721,19.862,20.011,20.449
"66","59","          Natural gas (28)","DGHERG3",7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,8.202,8.333,8.333,8.332,8.379,8.379,8.421,8.421,8.51,8.646
"67","60","    Health care","DHLCRG3",2.939,2.947,2.74,2.414,2.379,2.466,2.608,2.662,2.734,2.788,2.769,2.856,2.928,3.115,3.362,3.611,3.772,4.092,4.533,4.789,4.856,4.959,5.186,5.441,5.699,5.897,6.104,6.322,6.584,6.84,7.035,7.508,7.678,7.872,8.095,8.371,8.631,9.016,9.59,10.195,10.914
"68","61","      Outpatient services","DOUTRG3",4.317,4.422,4.092,3.505,3.506,3.617,3.849,3.927,4.008,4.165,4.122,4.274,4.351,4.603,4.986,5.332,5.485,5.761,6.102,6.367,6.439,6.482,6.647,6.974,7.345,7.656,7.954,8.275,8.579,8.867,9.161,9.377,9.56,9.84,10.074,10.34,10.677,11.283,12.008,12.677,13.589
"69","62","        Physician services (44)","DPHYRG3",4.118,4.211,3.9,3.357,3.372,3.48,3.699,3.776,3.839,3.978,3.947,4.087,4.164,4.397,4.786,5.097,5.222,5.469,5.764,5.998,6.029,6.06,6.215,6.557,6.899,7.179,7.504,7.832,8.158,8.437,8.717,8.929,9.139,9.404,9.617,9.883,10.2,10.843,11.579,12.222,13.122
"70","63","        Dental services (45)","DDENRG3",3.869,3.977,3.679,3.099,3.072,3.153,3.383,3.438,3.557,3.705,3.666,3.813,3.854,4.111,4.395,4.745,4.948,5.242,5.623,5.917,6.093,6.159,6.319,6.525,6.899,7.211,7.36,7.588,7.777,8.005,8.208,8.371,8.417,8.659,8.894,9.136,9.434,9.74,10.229,10.784,11.551
"71","64","        Paramedical services (46)","DPMSRG3",4.939,5.05,4.66,4.05,4.051,4.217,4.439,4.551,4.607,4.829,4.718,4.885,5.049,5.272,5.772,6.16,6.27,6.547,6.936,7.213,7.27,7.325,7.493,7.88,8.267,8.658,9.045,9.433,9.768,10.156,10.641,10.915,11.18,11.523,11.796,12.057,12.467,13.242,14.133,14.958,15.957
"72","65","      Hospital and nursing home services","DHPNRG3",1.859,1.756,1.652,1.549,1.48,1.549,1.618,1.652,1.721,1.687,1.687,1.721,1.79,1.928,2.065,2.238,2.41,2.788,3.374,3.649,3.718,3.89,4.2,4.406,4.578,4.682,4.819,4.957,5.198,5.439,5.56,6.282,6.448,6.58,6.803,7.1,7.308,7.527,8.002,8.566,9.158
"73","66","        Hospitals (51)","DHSPRG3",1.738,1.641,1.545,1.448,1.384,1.448,1.512,1.545,1.609,1.577,1.577,1.609,1.673,1.802,1.931,2.092,2.253,2.606,3.154,3.411,3.475,3.636,3.926,4.119,4.28,4.376,4.505,4.634,4.859,5.084,5.198,5.905,6.062,6.188,6.39,6.672,6.869,7.073,7.519,8.043,8.607
