"","Table 6#5D# Full-Time Equivalent Employees by Industry          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"58","51","      Warehousing and storage","N4351C0",456,468,487,490,499,510,544,575,606,630,638,599
"59","52","    Information","N4352C0",3035,3187,3410,3410,3155,2972,2885,2859,2861,2853,2808,2637
"60","53","      Publishing industries (includes software)","N4353C0",936,963,1008,969,909,874,849,855,870,893,867,782
"61","54","      Motion picture and sound recording industries","N4354C0",309,319,308,345,330,322,323,320,312,316,328,315
"62","55","      Broadcasting and telecommunications","N4355C0",1391,1462,1566,1602,1477,1371,1323,1289,1270,1332,1308,1249
"63","56","      Information and data processing services","N4356C0",399,443,528,494,439,405,389,394,408,311,305,292
"64","57","    Finance and insurance","N4357C0",5318,5408,5403,5596,5599,5704,5742,5829,5964,5942,5830,5567
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4358C0",2413,2452,2412,2533,2590,2691,2735,2793,2842,2788,2657,2523
"66","59","      Securities, commodity contracts, and investments","N4359C0",692,722,776,804,756,727,737,764,794,826,842,787
"67","60","      Insurance carriers and related activities","N4360C0",2137,2156,2136,2177,2173,2207,2188,2187,2242,2243,2245,2174
"68","61","      Funds, trusts, and other financial vehicles","N4361C0",76,78,80,82,79,79,82,85,87,85,86,82
"69","62","    Real estate and rental and leasing","N4362C0",1765,1806,1827,1923,1919,1935,1967,2004,2037,2023,2003,1869
"70","63","      Real estate","N4363C0",1181,1209,1219,1286,1317,1339,1365,1399,1425,1419,1405,1342
"71","64","      Rental and leasing services and lessors of intangible assets \5\","N4364C0",585,597,608,638,602,596,603,604,612,604,598,527
"72","65","    Professional, scientific, and technical services","N4365C0",5776,6099,6462,6624,6413,6375,6511,6790,7105,7354,7538,7178
"73","66","      Legal services","N4366C0",985,1008,1022,1053,1074,1099,1113,1124,1129,1133,1123,1083
"74","67","      Computer systems design and related services","N4367C0",982,1100,1219,1235,1096,1061,1091,1143,1215,1304,1379,1343
"75","68","      Miscellaneous professional, scientific, and technical services \6\","N4368C0",3809,3991,4221,4336,4244,4215,4307,4524,4761,4918,5037,4752
"76","69","    Management of companies and enterprises \7\","N4369C0",1581,1614,1626,1633,1624,1660,1669,1743,1762,1809,1816,1797
"77","70","    Administrative and waste management services","N4370C0",6815,7216,7564,7093,6974,6898,7188,7435,7618,7779,7451,6639
"78","71","      Administrative and support services","N4371C0",6524,6922,7267,6782,6663,6587,6871,7107,7284,7435,7101,6301
"79","72","      Waste management and remediation services","N4372C0",291,295,297,311,311,311,316,327,333,345,350,338
"80","73","    Educational services","N4373C0",2025,2100,2179,2271,2383,2421,2510,2543,2619,2688,2782,2807
"81","74","    Health care and social assistance","N4374C0",11146,11376,11636,11949,12325,12646,12907,13258,13686,14025,14431,14662
"82","75","      Ambulatory health care services","N4375C0",3803,3831,3929,4054,4190,4341,4475,4652,4841,4968,5128,5232
"83","76","      Hospitals","N4390C0",3440,3499,3527,3753,3864,3924,3973,4056,4140,4239,4340,4384
"84","77","      Nursing and residential care facilities","N4391C0",2289,2326,2374,2451,2496,2536,2558,2590,2637,2672,2738,2786
"85","78","      Social assistance","N4392C0",1614,1719,1806,1691,1775,1845,1901,1960,2068,2146,2225,2260
"86","79","    Arts, entertainment, and recreation","N4393C0",1327,1388,1478,1526,1539,1515,1552,1601,1620,1681,1670,1609
"87","80","      Performing arts, spectator sports, museums, and related activities","N4394C0",375,387,413,429,427,419,425,435,445,466,464,447
"88","81","      Amusements, gambling, and recreation industries","N4395C0",952,1001,1064,1097,1112,1097,1127,1166,1174,1214,1206,1162
"89","82","    Accommodation and food services","N4396C0",7946,8207,8412,8309,8347,8468,8495,8948,9213,9384,9376,8933
"90","83","      Accommodation","N4397C0",1566,1612,1654,1674,1629,1621,1448,1672,1685,1713,1721,1566
"91","84","      Food services and drinking places","N4398C0",6379,6594,6757,6635,6718,6847,7047,7276,7528,7671,7655,7366
"92","85","    Other services, except government","N4399C0",5471,5571,5649,5645,5791,5820,5885,5855,5867,5987,6030,5782
"93","86","  Government","A4376C0",18701,18844,19126,19417,19843,19872,19856,19872,19950,20209,20468,20474
"94","87","    Federal","A4377C0",4205,4162,4196,4120,4235,4203,4150,4104,4097,4137,4189,4216
"95","88","      General government","A4378C0",3417,3370,3416,3342,3448,3436,3414,3378,3379,3374,3430,3537
"96","89","        Civilian","B4379C0",1846,1821,1869,1794,1871,1834,1822,1828,1832,1832,1864,1952
"97","90","        Military \8\","B4380C0",1571,1549,1547,1548,1577,1602,1592,1550,1547,1542,1566,1585
"98","91","      Government enterprises","B4381C0",788,792,780,778,787,767,736,726,718,763,759,679
"99","92","    State and local","A4382C0",14496,14682,14930,15297,15608,15669,15706,15768,15853,16072,16279,16258
"100","93","      General government","A4383C0",13581,13762,14000,14324,14591,14644,14670,14740,14823,15005,15182,15122
"101","94","        Education","B4384C0",7234,7372,7572,7742,7898,7912,7952,7997,8040,8127,8232,8240
"102","95","        Other \9\","B4385C0",6347,6390,6428,6582,6693,6732,6718,6743,6783,6878,6950,6882
"103","96","      Government enterprises \9\","B4386C0",915,920,930,973,1017,1025,1036,1028,1030,1067,1097,1136
"104","97","Rest of the world \10\","A4387C0",-401,-441,-396,-541,-549,-592,-628,-665,-686,-725,-748,-791
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. Full-time equivalent employees equals the number of employees on full-time schedules plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","the number of employees on part-time schedules converted to a full-time basis.  The number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","of full-time equivalent employees in each industry is the product of the total number of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","employees and the ratio of average weekly hours per employee for all employees to average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","weekly hours per employee on full-time schedules.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","2. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","3. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","4. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","8. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","9. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","10. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
