"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","11","    Nonfarm","A045RC1",64.7,65.6,71.3,79,84.6,90,97.6,115,130.1,147.6,159,161.8,162.6,161.5,184.5,212.1,225.1,239.7,265.3,308,318.6,333,339.8,379.1,417.6,449.5,492.6,545.2,595.6,658.7,718.3,787.8,840.2,871.8,894.1,984.1,1025.9,1103.6,1052.6,1051.2,981.5,1010.1
"19","12","  Rental income of persons with capital consumption adjustment","A048RC1",20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,143.7,222,274,300.9
"20","13","  Personal income receipts on assets","W210RC1",84.1,93.5,101,109.6,124.7,146.4,162.2,178.4,205.3,234.8,274.7,338.7,421.9,488.4,529.6,607.9,653.2,694.5,715.8,767,874.8,920.8,928.6,909.7,900.5,947.7,1005.4,1080.7,1165.5,1269.2,1246.8,1360.7,1346,1309.6,1312.9,1408.5,1542,1829.7,2057,2109.3,1919.7,1907.6
"21","14","    Personal interest income","A064RC1",59.9,69.2,75.9,82.8,94.8,113.2,129.3,139.5,160.6,184,217.3,274.7,348.3,410.8,446.3,517.2,555.8,588.4,603.6,637.3,717,751.9,748.2,722.2,698.1,712.7,751.9,784.4,835.8,919.3,910.9,984.2,976.5,911.9,889.8,860.2,987,1127.5,1265.1,1314.7,1222.3,1194.9
"22","15","    Personal dividend income","B703RC1",24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,77.6,83.3,90.6,97.4,106,112.2,129.7,157.8,168.8,180.3,187.6,202.3,235,253.4,296.4,329.7,349.8,335.9,376.5,369.5,397.7,423.1,548.3,555,702.2,791.9,794.6,697.4,712.7
"23","16","  Personal current transfer receipts","A577RC1",62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.5,542.6,594.9,665.9,745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1282.1,1341.7,1415.5,1508.6,1605,1718.5,1879.2,2132.8,2296.4
"24","17","    Government social benefits to persons","A063RC1",59,71.7,85.4,94.8,108.6,128.6,163.1,177.3,189.1,203.2,227.1,270.8,307.2,342.4,369.9,380.4,402.6,428,447.4,475.9,519.4,572.7,648.2,729.5,776.7,813.1,860.2,901.2,929.8,951.9,987.6,1040.6,1141.3,1247.9,1316,1398.6,1482.7,1583.6,1687.9,1842.6,2096.8,2259
"25","18","      Old-age, survivors, disability, and health insurance benefits","B222RC1",33.1,38.6,44.7,49.8,60.9,70.3,81.5,93.3,105.3,116.9,132.5,154.8,182.1,204.6,222.2,237.8,253,268.9,282.6,300.2,325.6,351.8,381.7,414.4,444.7,476.6,508.9,536.9,563.5,574.7,588.6,620.5,667.7,706.1,740.4,790.2,844.7,943.3,1003.2,1068.3,1164.5,1213.9
"26","19","      Government unemployment insurance benefits","B223RC1",2.2,4,5.8,5.7,4.4,6.8,17.6,15.8,12.7,9.1,9.4,15.7,15.6,25.1,26.2,15.9,15.7,16.3,14.5,13.2,14.3,18,26.6,38.9,34.1,23.5,21.4,22,19.9,19.5,20.3,20.6,31.7,53.2,52.8,36,31.3,29.9,32.3,50.7,128.6,136.6
"27","20","      Veterans benefits","B224RC1",6.7,7.7,8.8,9.7,10.4,11.8,14.5,14.4,13.8,13.9,14.4,15,16.1,16.4,16.6,16.4,16.7,16.7,16.6,16.9,17.3,17.8,18.3,19.3,20,20.1,20.9,21.7,22.6,23.5,24.3,25.2,26.8,29.8,32.2,34.5,36.8,39.3,42.1,45.6,52.3,61.4
"28","21","      Family assistance \1\","B226RC1",3.5,4.8,6.2,6.9,7.2,8,9.3,10.1,10.6,10.8,11.1,12.5,13.1,12.9,13.8,14.5,15.2,16.1,16.4,16.9,17.5,19.2,21.1,22.2,22.8,23.2,22.6,20.3,17.9,17.4,17.9,18.4,18.1,17.7,18.4,18.4,18.2,18.2,18.3,19.3,20.1,19.8
"29","22","      Other","B227RC1",13.4,16.6,20,22.7,25.7,31.7,40.2,43.7,46.7,52.5,59.6,72.8,80.2,83.4,91,95.9,102,109.9,117.3,128.7,144.8,165.9,200.5,234.6,255,269.7,286.4,300.3,306,316.8,336.4,355.9,397.1,441.1,472.3,519.6,551.7,552.9,592,658.7,731.3,827.4
"30","23","    Other current transfer receipts, from business (net)","B931RC1",3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,25.7,16.9,25.8,21.4,30.5,36.7,36,37.4
"31","24","  Less: Contributions for government social insurance, domestic","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,778.9,827.3,872.7,921.8,959.5,987.2,970.3,1003.5
"32","25","Less: Personal current taxes","W055RC1",104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.3,437.2,489.1,504.9,566.1,592.7,586.6,610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4,1000.3,1047.8,1208.6,1352.4,1488.7,1438.2,1140,1166.3
"33","26","Equals: Disposable personal income","A067RC1",673.8,735.5,801.4,869,978.1,1071.7,1187.3,1302.3,1435,1607.3,1790.9,2002.7,2237.1,2412.7,2599.8,2891.5,3079.3,3258.8,3435.3,3726.3,3991.4,4254,4444.9,4736.7,4921.6,5184.3,5457,5759.6,6074.6,6498.9,6803.3,7327.2,7648.5,8009.7,8377.8,8889.4,9277.3,9915.7,10423.6,10952.9,11034.9,11374.7
"34","27","Less: Personal outlays","A068RC1",621.4,666.1,721,791.5,875.2,957.5,1061.3,1179.6,1309.7,1465,1633.4,1806.4,2000.4,2148.8,2372.9,2595.2,2825.7,3012.4,3211.9,3469.7,3726.4,3977.3,4131.7,4388.7,4636.2,4913.6,5170.8,5478.5,5794.2,6157.5,6595.5,7114.1,7443.5,7727.5,8088,8585.7,9149.6,9680.7,10208.9,10505,10379.6,10720.7
"35","28","  Personal consumption expenditures","DPCERC1",605.1,648.3,701.6,770.2,852,932.9,1033.8,1151.3,1277.8,1427.6,1591.2,1755.8,1939.5,2075.5,2288.6,2501.1,2717.6,2896.7,3097,3350.1,3594.5,3835.5,3980.1,4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804,8285.1,8819,9322.7,9806.3,10104.5,10001.3,10349.1
"36","29","  Personal interest payments \2\","B069RC1",14,15.2,16.6,18.1,19.8,21.2,23.7,23.9,27,31.9,36.2,43.6,49.3,59.5,69.2,77,89.4,94.5,91.7,94,103.9,111.3,115,111.3,107,113,130.6,147.3,159.7,169.5,176.5,200.3,203.7,191.3,182.7,190.3,210.8,230.1,260.9,246.2,216.8,198.9
"37","30","  Personal current transfer payments","W211RC1",2.2,2.6,2.8,3.2,3.4,3.4,3.8,4.4,4.8,5.4,6,6.9,11.5,13.8,15.1,17.1,18.8,21.1,23.2,25.6,28,30.6,36.7,40.5,45.6,49.8,52.9,57.6,63.9,69.5,76.2,83.4,91,97,101.3,110.3,119.8,128,141.7,154.3,161.4,172.7
"38","31","    To government","W062RC1",1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.2,66.7,71.4,76.4,82.4,89.7,95,100.8
"39","32","    To the rest of the world (net)","B070RC1",1.1,1.3,1.4,1.4,1.6,1.4,1.3,1.4,1.4,1.6,1.7,2,5.6,6.7,7,7.9,8.3,9.1,10,10.8,11.6,12.2,14.1,14.5,17.1,18.9,20.3,22.6,25.7,29.7,32.2,34.6,38.1,40.6,41.2,43.6,48.4,51.6,59.3,64.6,66.5,71.9
"40","33","Equals: Personal saving","A071RC1",52.5,69.4,80.4,77.5,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.8,303.7,127.7,235,214.7,447.9,655.3,653.9
"41","34","  Personal saving as a percentage of disposable personal income","A072RC1",7.8,9.4,10,8.9,10.5,10.7,10.6,9.4,8.7,8.9,8.8,9.8,10.6,10.9,8.7,10.2,8.2,7.6,6.5,6.9,6.6,6.5,7,7.3,5.8,5.2,5.2,4.9,4.6,5.3,3.1,2.9,2.7,3.5,3.5,3.4,1.4,2.4,2.1,4.1,5.9,5.7
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","  Personal income excluding current transfer receipts, billions of chained (2005) dollars \3\","W875RX1",3168.1,3228.9,3304.2,3507.5,3712,3670,3621.7,3804,3979.9,4207.6,4333.1,4337.2,4462.8,4505.2,4599.5,4949.9,5132.1,5292.6,5436.1,5648.4,5819.2,5893.3,5839.9,5979.5,6074.8,6289.7,6487,6761,7086.5,7595,7864.8,8327.8,8411.1,8387.2,8493.1,8776.4,8977.3,9404.8,9656.5,9638.5,9191.1,9219.6
"44",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","36","    Total, billions of chained (2005) dollars \3\","A067RX1",2981.4,3108.8,3249.1,3406.6,3638.2,3610.2,3691.3,3838.3,3970.7,4156.5,4253.8,4295.6,4410,4506.5,4655.7,4989.1,5144.8,5315,5402.4,5635.6,5785.1,5896.3,5945.9,6155.3,6258.2,6459,6651.6,6870.9,7113.5,7538.8,7766.7,8161.5,8360.1,8637.1,8853.9,9155.1,9277.3,9650.7,9874.2,10042.9,10099.8,10236.6
"46",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","      Current dollars","A229RC0",3324,3586,3859,4140,4615,5010,5497,5972,6514,7220,7956,8794,9726,10390,11095,12232,12911,13540,14146,15206,16134,17004,17532,18436,18909,19678,20470,21355,22255,23534,24356,25944,26805,27799,28805,30287,31318,33157,34512,35931,35888,36680
"48","38","      Chained (2005) dollars","A229RX0",14706,15158,15644,16228,17166,16878,17091,17600,18025,18670,18897,18863,19173,19406,19868,21105,21571,22083,22246,22997,23385,23568,23453,23958,24044,24517,24951,25475,26061,27299,27805,28899,29299,29976,30442,31193,31318,32271,32693,32946,32847,33010
"49","39","  Population (midperiod, thousands)","B230RC0",202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282418,285335,288133,290845,293502,296229,299052,302025,304831,307483,310106
"50",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","40","    Disposable personal income, current dollars","A067RP1",7.9,9.2,9,8.4,12.6,9.6,10.8,9.7,10.2,12,11.4,11.8,11.7,7.8,7.8,11.2,6.5,5.8,5.4,8.5,7.1,6.6,4.5,6.6,3.9,5.3,5.3,5.5,5.5,7,4.7,7.7,4.4,4.7,4.6,6.1,4.4,6.9,5.1,5.1,0.7,3.1
"52","41","    Disposable personal income, chained (2005) dollars","A067RL1",3.2,4.3,4.5,4.8,6.8,-0.8,2.2,4,3.4,4.7,2.3,1,2.7,2.2,3.3,7.2,3.1,3.3,1.6,4.3,2.7,1.9,0.8,3.5,1.7,3.2,3,3.3,3.5,6,3,5.1,2.4,3.3,2.5,3.4,1.3,4,2.3,1.7,0.6,1.4
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
