"","Table 5#6#5A# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"13","5","    Inventory valuation adjustment \3\","B017RC1",-11.9,-5.4,-5.4,-6.8,-3.5,-3.7,-3.4,0.3,2,3.6,3.5,0.2,-0.7,-3.9,-9,-10.6,-10.6,-1.3,4,1.8,1.4,1.3,0.9,1.1,-0.5,-1.7,-2.5,0.1,0,0.1,-0.8,-0.8,-0.9,-1.2,-2.5,-3.1,-3.4,-4.3,-1.5,-3.6,-2.8,-1.9,-1.4,-1.3,-0.3,0.2,-0.2,-1,-0.8,-1.1,-0.2,0.9,-1,-0.6,0.7,0.3,-0.1,1.1,0.3,-0.3,0.4,-0.1,-0.9,0.7,1.1,0.2,-0.4,-0.8,-0.3,-0.2,-1,-0.8,-0.5,-1.2,-1.7,-2.2,-1.4,-2.9,-4,-1,-0.4,-1.5,-2,-3.2,-5.1,-3.3,-3.3,-4.5,-5.6,-5.6,-5.1,-9
"14","6","  Manufacturing","A150RC1",1,-0.1,0.9,0,0,2.2,2.1,0.7,1.2,-2.7,-2.6,-2.2,0.5,0.9,0.7,6.5,4.7,11.1,11.2,4.5,6,-1.4,0.8,2,2.5,2.9,1.5,-2.2,-3.8,-3.9,-3.3,0.6,0.9,2.5,3.3,3.9,5,4.8,2.8,2.4,1.6,0.5,0.6,-4,-4.2,-5,-1,1.9,1.5,4.1,1.1,3.2,4,1,2.4,-4.8,-1,0.5,3.8,2.6,5.5,3,4.4,0.4,2.6,2.5,2.8,0.2,2.7,0.6,3.1,5.9,3.7,3.1,5.9,3.9,7.4,7.9,10.1,8.9,10,4.1,4.7,4.4,1.9,4.3,5.7,3,4.9,2.6,4.4,4.2
"15","7","    Durable goods","A624RC1",-0.5,0.6,1.2,-0.7,-1.2,0,0.3,0.1,0.7,-2.1,-2.3,-1.8,-0.1,1.4,1.1,3.6,3.3,6.8,7.9,3.3,4.1,-0.2,0.6,1.8,2.3,2.5,1.7,-1.9,-3.2,-4,-2.5,0.3,0.3,1.6,2,2.5,4,3.3,0.9,2.1,0.9,0.7,0.8,-3.2,-4.1,-4.1,-0.6,0.7,1.2,3.1,0,1.8,3.7,-0.3,1.3,-4,-2.6,-0.8,3,2.1,4.3,1.5,2.7,-0.3,2.1,2.2,1.8,-0.8,1.8,1.1,2.7,4.2,3.5,3.2,5.1,2,5.5,5.3,9.4,6.9,6.8,3.2,3.7,3.3,1.3,2.2,3.4,1.5,4.1,1.9,2.3,4.5
"16","8","    Nondurable goods","A625RC1",1.5,-0.7,-0.3,0.7,1.2,2.3,1.8,0.6,0.5,-0.6,-0.3,-0.5,0.6,-0.4,-0.4,3,1.4,4.3,3.3,1.1,1.8,-1.2,0.2,0.2,0.2,0.4,-0.2,-0.3,-0.6,0,-0.7,0.3,0.6,0.9,1.3,1.4,1,1.5,1.9,0.2,0.7,-0.2,-0.2,-0.8,0,-1,-0.4,1.2,0.3,1,1,1.4,0.3,1.3,1.1,-0.7,1.6,1.3,0.8,0.6,1.2,1.5,1.6,0.7,0.6,0.3,1,1,0.9,-0.5,0.4,1.7,0.3,-0.1,0.9,1.8,1.9,2.5,0.7,2,3.1,1,1,1.1,0.5,2.1,2.3,1.5,0.8,0.7,2.1,-0.3
"17","9","  Wholesale trade","A658RC1",1.4,0.6,-0.8,-1.3,0,0.5,1.1,0.7,0.3,-0.6,0.3,0.1,1.2,1.5,0.1,2.6,0.4,1.7,-0.1,-0.7,-0.7,-0.6,1,1.5,0.5,0.3,0.2,-0.7,0.5,0.6,-0.2,0.1,0.5,1.6,1.2,1.2,0.3,-0.5,1.4,0.5,-0.2,0.2,-0.1,-0.7,-0.9,0,0.3,0.6,0.9,2.2,1.1,2.5,1.6,0.7,0,-0.5,0.4,0,0.8,0.5,0.8,1.3,0.1,0.9,0.7,1.7,2.1,1.3,0.9,1.9,1,1.1,2.5,1.8,1.4,0.2,3.2,2.2,2.3,4.7,2.7,0.1,3.7,2,0.3,2.7,1.4,-0.2,2.8,2.8,2.2,1
"18","10","    Durable goods","A661RC1",0.3,0.1,0.5,-0.4,0.4,0.5,0.6,0.4,0.1,-0.8,0.2,0,0.2,0.9,-0.1,2.1,0.3,1.8,0.4,-0.3,-0.8,-0.9,-0.2,0.7,0.7,-0.3,0.4,-0.7,0,0.1,0,0.2,0.6,1.2,0.5,0.8,-0.1,-0.3,0,-0.1,-0.1,0.4,0.3,-0.5,-0.7,-0.2,0.2,0.5,0.9,1.5,-0.2,1.5,2,0.3,0.1,-0.4,-0.5,-0.4,0.9,0.9,0.7,0.8,0.6,0.7,0.4,1.2,0.8,0.3,0.3,1.3,0.9,0.9,1.8,1,1.1,0.3,2.8,1.4,1.5,2.7,1.2,0.5,1.2,1.6,0.2,1.3,0.8,0.5,1.8,2.3,1.4,0.7
"19","11","    Nondurable goods","A664RC1",1,0.5,-1.3,-0.9,-0.4,0,0.5,0.3,0.2,0.1,0.1,0.1,1,0.6,0.2,0.5,0.1,-0.2,-0.5,-0.4,0.1,0.4,1.2,0.8,-0.1,0.6,-0.2,0,0.6,0.6,-0.1,-0.1,-0.1,0.4,0.7,0.4,0.4,-0.2,1.4,0.6,-0.1,-0.2,-0.4,-0.2,-0.2,0.2,0,0.1,0.1,0.6,1.4,1,-0.4,0.4,-0.1,0,0.9,0.4,-0.1,-0.3,0.1,0.5,-0.6,0.2,0.3,0.5,1.4,1,0.6,0.6,0.1,0.3,0.7,0.8,0.2,-0.1,0.4,0.8,0.8,2,1.5,-0.4,2.4,0.5,0.1,1.3,0.6,-0.7,1,0.6,0.8,0.3
"20","12","      Merchant wholesalers","A151RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.6,1.2,2,1.1,0.3,-0.1,-0.2,0.4,-0.3,0.5,0.1,0.4,0.9,-0.3,0.5,0.4,1.3,1.8,1.1,0.8,1.8,0.9,0.9,2.4,1.6,1.2,0,2.9,1.6,1.8,4.1,1.7,-0.4,3.3,1.6,0.3,2.1,1.1,-0.4,2.2,2.4,1.9,0.8
"21","13","        Durable goods","A626RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.1,0,1.2,1.6,-0.1,0.1,-0.2,-0.4,-0.4,0.6,0.5,0.3,0.5,0.4,0.5,0.2,0.8,0.6,0.3,0.3,1.2,0.9,0.7,1.7,0.7,1,0.2,2.6,1,1,2.3,0.6,0.1,1,1.3,0.2,1.1,0.7,0.4,1.4,2,1.2,0.5
"22","14","        Nondurable goods","A627RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1.3,0.8,-0.5,0.3,-0.1,0,0.8,0.2,-0.1,-0.4,0.1,0.4,-0.7,0.1,0.2,0.5,1.2,0.9,0.6,0.6,0,0.2,0.7,0.9,0.2,-0.2,0.3,0.6,0.8,1.8,1.1,-0.5,2.3,0.3,0.1,1,0.5,-0.8,0.9,0.4,0.7,0.3
"23","15","      Nonmerchant wholesalers","A152RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.6,-0.1,0.5,0.4,0.5,0.1,-0.3,0,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.3,0.6,0.5,0.6,1,0.5,0.3,0.5,0,0.6,0.3,0.2,0.5,0.4,0.4,0.2
"24","16","        Durable goods","A628RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,-0.2,0.3,0.4,0.4,0,-0.2,-0.1,0,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.4,0.1,0,0,0,0,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.5,0.4,0.6,0.3,0.2,0.3,0.1,0.2,0.1,0.1,0.4,0.3,0.3,0.2
"25","17","        Nondurable goods","A629RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.2,0,0.1,0,-0.1,0.1,0.2,0,0.1,0,0.1,0.1,0.2,0,0,0.1,0.2,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.3,0,0.2,0.3,0.2,0.1,0.2,-0.1,0.4,0.1,0.1,0.1,0.1,0.1,0
"26","18","  Retail trade","A153RC1",-0.4,0.8,-1.1,3.1,2.7,0.4,0.5,1.3,-1.2,-0.4,2.2,-2,0.5,1.6,2.7,3.8,3.8,0.5,-2.9,-1.2,-2,-1.7,1.5,2,0.4,1.6,0.4,-0.8,0.3,0.2,0.6,-0.6,2.9,1.6,1.5,2.4,0.5,0.4,-0.3,0.2,0.2,1.3,1.1,0.5,-1.4,-0.8,0.2,1,1.6,2.6,0.3,-0.3,5,0.2,0.7,-0.4,-3,0.1,0.7,0.5,1.6,0.9,1.6,1.8,1.1,0.1,1.3,2.3,1.9,2.4,2.1,-1.2,4.7,2,1,2.2,2.7,4,-0.2,2.6,0.5,-1,-1.1,1.6,2.7,2.8,-0.2,5.2,1.6,1.5,4.1,2.3
"27","19","    Durable goods","A630RC1",2.5,0.7,0.8,0.6,1.9,0.3,0.1,0.7,-0.6,-1,2.5,-2.2,-0.8,1.1,1.1,4.1,1,1.1,-0.3,-0.9,-0.9,-1,0.2,1.2,0.8,0.7,0.9,-1.1,-0.5,0.1,0,-0.7,1.5,1.4,0.3,1.1,0.4,-1,-0.6,-0.1,-0.1,1,1.1,0.7,-1.4,-1.2,-0.5,0.4,1,1.6,-0.3,-1,3.4,0.5,0.2,-0.2,-2.7,-0.4,-0.4,-0.2,0.3,0.1,1.3,0.8,0.2,-0.3,0.8,2,1.4,1,1.3,-1.8,3.5,1.5,1,0.6,1.5,2.8,-0.7,1.2,-1.2,-1.5,-0.9,1,1.7,2.8,-1,4.5,0.6,-0.1,2.9,1.5
"28","20","      Motor vehicle dealers \4\","A631RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.4,-0.5,-1.2,3.3,0.6,0.3,-0.2,-2.5,0,0,0,0.3,-0.1,0.8,0.9,0.4,-0.3,0.5,1.6,0.9,0.4,1.3,-2.4,2.4,1.6,0.9,1,0.2,1.8,-1.2,1.5,-1,-2,-1.2,1,1.4,1.9,-1.5,3.8,0.2,-0.5,1.8,1.2
"29","21","      Other \4\","A632RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.1,-0.1,0,0,-0.3,-0.4,-0.4,-0.2,0.1,0.2,0.5,-0.1,-0.2,0,0.3,0.4,0.5,0.5,0,0.6,1,-0.1,0.2,-0.4,1.3,0.9,0.5,-0.3,-0.2,0.6,0.3,0,0.3,0.9,0.5,0.6,0.4,0.3,1,0.4
"30","22","    Nondurable goods","A633RC1",-2.9,0.1,-1.9,2.4,0.8,0.1,0.4,0.6,-0.6,0.6,-0.3,0.2,1.3,0.5,1.6,-0.4,2.8,-0.7,-2.5,-0.3,-1.1,-0.7,1.4,0.8,-0.4,0.9,-0.5,0.2,0.8,0.1,0.6,0.1,1.4,0.2,1.2,1.3,0.1,1.4,0.2,0.3,0.3,0.3,0,-0.1,0,0.5,0.7,0.6,0.6,1,0.6,0.7,1.6,-0.3,0.5,-0.2,-0.3,0.5,1.1,0.7,1.3,0.8,0.3,1,0.9,0.4,0.5,0.4,0.4,1.4,0.8,0.6,1.2,0.5,0,1.6,1.2,1.3,0.5,1.3,1.7,0.5,-0.2,0.7,1,0.1,0.8,0.7,0.9,1.7,1.2,0.8
"31","23","  Other","A154RC1",-0.4,0.2,0.6,0.5,-0.3,-0.1,0,0.1,0.3,-0.2,-0.3,-0.3,0,0.1,0.2,0.5,0.3,0.6,0.8,1.1,0.6,0.2,-0.1,-0.8,-0.3,-0.6,-0.4,-0.5,0.1,-0.1,0,0,-0.3,0,-0.3,-0.5,0.6,0.4,0.4,0.9,0.3,0,0.7,0.6,0.2,0,-0.1,-0.1,0.1,0.4,0.1,0.5,0,0.4,0.3,0.1,0.5,0.6,0.5,0.9,-0.1,0.1,-0.1,-0.1,0.5,0.5,0.2,0.6,0.3,0.8,0.4,0.3,0.3,0.6,0.2,0.3,0,-0.1,0.2,0.8,0.5,1,1.5,1.2,0.6,0,0.5,0.1,0.5,0.9,0.7,0.2
"32","24","    Durable goods","A636RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,-0.1,0.1,0,0,0,0.1,0.3,0.2,0.3,0.3,0.1,0.1,0.1,0,0.1,0.1,0,-0.1,0.2,0.1,-0.1,0.1,0.2,0.2,0,0,-0.2,-0.2,0,0.2,-0.1,0.2,0.2,0.2,-0.2,-0.3,-0.2,-0.2,-0.4,0,0.5,-0.1
"33","25","    Nondurable goods","A637RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0.3,0.2,0.4,0,0.4,0.2,-0.1,0.2,0.4,0.2,0.7,-0.1,0,-0.2,-0.1,0.5,0.4,0.2,0.7,0.1,0.7,0.5,0.2,0.1,0.3,0.2,0.3,0.2,0.1,0.3,0.6,0.6,0.8,1.3,1,0.8,0.3,0.8,0.3,0.9,0.9,0.2,0.2
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Beginning with 1982, this series is derived from the Census Bureau series ""current cost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","inventories.""  For earlier periods, it is derived from the Census Bureau ""book value inventories""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","series.  The series differ in the treatment of inventories reported on a last-in, first-out (LIFO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
