"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"24","16","Exports of services \1\","A646RL1",NA,-11.2,-18.7,27.1,6.7,14.9,12.6,8.7,-28.6
"25","17","  Transfers under U.S. military agency sales contracts","B267RL1",NA,-29.9,-58.8,131.1,17.7,44.8,21.6,26.1,-58.6
"26","18","  Travel","B493RL1",NA,-19.5,20.1,10.2,1.1,-8.4,13.9,4.6,34.9
"27","19","  Passenger fares","B533RL1",NA,-6,64.9,-3.9,14.8,13.9,-11,8.1,15.8
"28","20","  Other transportation","B683RL1",NA,-1.4,-10.8,0.6,1.6,13.2,10.4,-2.2,-45.4
"29","21","  Royalties and license fees","B684RL1",NA,3.7,-11.1,-4.4,-0.5,11.9,17.6,-0.1,-6.4
"30","22","  Other private services","B720RL1",NA,29.6,45.6,12.3,-9.8,-7.8,-4.7,0.6,14.3
"31","23","  Other","B980RL1",NA,1.6,4.8,2,17.5,-1.4,2.3,3.2,-2.5
"32","24","    Imports of goods and services","B021RL1",NA,-3.2,5.3,22.8,25.8,6.2,26.3,-3.3,-32.7
"33","25","Imports of goods \1\","A255RL1",NA,-11.1,3.3,42.7,36.2,10.2,30.6,-6.4,-42.4
"34","26","  Foods, feeds, and beverages","B647RL1",NA,-27.3,24.5,13.6,10.5,16,88.1,-46.5,-64.3
"35","27","  Industrial supplies and materials, except petroleum and products","A649RL1",NA,-18.3,-11.6,74,56.9,-0.9,-9.1,1.2,-55.4
"36","28","    Durable goods","A820RL1",NA,-12.4,-13.3,94.5,92.9,-6.5,-14.7,-5.1,-58.9
"37","29","    Nondurable goods","B696RL1",NA,-26.4,-8.9,46.2,9.8,10.1,1.5,12.6,-49.3
"38","30","  Petroleum and products","B648RL1",NA,7.6,-54.5,92.5,31.1,-1.7,55.6,-8.9,-0.5
"39","31","  Capital goods, except automotive","A650RL1",NA,-12.4,12,0,31.8,4.1,37.7,20.5,-38.7
"40","32","    Civilian aircraft, engines, and parts","B932RL1",NA,-69.2,92.5,39.3,163.3,14.6,-53.9,341.1,-59.1
"41","33","    Computers, peripherals, and parts","B852RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","    Other","B853RL1",NA,-7.9,9.5,-1.7,23,3.6,46.8,11.1,-36.5
"43","35","  Automotive vehicles, engines, and parts","B651RL1",NA,-2,100,20,97,42.4,74.8,26.8,-39.9
"44","36","  Consumer goods, except automotive","A652RL1",NA,-4.8,12.3,37.5,47.4,10.4,34.4,15.3,-12.8
"45","37","    Durable goods","B697RL1",NA,-5.7,18.9,8.3,76,2.7,52.5,3.1,-8.2
"46","38","    Nondurable goods","B698RL1",NA,-3.1,1.8,102.4,11.2,24,8.9,38.9,-19.8
"47","39","  Other","A653RL1",NA,30.9,8.5,40.6,-46.3,45.6,64.5,-41.1,-8.9
"48","40","Imports of services \1\","B656RL1",NA,17.7,10,-12.9,3,-3.5,15.2,5.7,-0.7
"49","41","  Direct defense expenditures","B752RL1",NA,-3.6,11.8,2.5,-3.2,1.6,12.9,7.6,8.6
"50","42","  Travel","B768RL1",NA,102.2,38.2,-56.3,1.6,-15.7,17,-20.5,43.3
"51","43","  Passenger fares","B769RL1",NA,-6.9,-6.8,20,-16.6,17.2,27.2,2.5,42.9
"52","44","  Other transportation","B770RL1",NA,-9.3,-26.7,35.9,40.6,-8.7,20.7,-9.4,-36.2
"53","45","  Royalties and license fees","B908RL1",NA,-2.7,-3.6,26.9,44.8,-31.6,-5,13.2,79.8
"54","46","  Other private services","B909RL1",NA,32.6,47.5,-7.9,-10.1,51.2,8.8,20.7,11.4
"55","47","  Other","B910RL1",NA,10.9,11.9,12.7,-16.2,-3.1,5.9,164.3,-60.4
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","A332RL1",NA,3.3,-10.3,4.3,17,16.6,25.4,-5.3,-27.8
"58","49","  Exports of nondurable goods","A339RL1",NA,-5.9,0.3,10.8,10.5,-7.6,38.9,-15.5,-63.2
"59","50","  Exports of agricultural goods \2\","B181RL1",NA,-5.4,-12.5,21.3,18.6,-35.5,25.9,-13.6,-81.3
"60","51","  Exports of nonagricultural goods","A182RL1",NA,0.9,-4,3.6,14.9,21.2,35.3,-11.1,-36.5
"61","52","  Imports of durable goods","A333RL1",NA,-6.4,13,40.8,65.7,7,22.6,3.8,-41.7
"62","53","  Imports of nondurable goods","A340RL1",NA,-16,-6.6,44.8,7.6,14.2,41.3,-17.7,-43.2
"63","54","  Imports of nonpetroleum goods","A187RL1",NA,-12.6,10.4,39.5,36.5,11.1,28.9,-6.2,-44.9
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
