"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","Finance, insurance, and real estate","A1715C0",580,627,707,807,836,961,987,1062,1101,1217,1250,1371,1495,1772,2087,2216,2453,2640,2953,3145,3417,4043
"24","17","  Finance and insurance","B1716C0",24,32,39,48,54,61,66,86,84,100,98,97,94,102,95,102,106,113,118,121,125,142
"25","18","  Real estate \1\","A1717C0",556,595,668,759,782,900,921,976,1017,1117,1152,1274,1401,1670,1992,2114,2347,2527,2835,3024,3292,3901
"26","21","Services","B1720C0",637,747,791,865,901,861,1114,1039,1280,1384,1429,1503,1484,1549,1576,1639,1704,1745,1828,2018,2099,2314
"27","22","  Hotels and other lodging places","B2616C0",113,139,153,170,177,168,216,199,228,281,280,257,254,277,280,294,302,299,308,344,344,373
"28","23","  Personal services","B2617C0",136,157,166,178,183,178,228,206,226,227,250,268,263,303,312,316,325,316,322,342,341,336
"29","24","  Business services","B2618C0",49,59,65,77,82,82,111,112,130,129,112,158,155,139,140,137,161,178,212,261,262,348
"30","25","  Auto repair, services, and parking","B2619C0",0,0,0,0,0,0,0,0,95,129,94,92,90,116,107,123,121,127,129,173,163,201
"31","26","  Miscellaneous repair services","B2620C0",43,50,52,59,62,60,71,64,73,73,74,54,55,62,60,70,67,69,71,71,83,84
"32","27","  Motion pictures","B2621C0",19,21,21,22,22,21,25,21,30,29,39,31,31,21,27,40,28,21,30,27,46,24
"33","28","  Amusement and recreation services","B2622C0",78,91,94,96,98,93,130,126,145,133,135,129,123,135,128,141,141,160,130,136,159,179
"34","29","  Health services","B2623C0",152,175,178,194,206,194,249,231,265,283,335,344,342,326,332,323,347,358,380,391,409,435
"35","30","  Legal services","B2624C0",25,30,34,37,39,37,49,46,50,57,67,71,71,73,80,83,90,92,106,112,118,130
"36","31","  Other \2\","B2625C0",22,25,28,32,32,28,35,34,38,43,43,99,100,97,110,112,122,125,140,161,174,204
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gardens; membership organizations; and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
