"","Table 7#8# Supplements to Wages and Salaries by Type            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Pension, profit-sharing, and other retirement benefit plans \1\","A2209C1",36.7,40,46.3,53,62.4,73.6,83.6,96.4,111,124.8,142.6,160.1,177.6,188.7,199.2,224.5,237.3,249.1,258,268.9,283.4,295.1,310.6,325.2,340.7,359.2,372.6,381,395.9,421.9,432.9,459.9,488.4,540.1,600.4,604.1,633.5,670.9,686.2,743,766.3
"13","5","  Old-age, survivors, and disability insurance (3.6:5)","L306051",15.6,16.2,18.2,20.6,25.2,29.2,30.5,33.8,37.5,42.9,50.3,55.6,64.9,69.2,73.5,85.7,91.5,98.1,104.1,118.3,126.6,137.3,141,147.4,153.2,161.9,169.9,179,191.5,205.9,218.9,234.4,243.8,248.1,253.8,264.9,277,293.4,306.5,316.8,309.7
"14","6","  Federal civilian employee retirement (6.11A-C:26; 6.11D:28)","B4945C1",1.6,2,3.2,3.4,3.5,4.9,6.9,8.1,11,11.3,13.2,15.9,18.7,19.9,21.2,21.4,22.9,23.5,24.4,25.4,26.7,28.7,31.2,33.1,34.5,35.1,35.7,36.5,38.5,39.1,40,41.3,42.3,43.9,41.2,47.5,48.6,52.3,54.4,57.1,59.5
"15","7","  Federal military employee retirement (6.11A-C:27; 6.11D:29)","B1583C1",2.7,3.2,3.7,4.2,4.7,5.7,6.8,7.7,8.5,9.4,10.6,12.5,14,15.4,16.3,26.1,28.2,28.3,29,28.5,28.9,27.5,28.9,28.3,25.5,24.7,23.2,26.9,26.7,26.3,26.6,28.2,29.4,33.7,41.2,46.8,52.1,55.3,60.5,66,73
"16","8","  Railroad retirement (3.6:12)","CON1701",0.5,0.5,0.5,0.6,0.8,1.1,1.1,1.3,1.4,1.5,1.7,1.7,1.9,2,1.9,2.2,2.3,2.5,2.5,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.6,2.7,2.8,2.8,2.9,2.8,2.7,2.5,2.5,2.6,2.7,2.7,2.8,2.6
"17","9","  Pension benefit guaranty (3.6:13)","B1043C1",NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.6,0.7,0.8,0.9,0.9,1,1,1.1,1,1,0.9,0.8,0.9,0.8,1.1,1.6,1.2,1.6,1.3,1.6,2
"18","10","  State and local employee retirement (6.11A-C:28; 6.11D:30)","S251101",4.5,5.1,5.6,6.4,7.3,8.5,10.2,12.1,13.5,15,16.8,19.1,20.8,23.2,24.8,26.3,28,30.3,30.4,31.1,31.9,33,32.9,33.8,36.1,38.9,41.7,43.1,43.8,42,41.2,39.6,39.2,42.1,56.4,55.8,61.9,67.2,75.2,81.9,84.8
"19","11","  Private pension and profit-sharing (6.11A-C:22; 6.11D:24)","B4921C1",11.8,13.1,15.1,17.9,20.9,24.2,28.1,33.4,39.1,44.7,49.9,55.3,57.2,58.9,61.3,62.7,64.2,66.2,67.2,62.4,65.9,65.3,73.1,79,87.9,95.1,98.6,91.8,91.7,104.7,102.5,112.7,129.9,168.8,204.1,184.9,190.1,198.5,185.6,217,234.7
"20","12","Health insurance","A2210C1",12.4,14.7,16.3,19.2,23.9,26.8,31.4,38.5,45.9,54.9,63.5,73.1,88.1,100.1,110.8,121.6,133.6,144.4,155,173,191.5,211.9,231.3,256.1,276.3,292.1,291.4,296.7,303.8,328.3,363.8,404.8,435.9,462.9,503.6,540.8,579.6,594.3,618.5,640,648.3
"21","13","  Federal hospital insurance (3.6:6)","L306061",2.3,2.3,2.4,2.7,5.3,5.4,5.6,6.2,6.9,8.6,10.5,11.6,15.9,16.8,18.7,20.6,22.7,26.1,27.7,29.5,31.6,33.5,36.8,38.6,40.3,44.7,47.5,50.3,54.1,58.5,62.5,67.5,69.1,69.3,71.1,74.9,79,84,88.8,90.5,86.2
"22","14","  Military medical insurance (3.6:16)","B1606C1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.3,1.5,1.7,1.7,1.6,1.4,1,1,0.9,1,1,1.2,1.3,1.5,1.8,2,2.1,2.5,2.4,2.7,3.2
"23","15","  Temporary disability insurance (3.6:18)","S252101",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"24","16","  Private group health insurance (6.11B,C:31; 6.11D:33) \2\","B4923C1",9.9,12.1,13.7,16.2,18.3,21.1,25.5,32,38.8,46,52.6,61,71.7,82.6,91.5,100.3,110,117.4,126.2,142.3,158.6,176.9,192.8,215.7,234.3,246,242.8,245.4,248.7,268.8,300.2,336.1,365.5,392.1,430.7,463.9,498.5,507.8,527.2,546.8,558.9
"25","17","Life insurance","A2211C1",2.4,2.4,2.5,2.5,2.5,2.7,3.1,3.1,3.3,3.7,3.9,4.1,4.4,4.7,4.9,4.9,5.6,6.1,6.1,6.5,6.7,7.3,7,8,8.6,9.1,9.5,10,10.8,11.5,11.6,12.4,13.1,12.3,11.5,12.6,13.2,16,17.8,13,10.8
"26","18","  Veterans life insurance (3.6:14)","CON2101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"27","19","  Private group life insurance (6.11B,C:32; 6.11D:34) \2\","B4924C1",2.4,2.4,2.5,2.5,2.5,2.7,3.1,3.1,3.3,3.7,3.9,4.1,4.4,4.7,4.9,4.9,5.6,6.1,6.1,6.4,6.7,7.2,7,7.9,8.6,9.1,9.5,10,10.8,11.4,11.6,12.4,13,12.3,11.4,12.6,13.2,16,17.7,12.9,10.7
"28","20","Workers' compensation","A2212C1",4.3,4.7,5,5.5,6.4,7.4,8.6,10.5,13.1,15.6,18.1,19.7,20.4,20,20.4,22.2,25.2,28.9,33.5,38.1,41.4,46.3,50.2,55.6,57.2,57.7,55.5,52.5,51.2,51.1,51.4,54.2,60.3,67.5,77.2,83.2,87.3,81.2,75.9,70.8,66.9
"29","21","  Federal (3.6:15)","CON2201",0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2.2,2.3,2.3,2.4,2.5,2.5,2.5,2.6,2.6,2.7
"30","22","  State and local (3.6:19)","S253001",0.7,0.7,0.8,0.9,1,1.2,1.3,1.7,2.1,2.7,3,3,3.1,3.1,3,3.3,3.7,4.4,5.2,6.1,7.1,8,9.2,10.3,11.1,11.4,11,10.2,9.2,8.6,7.9,8.2,10,12.3,16.1,19.4,19.3,17.3,15.1,14.9,15.4
"31","23","  Private insurance (6.11B,C:33; 6.11D:35) \2\","B4925C1",3.5,3.8,4,4.4,5.2,6,6.8,8.4,10.4,12.3,14.4,15.8,16.5,16,16.5,17.9,20.4,23.4,27.2,30.7,32.9,36.8,39.3,43.6,44.3,44.4,42.6,40.3,40.1,40.6,41.4,43.8,48,52.9,58.8,61.4,65.6,61.4,58.2,53.4,48.8
"32","24","Unemployment insurance","A2213C1",3.5,3.8,4.2,6.1,7.3,7.4,7.7,11,13,15.8,16.9,17.2,17.8,18.7,22.7,27.3,27.6,26.7,26.7,27.8,25.3,24.5,24.7,28.8,31.3,31.9,31.8,31.2,30.4,29.5,29.1,29.9,29.4,30.7,35.3,42,45.5,44.4,42.1,40,40.3
"33","25","  State unemployment insurance (3.6:8)","CON1201",2.5,2.4,2.6,4.1,5.1,5.4,5.2,8.1,9.4,11.5,12.2,11.6,12,12.8,15.5,19.4,19.5,18.2,17.8,18,16.7,15.5,15.5,18.3,21.4,22.9,22.7,22,21.3,20.4,19.8,20.5,20.1,21.4,26,32.5,35.8,34.8,32.5,30.4,30.6
"34","26","  Federal unemployment tax (3.6:9)","CON1501",0.7,0.9,0.9,1.2,1.5,1.3,1.3,1.4,2,2.7,3,3.4,3.6,3.7,4.9,5.5,5.4,5.7,5.9,6.4,5.2,5.2,5.1,5.4,5.3,5.6,5.8,6,6.3,6.6,6.8,7.1,7,6.9,6.8,7,7.2,7.2,7.3,7.1,6.6
"35","27","  Railroad employees unemployment insurance (3.6:10)","CON1601",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
"36","28","  Federal employees unemployment insurance (3.6:11)","TRP1501",0.1,0.3,0.5,0.5,0.3,0.4,0.8,0.9,0.7,0.5,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,1.2,1.3,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.6,0.7,0.7,0.7,0.7,0.6,0.7,1.3
"37","29","  Private supplemental unemployment (6.11B,C:34; 6.11D:36)","B4926C1",0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.4,0.6,0.9,1.1,1.5,1.5,1.7,1.7,1.9,2.1,2.3,2.5,2.9,2.9,3.2,3.4,3.8,3.3,2.7,2.6,2.5,2.2,2.1,1.9,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Employer contributions to privately administered programs and to publicly administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","government employee retirement plans are classified as employer contributions for employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","pension and insurance funds.  Employer contributions to other publicly administered programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","are classified as employer contributions for government social insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Government contributions to privately administered health, life, and workers' compensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","insurance for government employees are classified as employer contributions for employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","pension and insurance funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Note.  The numbers in parentheses indicate the tables and line numbers from which the entries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","in this table are derived.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
