"","Table 5#7#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"11","3","Nonfarm","A373RX1",554.2,560.8,570.5,576.8,576.8,580.5,586,585.5,593.3,598.4,604.7,606.1,608.9,616.5,626.2,632.8,643.5,653.1,658.1,673.3,683.2,693.1,696.1,712.3,702.7,693.1,691.8,690.9,699.2,712.2,721.9,728.5,736.8,743.7,757.2,764.2,776.4,787.5,795.6,809.1,817.3,827.4,829.5,832.8,837.2,842,833.9,832.4,843.6,844,854.7,860.6,852.1,849,847.6,833.3,823.9,825.6,834.1,844,864.5,883.8,903.5,916.3,918.5,923.5,926.5,934.7,943,948.6,947.2,945.1,956.2,964.5,965.5,986.2,992.4,1001.9,1010.1,1021.6,1033.2,1042.6,1046.8,1052.4,1055.7,1065.7,1070.8,1066.4,1061.9,1056.7,1060,1066.8,1064.9,1068.2,1072.3,1077.7,1089.4,1097.4,1102.6,1107.6,1115.3,1132.8,1144.4,1163.4,1181.2,1193.8,1202,1207.7,1209.3,1214.2,1223,1230.9,1244.2,1268.1,1284.5,1304.4
"12","4","    Durable goods \3\","A374RX1",278,280.9,286.1,291,290,289.9,293.7,289.8,294.4,296.2,300,297.6,299.3,302.8,307.7,314.2,321.5,330.3,338.9,347.1,351.7,354.4,359.3,370.2,366.1,362.5,359.3,355,357.3,363.4,369.6,375.3,378.8,382,387.8,392.4,401.2,408.4,413,422.6,431.3,439,440.3,442.2,443,442.2,436.3,438.5,442,445,448.2,447.5,441,440.9,440,427.9,418.2,418.9,422.2,429.3,441,452.1,463.3,473.7,473.9,475.7,474.7,476.9,480.6,481.6,477.1,473.9,481.5,487.4,485.7,498.2,500.1,504.1,511.7,521,530.7,535.2,535.4,540.2,540.4,545.9,550.1,547.3,539,532.1,532.9,532.5,528.4,530.2,529.8,529,535.1,538.4,541,545.6,551.6,561.6,569,579.5,590.8,598.5,603.9,610.9,613.2,617.7,626.8,628.8,635.7,649.9,659.1,671.3
"13","5","    Nondurable goods \3\","A375RX1",275.9,279.8,284,285,286.3,290.8,292.1,296.7,299.6,303.3,305.5,310.3,311.3,315.6,320.3,319.4,322.2,321.9,316.9,323.8,329.2,336.8,334.2,339,333.4,327,329.5,333.7,340.1,347,350.3,350.6,355.5,359.4,367.3,369.4,372.3,375.6,379,382.2,380.6,382.4,383.1,384.5,388.3,394.6,392.5,388.5,396.5,393.5,401.2,408.4,406.8,403.6,403.2,402,403.4,404.4,409.9,412.2,420.5,428.4,436.5,437.9,440.1,443.5,448.3,454.7,459.4,464.6,469,470.8,473.6,475.4,478.8,486.3,491,496.8,496.1,497.1,497.8,502.9,507.5,507.6,511.2,515.5,516,514.4,519.8,522.6,525.3,533.6,536.6,538.1,543.3,550.4,555.9,560.8,563.3,563.1,564.3,571.5,575.1,583.4,589.3,593.7,596.2,594,592.8,592.9,591.6,597.9,604.3,613.5,620.6,628.2
"14","6","  Manufacturing","A376RX1",275.4,277.4,280.8,284.1,283.1,283.6,285.3,284,284.3,283.4,282.1,280.6,281.2,283,287.1,288.3,293,298,302.4,309.6,314,320.3,325.2,333,332.7,328.3,324.7,324.6,326,330.5,335.1,340.1,341,343.6,348.1,349.6,351.1,356.2,360.5,365.6,369.2,373.3,376,379.7,385.3,386.9,380.8,380.1,384,384,386.9,385.2,381.3,376.8,374.5,367.9,358.1,359.8,363,367.5,374.9,387.1,398,399.4,396.9,396.6,394.2,392.4,390.5,390.8,387.7,388.3,388.3,389.4,392.3,397.6,401.3,405.3,408.3,416.2,421.5,427.8,431.5,431.8,436.3,438.4,441.7,441.6,440.2,435.5,434.3,434.2,431.4,429.6,431.6,429,429.7,432.4,433.9,432.9,435.8,439.3,442.2,446.3,452.1,456.3,459.7,461.7,466.5,465.5,469.4,472.9,477.3,484.1,490.1,497.7
"15","7","    Durable goods","B377RX1",158.2,159.5,161,164,163,162.2,164,162.6,162.4,160.8,159.6,157.5,157.9,158.6,161.4,163.2,166.7,170.6,176.3,181.5,183.8,186.4,190,194.7,194.9,193,189.2,186.1,185.9,187.9,190.4,194.3,194.9,195.3,197.4,198.7,200.7,204.7,207.9,211.6,215.6,219.5,221.5,225.1,227.2,227.8,224.7,225.1,227.3,226.5,228.9,227,223.1,222,219.6,214.1,207,207.9,208.3,211.8,216.2,223.7,231.3,234.4,233.2,233.1,231.7,228.5,227.3,226.5,224.6,223.2,222.7,223.8,225.5,228.6,230.7,233,235.4,240.9,245.4,248.7,250.5,251.3,253.6,254.9,256.5,256.3,253.9,250.1,248.7,246.8,244,242,241.5,238.7,238.9,240.5,242.2,242.5,244.5,247.3,248.9,251.7,254.9,257.2,260.2,262.7,266.7,267.3,270.6,272.5,274.8,279.2,283.2,288
"16","8","    Nondurable goods","B378RX1",117.2,117.9,120,119.7,120,121.8,121.2,121.7,122.4,123.5,123.7,125,125.1,126.5,127.5,126.3,127.3,127.8,125.3,126.9,128.9,133.1,134.1,137.1,136.5,133.8,134.5,138.5,140.3,143,145.4,146,146.2,148.8,151.4,151.5,150.5,151.3,152.1,153.2,152.1,151.6,152.3,151.8,155.7,156.8,153.7,152.3,154.1,155,155.3,155.8,156.4,152.5,152.9,152.5,150.3,151.1,154.5,155,158,162.6,165.3,162.6,161.2,161,160,162.3,161.7,163.2,162,164.8,165.5,165.4,166.7,168.8,170.5,172,172.4,174.3,174.6,177.7,179.7,179,181.3,182.2,183.8,184.1,185.6,185.1,185.4,187.9,188.4,188.8,191.8,192.5,193,194.2,193.6,192.2,192.9,193.4,194.6,195.8,198.5,200.4,200.7,199.8,200.3,198.6,198.9,200.5,202.6,205,206.8,209.6
"17","9","  Wholesale trade","A379RX1",114.1,116.7,118.8,119.7,121.9,123.6,126,128.7,128.8,131.1,132.7,135.5,135.2,137.5,140.6,141.6,143.5,143.2,142.9,145.4,149.8,154,153.4,158.9,156.2,152.6,153.3,152.1,152.9,157.9,161.8,162.2,165.5,167.9,171.8,175.3,181,183.4,184.2,189.3,193.3,195.4,197.6,198.7,201.6,204.9,204.9,204,208.8,206.6,207.1,209.8,208.6,209.9,209.2,207.2,204.3,200.2,203.9,206.3,210,213.5,220.9,222.8,225.3,227,227.7,229.2,231.6,234,239,237.7,238.1,239.7,238.9,245.4,250.4,253.4,255.9,254.9,254,258.2,258.8,258.5,260.6,264.5,266.8,267.2,269.3,265.9,267.1,271.5,272.1,274.6,276,280.3,281.4,282.6,285.1,286.5,286.3,290.9,295.6,302.7,307.8,311.6,314.8,316.2,317,318.3,316.4,318.9,325,334.3,339.1,347.4
"18","10","    Durable goods","A380RX1",63.5,65.4,66.6,67.2,68.3,68.6,70.2,71,71.4,72.5,73.8,75.8,75.9,77.9,79,81.1,82.3,83.9,84.9,85.9,87.8,89.3,91.2,94.5,94.6,92.8,91.5,91.7,92.1,95.1,97.1,97.4,98.8,100.2,102.1,104.5,108.8,111.4,112.2,115.5,118.6,119.3,121.3,121.3,122.4,124.3,123.7,125.6,127.1,128.7,128.7,130.2,130.6,131.9,130.6,126.8,123.2,121,122.3,124.2,126.5,128.7,133.1,135,135.6,136.2,135.8,135.7,136.7,138.1,140.3,139.1,139.5,141.2,139.3,143.2,146.6,145.8,149.3,148.7,148.5,151.2,151.1,150.1,151.1,152.6,154.3,153.3,154.1,150.7,150.4,153.1,151.9,154.1,155.1,156.1,156.4,156.5,158,159.6,159.5,163.6,166.5,170.5,174.3,176.9,178.7,181.9,182.9,183.5,185.1,185.1,189.2,195.9,198.2,202.9
"19","11","    Nondurable goods","A381RX1",49.3,50,50.8,51.1,52.2,53.7,54.4,56.5,56.1,57.3,57.6,58.2,57.6,57.9,59.9,58.6,59.3,57.2,55.9,57.5,59.8,62.4,60,62.2,59.4,57.7,59.7,58.3,58.6,60.5,62.4,62.4,64.3,65.4,67.4,68.4,69.6,69.3,69.2,70.9,71.7,73.1,73.3,74.3,76.2,77.5,78,75.3,78.3,74.8,75.2,76.4,74.7,74.7,75.3,77.3,78.3,76.4,78.8,79.3,80.6,81.9,84.8,84.7,86.7,87.8,89,90.8,92.3,93.3,96.3,96.4,96.2,95.9,97.6,100,101.5,106.1,104.4,104.1,103.3,104.5,105.4,106.4,107.5,110.1,110.6,112.3,113.7,114.1,115.8,117.4,119.6,119.8,120,123.7,124.7,125.9,126.9,126.5,126.3,126.4,128.1,131.3,132.2,133.2,134.7,132.3,132,132.8,128.8,131.4,132.7,134.6,137.3,140.6
"20","12","      Merchant wholesalers","A802RX1",83.4,85.6,87.3,88,90.4,91.7,94,96.5,96.5,99,100.9,103.8,103.6,105.9,108.6,109.6,111.3,110.4,110.1,112.1,116.2,120.1,119.2,123.2,119.6,116.8,117.3,116,116.8,120.9,123.8,124.5,127.2,129.6,134,137.6,144.1,147.5,148.3,152.7,157.3,158.5,160.5,161,162.4,164.7,167.3,168.1,170.8,169.2,169.9,172.1,170.4,173.6,172.1,170.1,168.4,164.6,167.1,169.6,173.2,175.6,182.1,184.1,186.7,188.4,190.2,191.7,194.4,196.5,201.8,200.1,200.8,203.3,202.6,208.5,213.1,216,218.4,216.6,215.5,218.9,218.9,219.3,220.5,224,226.6,227.1,229.1,226.5,227.3,231.4,232.5,234.9,235.5,240.4,241.6,242.9,245.5,246.5,245.7,250.4,254.6,260.7,265,267.7,270.4,271.1,271,272.6,270.5,273,278.7,287.3,291.7,298.5
"21","13","        Durable goods","B803RX1",49.2,50.9,51.9,52.3,53.6,53.9,55.6,56.4,56.9,58.3,59.8,62,62.2,64,65,67,68,69.2,69.7,70.9,72.7,74.6,76.2,78.6,78.3,76.2,74.9,75.4,75.9,78.5,80,79.5,81.3,82.9,85.2,87.6,91.8,94.4,95.4,98.3,100.6,101,103.1,103.4,104.5,106.3,106.3,108.4,109.8,111.2,110.6,111.8,112,113.2,111.8,108.7,105.6,103.2,104.6,106.4,108.9,110.6,114.5,116.2,116.7,117.1,117.2,117.5,118.5,120.2,122.4,121.1,121.7,123.7,121.9,125.6,128.8,128,131.5,130.2,129.9,132.5,131.9,131.1,131.8,133,135,134.1,135.1,132,131.3,134.1,133.3,135.5,136.2,137.9,138.4,138.6,140,141.1,140.6,144.7,147.3,150.6,154,156.1,157.4,160,160.4,161.1,162.4,162.6,166.5,172.8,174.9,178.6
"22","14","        Nondurable goods","B804RX1",33.4,33.8,34.5,34.8,35.8,37,37.6,39.3,38.7,39.8,40.1,40.7,40.4,40.7,42.4,41.3,42.1,40.1,39.3,40.2,42.3,44.1,41.9,43.5,40.4,39.7,41.3,39.7,40,41.4,42.8,43.9,44.9,45.7,47.7,48.8,51,51.9,51.7,53.1,55.3,56.2,56,56.2,56.5,57,59.6,58.3,59.6,56.5,57.8,58.8,56.8,58.8,58.8,60,61.7,60.3,61.4,62.1,63.1,63.7,66.3,66.6,68.8,70.2,72.2,73.5,75.2,75.6,78.9,78.6,78.7,79.1,80.7,82.7,84,88.4,86.8,86.4,85.5,86.1,86.8,88.3,88.7,91.3,91.9,93.6,94.6,95.4,97.3,98.5,100.7,100.7,100.5,104,104.8,106.2,107.3,107.1,106.8,107,108.6,111.5,112.1,112.7,114.2,111.8,111.2,112.1,108.3,110.8,112.6,114.6,117,120.2
"23","15","      Nonmerchant wholesalers","A805RX1",30.1,30.5,30.9,31.1,30.9,31.3,31.4,31.6,31.7,31.5,31.3,31.1,31,31,31.5,31.5,31.6,32.2,32.2,32.7,32.9,33.3,33.6,35.1,36,35.2,35.4,35.4,35.5,36.3,37.3,37,37.5,37.6,37.2,37.1,36.3,35.3,35.4,36.2,35.6,36.4,36.7,37.2,38.6,39.5,37.3,35.8,37.7,37.2,37.1,37.5,37.9,36.3,37,37,35.9,35.5,36.6,36.6,36.7,37.8,38.7,38.6,38.6,38.6,37.6,37.5,37.4,37.7,37.4,37.8,37.4,36.6,36.5,37.2,37.5,37.6,37.7,38.5,38.7,39.5,40.1,39.4,40.3,40.8,40.4,40.4,40.4,39.7,40.1,40.3,39.9,39.9,40.7,40.1,40,39.9,39.9,40.2,40.8,40.7,41.2,42.3,43,44.1,44.7,45.4,46.4,46.1,46.3,46.2,46.5,47.4,47.7,49.2
"24","16","        Durable goods","B806RX1",12.8,13,13.2,13.3,13.2,13.2,13.3,13.3,13.2,13,12.9,12.8,12.8,12.9,13.1,13.2,13.4,13.8,14.1,14.1,14.2,13.9,14.3,15,15.3,15.5,15.4,15.2,15.2,15.5,16,16.6,16.4,16.3,16,16,16.2,16.3,16.2,16.6,17.3,17.5,17.5,17.3,17.3,17.4,16.9,16.8,17,17.2,17.6,17.9,18,18.1,18.2,17.6,17.1,17.2,17.2,17.3,17.2,17.6,18.1,18.3,18.4,18.6,18.3,17.9,17.8,17.7,17.7,17.8,17.7,17.4,17.3,17.6,17.8,17.7,17.9,18.4,18.5,18.6,19,18.8,19.1,19.4,19.2,19.1,18.9,18.6,19,18.9,18.5,18.5,18.9,18.3,18.1,18,18.1,18.5,19,18.9,19.3,19.9,20.3,20.9,21.3,21.9,22.4,22.3,22.6,22.5,22.7,23.2,23.3,24.3
"25","17","        Nondurable goods","B807RX1",19,19.2,19.4,19.4,19.4,19.9,20,20.4,20.7,20.7,20.6,20.6,20.3,20.2,20.5,20.2,20.1,20.1,19.6,20.4,20.5,21.4,21.3,22.1,22.7,21.4,21.7,22.1,22.3,22.8,23.4,21.9,23,23.3,23.2,23.1,21.7,20.2,20.4,20.8,18.9,19.7,20.1,21.1,22.7,23.5,21.6,20.1,21.8,21.2,20.5,20.6,21,18.9,19.6,20.4,19.7,19.2,20.6,20.4,20.8,21.5,21.9,21.4,21.3,21,20.1,20.7,20.5,21.2,20.8,21.3,20.9,20.2,20.2,20.7,20.9,21.1,20.9,21.1,21.3,22.1,22.2,21.6,22.4,22.4,22.4,22.5,22.8,22.3,22.2,22.7,22.7,22.8,23.4,23.5,23.7,23.6,23.5,23.2,23.3,23.1,23.2,23.7,23.9,24.5,24.6,24.6,24.9,24.7,24.5,24.6,24.7,25,25.3,25.6
"26","18","  Retail trade","A382RX1",106,107.2,110.4,112.1,111.3,113,114.3,112.2,118.5,121.7,127.5,127.4,129.2,131.7,133.6,137.3,140.4,144.4,144.4,148.4,147.4,146.7,144.9,146.2,140.1,138.3,139.8,138.8,143.9,146.5,148.4,149.5,151.6,153.5,156,158.1,162.3,164.6,165.4,168.7,168.9,172.5,169.8,168.6,166.6,165.5,164.6,163.8,164.6,168.1,171.1,172.8,168.5,168.8,172,168.9,170.9,175.2,178.6,182.7,192.1,195.7,196.4,205,206.3,209.3,212.8,220.8,227.6,228.2,224.7,224.3,234.6,239.7,238.6,246.1,243.9,246.8,249.7,253.9,261.8,262.4,262.2,268.8,265,268.7,269,267.2,261.5,262.7,265.9,267.7,266.6,269.2,269.9,272.5,282.4,284.5,285.2,288.3,292.4,300.1,303.9,309.4,315.2,319.7,321.1,321.9,318.2,322.2,328.1,329.5,330.4,335.6,339.6,342.4
"27","19","    Durable goods","B383RX1",47.6,47.5,49.6,50.7,49.9,50.5,51.1,48,52.4,55,59.4,57.7,58.6,59.6,60.4,63.2,65.1,68.4,69.6,71.1,71.2,70.1,68.9,72,67.6,68,70,68.8,70.8,72.2,74.4,75.5,77.1,78.2,80.1,81.6,84,84.3,84.3,87.3,88.6,91.5,88.7,86.9,84.4,81.7,79.8,79.3,78.6,81.4,81.8,82.1,79,78.8,81.9,78.7,80,82,83.7,86,90.5,91.4,90.6,96.5,97.5,99.4,100.5,106.7,111.3,111.9,107.3,106.7,115,118.1,116.5,122.1,118.5,121.1,123.2,127.2,132.7,130.8,129.1,134.1,130.3,133.2,134.2,132.9,126.6,127.1,129.2,128.1,127.5,129,128.4,129.3,135.3,136.8,136.1,138.3,141.9,145,147.7,151.3,155.4,158.2,159,160.1,157.3,160.9,164.8,164.8,165.1,167.8,170.4,172.9
"28","20","      Motor vehicle dealers \4\","B864RX1",26.6,26.2,27.8,28.8,27.7,28.5,29,24.9,29.4,32,36.4,33.9,33.8,33.7,33.5,34.8,36.5,38.8,39.9,41.6,40.8,39.4,38.6,41.8,37.8,38.5,40.4,38.2,39.9,40.3,41.8,42.2,43.8,44.9,46.5,48.3,49.6,48.7,48.2,51.6,53.3,56.5,53.3,51.7,48.8,45.8,44,43.9,37.1,40,40,39.6,37.2,37.8,41,37.1,37.7,38.7,39.8,41.5,44.9,44.5,43.4,48.3,48.4,50,49.8,56.1,59.4,59.6,53.8,54.5,63,64,61.8,65.8,61.1,63.3,64.3,67.9,73.3,70.7,67.5,72.7,67.6,69.9,71.6,71.1,65.7,66.5,68.2,67.1,67.5,68.5,68.1,68.5,73.8,74.7,72.7,72.4,75.4,76.1,77.6,79.9,83.3,85.1,83.8,85.4,81.6,84.7,88.3,87.9,86.8,87.5,89.2,92.2
"29","21","      Other \4\","A865RX1",21,21.2,21.8,22.1,22.1,22.2,22.3,22.6,23.1,23.3,23.8,24.3,25.1,26,26.9,28.3,28.7,29.8,30,30,30.6,30.8,30.4,30.6,29.9,29.7,30,30.6,31,32,32.7,33.3,33.5,33.6,34.1,34,35,35.9,36.3,36.3,36.2,36.2,36.3,36,36,36,35.6,35.3,40.8,41,41.4,42,41.1,40.5,40.6,41,41.6,42.6,43.2,43.9,45.2,46.3,46.5,47.8,48.7,49.1,50.2,50.5,52,52.4,53.2,52,52.2,54.3,54.7,56.4,57.2,57.7,58.8,59.4,59.7,60.3,61.5,61.7,62.5,63.2,62.6,61.9,60.8,60.6,61,60.9,60,60.6,60.3,60.8,61.7,62.3,63.5,65.8,66.5,68.8,70,71.4,72.1,73.2,75.1,74.7,75.5,76.1,76.5,76.9,77.2,78.5,79.9,80.7
"30","22","    Nondurable goods","B384RX1",57.2,58.5,59.5,60.1,60.1,61.1,61.9,63.1,64.8,65.2,66.4,68.1,68.9,70.5,71.5,72.3,73.4,74.1,72.9,75.3,74.3,74.7,74.1,72.2,70.7,68.4,67.8,68.1,71.3,72.4,71.9,72,72.3,73.1,73.6,74.1,75.8,77.9,78.8,78.9,77.6,78.3,78.4,79.2,79.8,81.6,82.9,82.6,84.2,84.8,87.4,88.9,87.9,88.4,88.3,88.7,89.3,91.6,93.2,94.8,99.7,102.5,104.2,106.4,106.7,107.6,110.1,111.5,113.4,113.3,114.9,115.2,116.6,118.3,119.1,120.6,122.4,122.4,123.1,123,125,127.8,129.5,130.8,131.1,131.7,130.9,130.5,131.5,132.2,133.3,136.4,135.8,136.9,138.4,140,143.7,144.2,145.8,146.5,146.6,151.2,152.1,153.7,155.1,156.6,157.2,156.8,156.1,156.2,158,159.4,160.1,162.5,163.9,164.1
