"","Table 6#11B# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"29","20","Employer contributions for employee pension and insurance funds","B040RC0",3405,3778,4650,5725,6383,7019,7281,8370,9797,11218,11881,13292,14304,15174,16604,17961,20250,22655,25488,28115,32392,36524,41819,47914,55195,62678,73273,87583,105199,125263,143358,162389,185210,204681,222356,238139,261493,281464,297451,313212
"30","21","  Pension and profit-sharing","B4934C0",2026,2253,2868,3546,3943,4227,4305,4972,5779,6578,6852,7771,8236,8608,9324,10101,11477,12824,14620,16356,18345,20608,23350,27579,31838,36429,43262,51968,61256,72124,80450,90520,102791,110709,117433,123666,136500,143374,148255,151065
"31","22","    Private pension and profit-sharing","B4921C0",1196,1262,1713,2262,2543,2861,2903,3377,3757,4153,4134,4771,4866,4966,5442,5760,6591,7646,8675,9456,10717,11823,13050,15108,17903,20934,24218,28053,33419,39082,44724,49875,55298,57175,58897,61346,62723,64203,66195,67249
"32","23","      Defined benefit pension and profit-sharing","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","      Defined contribution pension and profit-sharing","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","    Publicly administered government employee retirement plans","B4935C0",830,991,1155,1284,1400,1366,1402,1595,2022,2425,2718,3000,3370,3642,3882,4341,4886,5178,5945,6900,7628,8785,10300,12471,13935,15495,19044,23915,27837,33042,35726,40645,47493,53534,58536,62320,73777,79171,82060,83816
"35","26","      Federal civilian \1\","B4945C0",244,273,316,316,326,188,42,144,393,599,726,755,838,875,943,1034,1138,1146,1244,1339,1501,1611,2047,3209,3424,3474,4905,6921,8082,11039,11287,13157,15913,18743,19929,21235,21417,22946,23465,24392
"36","27","      Federal military \2\","B1583C0",226,298,329,343,359,388,420,466,519,556,622,686,757,864,969,1120,1331,1507,1721,1987,2288,2661,3162,3673,4161,4695,5657,6824,7696,8503,9428,10649,12480,14021,15367,16304,26059,28233,28284,29045
"37","28","      State and local","S251100",360,420,510,625,715,790,940,985,1110,1270,1370,1559,1775,1903,1970,2187,2417,2525,2980,3574,3839,4513,5091,5589,6350,7326,8482,10170,12059,13500,15011,16839,19100,20770,23240,24781,26301,27992,30311,30379
"38","29","  Private insurance funds","B4936C0",1379,1524,1785,2179,2440,2794,2980,3403,4018,4640,5029,5521,6068,6566,7280,7860,8773,9831,10868,11759,14047,15916,18469,20335,23357,26249,30011,35615,43943,53139,62908,71869,82419,93972,104923,114473,124993,138090,149196,162148
"39","30","    Group insurance","B4922C0",614,762,1030,1320,1476,1737,1919,2267,2726,3206,3588,4009,4454,4880,5407,5885,6663,7541,8244,8905,10792,12331,14537,16123,18666,20826,23832,28554,35131,42078,49737,56444,65142,76031,87276,96333,105179,115558,123472,132320
"40","31","      Group health insurance","B4923C0",444,551,745,991,1115,1316,1454,1706,2058,2440,2721,3038,3374,3747,4188,4551,5182,5890,6410,6869,8408,9926,12101,13662,16161,18309,21106,25498,32024,38753,46012,52575,61016,71681,82616,91459,100287,109999,117409,126198
"41","32","      Group life insurance","B4924C0",170,211,285,329,361,421,465,561,668,766,867,971,1080,1133,1219,1334,1481,1651,1834,2036,2384,2405,2436,2461,2505,2517,2726,3056,3107,3325,3725,3869,4126,4350,4660,4874,4892,5559,6063,6122
"42","33","    Workers' compensation","B4925C0",765,762,755,859,964,1057,1061,1085,1162,1266,1293,1378,1494,1579,1715,1822,1991,2169,2488,2734,3126,3473,3821,4016,4425,5157,5983,6827,8368,10413,12311,14358,15779,16464,15964,16471,17922,20414,23421,27292
"43","34","    Supplemental unemployment","B4926C0",0,0,0,0,0,0,0,51,130,168,148,134,120,107,158,153,119,121,136,120,129,112,111,196,266,266,196,234,444,648,860,1067,1498,1477,1683,1669,1892,2118,2303,2536
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","35","  Benefits paid by pension and insurance funds","B4928C0",1236,1372,3111,3811,4320,4934,5417,6115,7171,8186,9149,10224,11337,12706,14183,15547,17429,19427,21894,24196,28100,32355,38005,43018,48558,54586,64135,75025,86939,99920,114065,133753,158992,186175,214306,238073,269101,299961,346680,370027
"46","36","    Pension and profit-sharing","B4937C0",746,865,1357,1556,1752,2024,2232,2529,2945,3338,3754,4298,4787,5353,6045,6750,7702,8680,10284,11721,13113,15182,17589,20438,23830,27257,31979,37566,43635,49851,56916,65975,78352,93627,107591,123383,144198,160847,193039,198460
"47","37","      Private pension and profit-sharing","B4929C0",NA,NA,370,450,520,620,710,850,1000,1140,1290,1540,1720,1970,2330,2590,2990,3520,4190,4790,5530,6452,7366,8599,10013,11227,12952,14836,17498,20875,24257,29071,35338,44276,53011,65377,83269,94282,122363,122432
"48","38","      Publicly administered government employee retirement plans","B4938C0",746,865,987,1106,1232,1404,1522,1679,1945,2198,2464,2758,3067,3383,3715,4160,4712,5160,6094,6931,7583,8730,10223,11839,13817,16030,19027,22730,26137,28976,32659,36904,43014,49351,54580,58006,60929,66565,70676,76028
"49","39","        Federal civilian \1\","B4946C0",220,242,273,288,328,396,412,453,554,647,737,853,938,1009,1115,1261,1381,1516,1876,2067,2264,2553,3024,3504,4145,5041,6290,7724,8860,9929,11271,12951,15482,18179,19875,21183,22101,23517,24354,26469
"50","40","        Federal military \2\","B1593C0",226,298,329,343,359,388,420,466,519,556,622,686,757,864,969,1120,1331,1507,1721,1987,2288,2661,3162,3673,4161,4695,5657,6824,7696,8503,9428,10649,12480,14021,15367,16304,15319,17550,17879,18398
"51","41","        State and local","S121000",300,325,385,475,545,620,690,760,872,995,1105,1219,1372,1510,1631,1779,2000,2137,2497,2877,3031,3516,4037,4662,5511,6294,7080,8182,9581,10544,11960,13304,15052,17151,19338,20519,23509,25498,28443,31161
"52","42","    Private insurance funds","B4939C0",490,507,1754,2255,2568,2910,3185,3586,4226,4848,5395,5926,6550,7353,8138,8797,9727,10747,11610,12475,14987,17173,20416,22580,24728,27329,32156,37459,43304,50069,57149,67778,80640,92548,106715,114690,124903,139114,153641,171567
"53","43","      Group insurance","B4940C0",NA,NA,1212,1622,1881,2188,2446,2818,3380,3937,4333,4855,5397,6109,6826,7411,8272,9214,9904,10573,12939,14899,17736,19657,21628,23895,27815,32423,37757,43540,49652,58466,69000,80648,92059,100426,109104,121133,132717,148136
"54","44","        Group health insurance","B4930C0",NA,NA,886,1242,1456,1703,1905,2210,2686,3102,3416,3863,4332,4882,5463,5918,6758,7572,8047,8465,10540,12231,14799,16451,18153,20153,23814,28132,33219,38577,44189,52505,62399,73229,83954,91961,100177,111488,122619,137578
"55","45","        Group life insurance","B4931C0",NA,NA,326,380,425,485,541,608,694,835,917,992,1065,1227,1363,1493,1514,1642,1857,2108,2399,2668,2937,3206,3475,3742,4001,4291,4538,4963,5463,5961,6601,7419,8105,8465,8927,9645,10098,10558
"56","46","      Workers' compensation","B4932C0",490,507,542,633,687,722,739,768,841,891,927,996,1062,1114,1210,1289,1393,1471,1624,1783,1943,2174,2434,2627,2866,3324,3941,4540,5312,6222,7140,8448,9711,10855,11957,12790,14607,16778,18767,20535
"57","47","      Supplemental unemployment","B4933C0",NA,NA,NA,NA,NA,NA,NA,NA,5,20,135,75,91,130,102,97,62,62,82,119,105,100,246,296,234,110,400,496,235,307,357,864,1929,1045,2699,1474,1192,1203,2157,2896
"58","48","  Employee contributions for publicly administered government employee retirement plans","B4941C0",555,680,766,881,987,1056,1120,1268,1435,1589,1751,1874,1995,2163,2241,2373,2643,2811,3074,3481,3857,4253,4951,5423,5956,6399,6899,7468,8147,8844,9523,10187,10853,11857,12833,13211,13885,14747,15782,16299
"59","49","    Federal civilian","B4947C0",275,350,371,391,427,431,430,513,600,674,726,760,794,883,900,972,1052,1082,1172,1277,1424,1535,1887,1988,2144,2246,2456,2658,2866,3040,3269,3496,3776,4013,4274,4455,4661,4784,4734,4680
"60","50","    State and local","S251200",280,330,395,490,560,625,690,755,835,915,1025,1114,1201,1280,1341,1401,1591,1729,1902,2204,2433,2718,3064,3435,3812,4153,4443,4810,5281,5804,6254,6691,7077,7844,8559,8756,9224,9963,11048,11619
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Consists of civil service, foreign service, Public Health Service officers, Tennessee Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Authority, Thrift Savings Fund, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Includes the Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
