"","Table 2#3#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"92",NA,"Chain-Type Price Indexes for PCE by Major Type of Expenditure"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","24","P1PCEG B     Personal consumption expenditures","P1PCEG3",37.212,37.272,37.326,37.414,37.598,37.763,37.955,38.167,38.375,38.578,38.751,38.968,39.18,39.491,39.684,39.915,40.125,40.35,40.565,40.745,40.898,41.087,41.332,41.543,41.797,41.992,42.265,42.589,42.895,43.171,43.409,43.623,43.872,44.221,44.466,44.679,45.011,45.246,45.595,46.066,46.54,46.921,47.273,47.631,48.046,48.437,48.767,49.175,49.688,50.223,50.828,51.088,51.484,51.799,52.199,52.632,53.125,53.552,53.983,54.33,54.853,55.404,55.792,56.023,56.275,56.499,56.848,57.199,57.544,57.796,58.113,58.294,58.64,58.811,58.957,58.987,59.34,59.768,60.122,60.3,60.461,60.817,61.003,61.096,61.4,61.502,61.593,61.873,62.045,62.273,62.622,62.899,63.119,63.231,63.322,63.355,63.626,64.049,64.259,64.508,64.586,64.703,64.935,65.132,65.227,65.378,65.474,65.665,65.947,66.221,66.469,66.575,66.712,66.856,66.971,67.167,67.293,67.447,67.662,67.906,68.197,68.202,68.079,67.983,68.156,68.461,68.541,68.672,68.925,69.056,69.211,69.342,69.75,70.018,70.183,70.379,70.552,70.826,71.024,71.323,71.571,71.767,71.918,72.048,72.368,72.492,72.742,73.093,73.302,73.615,73.962,74.164,74.514,74.739,74.915,75.159,75.565,75.817,76.099,76.579,76.844,77.021,77.231,77.242,77.439,77.747,77.926,78.157,78.732,79.103,79.452,79.681,79.898,80.263,80.457,80.961,81.431,81.872,81.994,82.128,82.545,82.638,82.658,82.793,83.141,83.283,83.429,83.626,83.927,84.097,84.311,84.574,84.753,84.988,85.205,85.391,85.508,85.678,85.987,86.123,86.259,86.529,86.673,86.797
"94","25","P1FTBG D Food and tobacco","P1FTBG3",37.694,37.494,37.401,37.405,37.577,37.682,37.849,38.026,38.172,38.315,38.392,38.531,38.696,39.171,39.421,39.861,40.102,40.356,40.454,40.602,40.712,40.835,41.094,41.25,41.557,41.945,42.378,42.934,43.471,44.01,44.313,44.499,44.687,44.987,45.231,45.468,46.176,46.797,47.161,47.439,47.81,48.006,48.271,48.323,48.606,48.976,49.292,49.679,50.046,50.141,50.603,50.92,51.311,51.697,52.22,52.927,53.491,53.874,54.434,54.844,55.055,55.367,55.611,55.688,55.782,55.971,56.363,56.63,56.852,56.911,56.974,57.073,57.381,57.712,57.734,57.843,58.241,58.587,58.73,58.623,58.768,58.923,59.028,59.164,59.262,59.36,59.728,59.951,60.129,60.141,60.258,60.395,60.59,60.747,60.771,60.914,61.579,61.925,62.048,62.035,61.949,62.182,62.4,62.686,62.608,62.709,62.719,62.867,63.071,63.329,63.488,63.462,63.457,63.549,63.65,63.746,63.849,64.028,64.3,64.646,64.825,64.823,64.925,65.068,65.259,65.37,65.838,66.235,66.309,66.417,66.634,66.73,67.146,67.34,67.44,67.532,67.824,68.137,68.169,68.292,68.454,68.553,68.581,68.832,69.186,69.252,69.41,69.713,69.894,70.209,70.885,71.145,71.496,71.624,71.723,71.994,72.498,72.952,73.276,73.681,74.085,74.395,74.78,74.937,75.061,75.348,75.536,75.879,76.63,77.142,77.324,77.26,77.484,78.044,78.512,78.748,78.935,79.176,79.305,79.398,80.197,80.584,80.686,81.057,81.248,81.574,81.411,81.341,81.425,81.401,81.569,81.737,81.759,82.002,82.162,82.179,82.218,82.454,82.451,82.827,83.075,83.055,82.993,83.138
"95","26","P1FXAG C   Food excluding alcoholic beverages","P1FXAG3",40.304,40.015,39.872,39.838,40.039,40.16,40.35,40.57,40.741,40.901,40.958,41.109,41.283,41.909,42.222,42.787,43.082,43.389,43.469,43.67,43.725,43.838,44.101,44.289,44.649,45.11,45.645,46.309,46.955,47.625,47.884,48.067,48.265,48.616,48.901,49.161,49.995,50.713,51.129,51.46,51.886,52.114,52.416,52.402,52.712,53.114,53.468,53.93,54.267,54.328,54.887,55.216,55.638,56.04,56.679,57.536,58.231,58.703,59.362,59.791,59.954,60.268,60.544,60.608,60.584,60.782,61.246,61.549,61.749,61.802,61.817,61.912,62.261,62.582,62.511,62.623,63.08,63.495,63.614,63.416,63.469,63.469,63.464,63.482,63.447,63.476,63.891,64.125,64.312,64.307,64.311,64.421,64.614,64.787,64.789,64.977,65.736,66.152,66.283,66.244,66.111,66.34,66.528,66.855,66.733,66.816,66.831,67.01,67.165,67.417,67.594,67.562,67.503,67.606,67.646,67.68,67.78,67.794,68.128,68.513,68.623,68.573,68.676,68.831,69.079,69.167,69.648,70.135,70.2,70.333,70.606,70.697,71.065,71.259,71.364,71.454,71.799,72.141,72.054,72.167,72.332,72.414,72.42,72.719,73.002,72.969,73.094,73.434,73.641,74.003,74.677,74.951,75.367,75.493,75.603,75.929,76.299,76.77,77.111,77.586,77.973,78.219,78.545,78.658,78.816,79.127,79.329,79.634,80.465,81.051,81.225,81.1,81.286,81.82,82.212,82.469,82.657,82.944,83.072,83.072,83.349,83.462,83.517,83.918,84.142,84.435,84.173,84.01,84.029,83.977,84.125,84.241,84.174,84.423,84.545,84.502,84.387,84.669,84.608,85.053,85.254,85.162,85.096,85.147
"96","27","P1ALCG D   Alcoholic beverages","P1ALCG3",39.77,39.848,39.925,40.082,40.155,40.277,40.433,40.586,40.637,40.742,40.818,40.936,40.989,40.959,40.945,40.981,41.08,41.239,41.453,41.478,41.704,41.816,42.108,42.171,42.419,42.696,42.906,43.287,43.671,43.811,44.08,44.382,44.7,44.939,45.172,45.51,45.881,46.233,46.568,46.753,47.118,47.308,47.535,47.689,47.978,48.453,48.84,49.073,49.427,49.661,49.935,50.455,50.841,51.147,51.42,51.824,52.125,52.332,52.509,52.777,53.36,53.929,54.187,54.327,54.678,54.905,55.199,55.446,55.783,55.549,55.843,55.998,56.319,56.613,56.849,56.954,57.112,57.305,57.58,57.84,57.954,58.078,58.249,58.369,58.53,58.889,59.278,59.474,59.706,59.776,59.811,59.933,60.298,60.411,60.515,60.511,60.731,60.832,60.995,61.105,61.251,61.497,61.596,61.83,61.943,62.2,62.187,62.285,62.362,62.677,62.81,62.782,63.12,63.145,63.227,63.652,63.768,65.017,65.118,65.254,65.551,65.644,65.757,65.87,65.869,66.18,66.282,66.296,66.416,66.434,66.487,66.683,67.081,67.13,67.151,67.283,67.44,67.677,67.836,68.067,68.193,68.396,68.533,68.568,68.724,69.193,69.563,69.857,69.938,70.122,70.443,70.574,70.715,70.872,70.899,70.95,71.094,71.47,71.785,72,72.467,72.749,73.058,73.368,73.501,73.733,74.041,74.149,74.487,74.719,75.107,75.303,75.715,75.99,76.288,76.569,76.912,77.011,77.006,77.095,80.859,83.247,83.571,83.697,83.762,83.904,84.152,84.479,84.865,84.963,84.752,84.759,85.233,85.459,86.002,86.246,86.377,86.491,86.613,86.61,86.842,86.934,87.007,87.102
"97","28","P1TOBG C   Tobacco products","P1TOBG3",14.72,14.799,14.852,14.931,14.983,14.983,15.009,14.957,15.009,15.062,15.22,15.272,15.43,15.43,15.509,15.535,15.561,15.561,15.64,15.588,15.851,16.008,16.166,16.193,16.217,16.241,16.238,16.262,16.261,16.337,16.808,16.884,16.882,16.905,16.903,16.9,17.081,17.29,17.341,17.363,17.388,17.384,17.434,17.721,17.797,17.847,17.844,17.894,18.338,18.468,18.49,18.515,18.668,18.955,18.978,19.028,19.025,19.021,19.282,19.619,19.721,19.744,19.768,19.844,20.286,20.36,20.385,20.433,20.615,20.926,21.026,21.076,21.099,21.436,21.747,21.821,22.027,22.077,22.203,22.279,22.903,23.866,24.488,25.243,25.995,26.227,26.25,26.401,26.452,26.5,27.302,27.585,27.608,27.683,27.757,27.752,28.166,28.267,28.287,28.309,28.307,28.509,28.973,29.021,29.044,29.092,29.087,29.084,29.652,29.857,29.902,29.925,29.92,29.996,30.458,30.609,30.71,30.861,30.882,31.137,31.601,31.803,31.876,31.949,31.944,31.992,32.664,32.813,32.886,32.909,32.904,32.924,33.592,33.898,34.017,34.083,34.126,34.287,34.942,35.018,35.166,35.271,35.331,35.452,36.434,36.769,36.927,36.95,37.036,37.131,38.136,38.402,38.468,38.57,38.659,38.728,40.552,40.918,41.099,41.168,41.586,42.363,43.226,43.538,43.384,43.535,43.479,44.332,44.892,45.119,45.125,45.244,45.534,46.594,47.835,47.848,47.842,47.875,48.177,49.024,50.37,50.594,50.831,51.249,51.322,52.141,52.332,52.569,52.846,52.925,53.712,54.482,54.706,54.904,54.937,55.197,56.375,56.359,56.695,56.919,57.564,58.018,57.837,58.838
"98","29","P1CAJG D Clothing, accessories, and jewelry","P1CAJG3",70.813,70.965,71.03,71.228,71.586,71.823,72.238,72.654,72.905,72.981,73.201,73.521,73.941,74.578,73.899,73.841,74.331,74.852,75.626,75.659,75.204,75.438,75.992,76.299,76.368,75.589,75.958,76.661,77.218,77.473,77.327,77.429,77.603,77.984,78.163,78.074,78.423,78.491,78.661,79.022,79.561,79.681,79.831,79.861,80.29,80.685,81.23,81.847,82.538,83.062,84,84.291,84.48,85.117,85.132,85.419,85.795,86.258,86.64,86.848,86.986,87.221,87.354,87.74,87.808,87.948,88.252,88.553,88.596,88.636,88.501,88.831,88.766,88.877,89.091,89.125,89.184,89.312,89.494,89.34,89.263,89.255,89.146,89.043,89.523,89.8,89.649,89.828,90.336,90.638,91.291,91.263,90.927,90.593,90.888,90.964,91.296,90.943,90.862,90.791,90.788,90.535,91.005,91.397,91.517,91.718,91.615,91.772,91.741,92.557,92.787,92.653,92.576,93.164,93.083,93.064,93.034,93.072,93.408,93.509,93.473,92.603,91.931,91.982,91.949,91.909,92.33,93.126,93.321,93.035,93.271,93.714,94.373,94.887,95.325,95.642,95.95,96.047,96.042,96.556,96.821,97.435,97.952,97.709,98.321,97.268,98.218,99.451,99.513,99.823,100.258,99.102,100.386,101.254,101.344,101.688,101.911,101.014,101.414,101.964,102.238,101.949,101.659,100.68,101.624,102.205,102.39,101.937,102.229,104.366,105.582,105.812,105.665,105.804,105.874,105.925,106.372,106.391,106.248,106.359,107.06,106.885,106.643,107.158,107.501,107.129,107.832,108.417,108.905,108.994,109.627,109.225,109.068,108.767,108.729,108.202,108.821,108.991,109.273,109.027,108.935,109.12,109.328,109.464
"99","30","P1PCRG D Personal care","P1PCRG3",38.697,39.284,39.378,39.601,39.787,40.12,40.33,40.798,41.032,41.299,41.591,41.728,42.05,42.166,42.321,42.688,42.985,43.26,43.471,43.67,43.952,44.225,45.026,45.308,45.485,45.569,45.642,45.748,46.083,46.156,46.595,46.772,47.249,47.423,47.666,47.633,48.062,48.438,49.023,49.001,49.461,49.522,49.845,49.973,50.423,50.599,50.878,51.472,51.613,52.231,52.617,52.925,53.374,53.551,54.206,54.425,54.866,55.079,55.258,55.829,56.153,56.601,57.13,57.618,58.236,58.665,58.736,59.124,59.524,59.677,59.901,60.331,60.729,61.106,61.427,62.028,62.25,62.723,63.066,63.463,63.428,63.898,64.195,64.274,64.762,65.247,65.245,65.464,65.434,66.127,66.185,66.291,66.424,66.363,66.953,67.137,67.25,67.5,67.325,67.696,67.74,68.06,68.433,68.412,68.717,68.967,69.253,69.345,69.403,69.596,69.73,69.918,70.199,70.347,70.525,70.906,71.07,71.332,71.283,71.358,71.869,72.161,72.362,72.49,72.585,72.512,72.471,72.78,72.699,72.991,72.878,72.925,73.458,73.617,73.559,73.728,74.165,74.154,74.454,74.559,74.75,74.847,74.912,74.971,75.525,75.841,76.013,76.249,76.204,76.4,76.532,76.332,77.119,77.566,78.126,78.527,78.733,78.921,79.166,79.385,79.797,79.57,79.736,80.326,80.348,80.747,81.109,81.049,81.379,81.8,82.262,83.136,83.099,83.57,83.258,83.163,83.609,83.831,83.976,84.236,84.611,85.323,84.972,85.764,85.829,85.521,85.96,85.995,86.016,86.143,86.181,86.045,86.376,87.118,87.347,87.744,87.352,87.205,87.89,87.688,87.638,87.607,87.813,88.221
"100","31","P1HOSG B Housing","P1HOSG3",29.63,29.789,29.942,30.021,30.181,30.343,30.499,30.732,30.893,31.13,31.291,31.581,31.799,32.124,32.339,32.578,32.763,32.972,33.155,33.387,33.68,33.804,34.023,34.204,34.373,34.538,34.685,34.844,35.093,35.265,35.431,35.6,35.903,36.152,36.402,36.594,36.808,36.979,37.131,37.299,37.698,37.938,38.184,38.571,38.961,39.522,39.674,39.868,40.109,40.357,40.65,40.737,41.132,41.674,41.851,42.139,42.605,43.072,43.4,43.766,44.089,44.411,44.737,45.05,45.509,45.756,46.069,46.694,47.082,47.472,47.77,48.099,48.44,48.623,48.907,49.048,49.404,49.61,50.086,50.357,50.562,51.008,51.273,51.443,51.766,51.967,52.015,52.467,52.607,52.787,53.003,53.154,53.419,53.555,53.782,54.007,54.195,54.432,54.723,55.165,55.301,55.529,55.911,56.118,56.379,56.579,56.765,57.08,57.257,57.675,57.891,58.05,58.698,58.964,59.222,59.614,59.758,60.027,60.487,60.717,60.992,61.16,61.642,62.053,62.177,62.412,62.609,62.796,63.12,63.418,63.631,63.762,63.99,64.267,64.557,64.906,65.098,65.222,65.319,65.687,65.888,66.283,66.423,66.812,67.147,67.398,67.627,67.772,67.961,68.213,68.385,68.677,68.927,69.089,69.366,69.581,69.767,69.987,70.299,70.47,70.777,71.002,71.349,71.591,71.753,72.181,72.459,72.765,72.939,72.986,73.585,73.775,73.95,74.525,74.9,75.343,75.446,75.594,75.596,75.84,76.147,76.272,76.364,76.543,76.754,76.891,76.918,77.066,77.278,77.565,77.681,78.038,78.155,78.357,78.549,78.737,78.878,78.953,79.151,79.322,79.361,79.6,79.813,79.996
"101","32","P1HHOG D Household operation","P1HHOG3",44.997,45.352,45.599,45.776,45.919,46.128,46.289,46.503,46.748,47.01,47.377,47.815,48.116,48.331,48.614,48.774,48.89,49.109,49.288,49.627,49.82,50.005,50.247,50.416,50.449,50.703,51.027,51.379,51.661,51.966,52.15,52.356,52.582,52.994,53.266,53.55,53.801,54.178,54.558,54.907,55.289,55.885,56.441,57.05,57.537,57.932,58.524,58.977,59.497,60.234,60.934,61.544,62.079,62.017,63.186,63.621,64.071,64.372,64.736,65.273,65.959,66.931,67.512,68.238,68.581,69.042,69.846,70.377,71.069,71.315,72.081,72.375,72.925,73.406,73.84,74.222,74.713,75.077,75.347,75.482,75.834,76.639,76.929,77.281,77.704,77.753,78,78.267,78.315,78.42,78.737,78.548,78.841,79.135,79.536,79.554,80.047,80.611,80.56,81.011,81.105,81.059,81.437,81.662,82.185,82.044,82.216,82.161,82.203,82.433,82.829,83.128,83.189,83.25,83.17,83.215,83.372,83.646,83.863,84.027,84.094,83.858,83.834,83.622,83.469,83.971,83.842,83.795,83.864,83.541,83.268,83.552,83.558,83.862,83.97,84.071,84.022,84.28,84.359,84.626,84.829,84.543,84.618,84.375,84.407,84.577,84.915,85.435,85.405,85.671,85.734,85.685,86.115,86.343,86.422,86.555,86.744,86.701,86.69,87.027,87.139,87.229,87.551,87.71,87.88,88.052,88.125,88.094,88.928,89.019,88.984,88.935,88.94,88.986,88.74,89.192,89.802,90.366,90.238,90.011,90.748,91.374,91.207,91.075,91.379,91.02,91.421,91.447,91.739,91.899,92.112,92.195,92.333,92.492,92.539,92.72,92.815,92.819,93.136,93.131,93.139,93.256,93.685,93.468
"102","33","P1MEDG D Medical care","P1MEDG3",23.551,23.655,23.774,23.845,23.955,24.167,24.381,24.657,24.865,25,25.224,25.394,25.486,25.635,25.9,26.179,26.404,26.599,26.815,26.976,27.144,27.278,27.381,27.442,27.769,28.02,28.25,28.432,28.636,28.791,29.028,29.258,29.415,29.637,29.868,29.966,30.316,30.461,30.614,30.785,30.951,31.084,31.175,31.296,31.485,31.764,32.087,32.43,32.697,33.088,33.412,33.732,33.991,34.25,34.532,34.834,35.163,35.5,35.799,36.084,36.529,36.843,37.2,37.483,37.851,38.177,38.633,39.026,39.428,39.782,40.179,40.51,40.909,41.167,41.402,41.709,41.997,42.356,42.751,43.057,43.324,43.536,43.887,44.075,44.441,44.839,45.032,45.304,45.454,45.958,46.055,46.435,46.723,46.995,47.332,47.526,47.926,48.278,48.547,48.838,49.113,49.384,49.559,49.736,49.965,50.218,50.424,50.571,50.846,51.122,51.371,51.498,51.701,51.931,52.077,52.22,52.36,52.5,52.719,52.832,53.001,53.213,53.419,53.566,53.697,53.853,53.975,54.098,54.284,54.5,54.625,54.814,54.874,55.016,55.312,55.644,55.85,56.187,56.455,56.734,57.07,57.33,57.593,57.823,58.251,58.644,59.041,59.482,59.874,60.262,60.674,61.02,61.441,61.844,62.183,62.577,63.017,63.506,63.949,64.281,64.668,65.086,65.519,65.878,66.278,66.603,67.041,67.571,67.893,68.283,68.704,69.106,69.549,69.883,70.294,70.796,71.12,71.564,71.935,72.205,72.506,72.812,73.123,73.454,73.939,74.198,74.457,74.87,75.184,75.493,75.815,76.196,76.552,76.921,77.21,77.667,77.868,78.147,78.549,78.856,79.124,79.492,79.713,80.05
"103","34","P1PBUG C Personal business","P1PBUG3",31.308,31.346,31.403,31.459,31.54,31.615,31.697,31.774,31.866,31.967,32.034,32.092,32.168,32.446,32.518,32.741,32.886,33.112,33.379,33.574,33.818,34.027,34.372,34.689,35.326,35.832,36.145,36.589,36.958,37.4,37.641,38.181,38.337,38.601,38.647,38.786,39.055,39.221,39.375,39.624,39.953,40.201,40.28,40.919,41.239,41.458,41.206,41.764,42.561,43.229,43.476,43.686,44.412,44.657,45.001,45.455,45.41,45.773,46.092,45.747,46.776,46.996,47.386,47.537,47.873,48.036,48.587,48.71,49.498,49.19,49.266,48.63,48.755,49.021,49.082,49.548,50.096,50.267,50.808,51.22,51.672,52.402,52.646,52.845,53.645,53.838,54.096,54.571,55.006,55.269,55.551,55.852,56.361,56.494,56.473,56.406,56.738,56.801,56.921,57.038,57.328,57.71,57.609,58.108,58.3,58.727,58.902,59.25,60.372,60.708,61.029,60.856,61.076,60.747,60.364,60.231,60.752,61.802,62.152,62.694,63.417,64.219,64.548,65.026,65.525,66.079,66.514,66.805,67.694,68.334,68.73,68.422,69.051,69.128,68.871,68.213,68.383,68.395,68.929,69.033,69.476,69.715,69.83,70.134,70.967,71.197,71.623,71.471,71.711,72.338,72.538,72.514,72.528,72.185,72.085,72.264,73.065,73.219,73.315,73.046,72.947,73.1,73.005,72.906,73.086,73.182,73.138,73.53,73.4,73.691,74.542,75.774,76.634,77.046,76.752,76.844,76.938,76.669,76.765,77.14,78.967,78.569,78.923,78.382,79.222,79.836,80.221,80.299,81.276,81.61,81.513,82.73,84.003,84.574,84.958,84.904,84.627,85.097,85.687,85.969,86.199,86.608,86.44,86.252
"104","35","P1TRNG D Transportation","P1TRNG3",38.466,38.478,38.484,38.541,38.792,39.013,39.191,39.37,39.695,40.129,40.237,40.371,40.605,40.847,41.145,41.184,41.359,41.43,41.566,41.697,41.891,42.341,42.593,43.034,43.195,43.25,43.428,43.504,43.608,43.707,43.919,44.154,44.514,45.218,45.616,45.887,45.644,45.448,46.362,48.226,49.698,50.852,51.847,52.672,53.486,53.98,54.484,55.148,56.458,57.969,59.626,59.562,59.85,59.886,60.154,60.559,61.357,62.122,62.794,63.423,64.586,66.101,66.77,66.637,66.469,66.283,66.253,66.134,65.892,66.29,66.777,67.053,67.269,66.607,66.454,65.122,65.529,66.961,67.512,67.945,67.826,67.96,67.996,67.576,67.705,67.05,66.321,66.518,66.619,66.986,68.471,69.624,69.813,69.343,68.655,68.026,67.437,68.82,69.469,69.723,69.784,69.54,69.733,69.755,69.335,69.493,69.436,69.788,70.386,70.366,70.625,70.814,70.594,70.575,70.999,71.576,71.373,70.755,70.478,70.759,71.381,70.825,68.855,67.059,67.47,68.284,67.542,66.946,67.406,67.425,67.605,67.8,69.112,69.763,69.885,70.347,70.39,71.114,71.621,72.185,72.44,72.522,72.539,72.278,72.103,72.018,71.909,72.151,72.368,72.68,73.102,73.791,73.807,73.812,73.877,74.031,74.553,75.184,75.63,77.538,77.874,77.598,77.324,76.673,76.307,76.603,76.518,76.434,78.077,78.244,78.172,78.21,78.081,78.204,78.154,79.92,81.541,83.348,83.534,83.623,82.731,81.397,80.581,80.427,80.986,81.074,81.162,81.573,81.737,81.787,81.971,82.24,82.12,82.029,82.196,82.595,82.721,82.891,83.474,83.08,83.307,84.195,84.475,84.659
"105","36","P1USEG D   User-operated transportation","P1USEG3",38.723,38.72,38.696,38.739,38.993,39.208,39.391,39.564,39.888,40.351,40.473,40.598,40.849,41.096,41.368,41.405,41.579,41.637,41.767,41.906,42.095,42.568,42.859,43.287,43.453,43.449,43.696,43.764,43.863,43.994,44.198,44.459,44.804,45.483,46.089,46.403,46.107,45.844,46.848,48.827,50.419,51.687,52.709,53.521,54.274,54.705,55.037,55.606,56.963,58.524,60.321,60.164,60.374,60.35,60.485,60.822,61.523,62.287,62.97,63.569,64.721,66.246,66.831,66.708,66.63,66.317,66.117,66.008,65.709,66.138,66.675,67.041,67.249,66.582,66.411,64.919,65.358,66.827,67.424,67.848,67.716,67.94,68.054,67.614,67.799,67.243,66.398,66.4,66.356,66.821,68.249,69.42,69.629,69.148,68.318,67.607,66.885,68.324,69.04,69.368,69.373,69.208,69.484,69.536,69.411,69.293,69.181,69.519,70.088,70.097,70.376,70.669,70.386,70.262,70.904,71.403,71.137,70.451,70.313,70.768,71.439,70.924,68.682,66.797,67.297,68.138,67.422,66.825,67.307,67.234,67.372,67.603,68.839,69.691,69.824,70.357,70.362,70.969,71.529,72.068,72.216,72.245,72.294,72.061,71.799,71.731,71.534,71.766,72.022,72.305,72.71,73.41,73.469,73.466,73.506,73.577,74.067,74.63,74.96,77.063,77.5,77.331,77.086,76.342,75.912,76.203,76.156,76.221,77.769,77.943,77.637,77.702,77.5,77.681,77.68,79.45,81.217,82.941,83.211,83.574,82.612,81.12,80.117,80.2,80.707,80.766,80.865,81.29,81.308,81.329,81.69,82.024,81.57,81.502,81.699,81.996,82.361,82.955,83.103,83.318,83.359,83.785,84.033,84.32
"106","37","P1PLTG C   Purchased local transportation","P1PLTG3",30.621,30.702,31.065,31.137,31.172,31.223,31.204,31.332,31.553,31.737,31.643,31.867,31.868,32.159,32.643,32.608,32.869,32.89,33.14,33.162,33.23,33.407,33.464,33.381,33.738,33.922,33.971,33.975,34.043,34.032,34.439,34.506,34.665,34.982,35.137,35.123,35.288,35.32,35.583,36.012,36.131,36.276,36.694,37.121,37.464,37.986,38.693,38.903,39.493,39.661,39.914,41.041,41.493,41.631,43.512,44.87,45.029,45.186,45.35,45.512,46.653,46.817,47.254,47.872,47.96,48.249,52.456,52.894,53.417,53.795,54.26,54.602,54.881,55.002,55.051,55.265,55.286,55.449,55.746,56,56.018,56.352,56.469,56.661,56.786,56.895,56.969,57.09,57.194,57.18,57.273,57.529,57.729,57.708,57.824,58.069,59.941,59.822,59.92,59.997,60.04,60.498,60.599,60.539,60.663,60.738,60.685,60.771,61.012,61.142,61.476,61.454,61.468,61.614,62.274,62.564,62.71,62.797,63.055,63.262,64.513,65.366,65.45,65.501,65.554,65.687,66.135,66.365,66.439,66.511,66.53,66.745,67.534,67.958,68.054,68.315,68.337,68.476,68.459,68.488,68.755,68.745,68.775,69.936,70.053,70.426,70.474,70.476,70.645,71.097,71.69,71.641,71.632,71.809,71.963,72.105,72.06,72.483,72.525,72.512,72.794,72.802,72.942,73.592,73.578,73.57,73.279,73.288,75.252,75.85,75.848,75.83,76.189,76.435,77.233,77.534,77.612,78.056,78.919,79.267,80.024,80.413,80.274,80.518,80.826,80.598,81.09,81.231,81.613,81.693,81.767,81.66,84.244,84.302,84.561,84.304,84.382,84.717,84.879,85.097,85.183,85.296,85.636,85.646
"107","38","P1PITG C   Purchased intercity transportation","P1PITG3",37.749,37.981,38.243,38.521,38.86,39.288,39.491,39.788,40.186,40.272,40.285,40.504,40.585,40.72,41.318,41.422,41.581,41.889,42.04,42.1,42.45,42.664,42.398,43.341,43.293,44.22,43.368,43.591,43.824,43.424,43.667,43.55,44.27,45.555,42.75,42.452,42.878,43.621,43.48,44.301,44.667,44.666,45.527,46.699,48.626,50.039,52.925,55.205,56.13,57.526,57.806,58.547,59.845,60.646,62.041,63.009,65.51,66.562,67.314,68.621,69.962,71.907,74.101,73.439,71.769,73.412,74.313,73.797,74.191,74.057,73.725,72.509,72.826,71.921,71.978,72.595,72.632,73.999,73.904,74.567,74.601,73.177,71.904,71.567,70.779,68.228,69.006,72.385,74.889,73.783,76.813,78.02,77.863,77.412,78.83,79.282,80.038,81.047,80.754,79.803,80.843,78.953,77.716,77.258,71.589,76.499,77.409,78.115,79.351,78.744,78.617,77.035,77.841,79.664,75.995,78.089,78.968,79.239,76.244,73.469,73.087,71.365,73.228,72.329,71.333,71.941,70.306,69.424,69.623,71.265,72.185,71.725,74.422,71.97,71.907,71.301,71.94,74.74,74.546,75.687,77.774,78.743,78.203,76.993,78.209,77.663,78.986,79.477,79.065,79.804,80.459,81.19,80.507,80.596,81.053,82.59,83.855,85.689,88.26,87.464,86.108,83.935,83.027,83.554,84.149,84.589,83.932,81.358,84.456,84.345,88.179,87.813,88.772,87.868,86.692,88.888,88.582,92.234,90.821,86.426,86.117,86.65,88.697,84.595,86.067,86.745,86.504,86.802,89.244,89.753,87.151,86.53,90.916,90.422,90.083,92.449,88.545,81.429,89.291,79.033,82.297,91.141,91.898,90.322
